Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,16.880841121495326,2.1087412900394864,0.021125730994152048,0.12456896551724138,0.036125,18657632,0.0,0.0,0.0,99.6551724137931,0.0,0.0,0.0,0.0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 312, 0, 0, 0, 0], [0, 0, 0, 155, 0, 0, 0, 0], [0, 1, 0, 289, 0, 0, 0, 0], [0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 0, 333, 0, 0, 0, 0], [0, 0, 1, 234, 0, 0, 0, 0]]"
2,22.371495327102803,2.3658238318231373,0.056612511686460365,0.18225806451612903,0.08381798260803858,38750468,0.0,100.0,45.806451612903224,0.0,0.0,0.0,0.0,0.0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 84, 71, 0, 0, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 118, 4, 0, 0, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 332, 0, 1, 0, 0, 0, 0], [0, 2, 233, 0, 0, 0, 0, 0]]"
3,33.52803738317757,1.667099533257661,0.15924880418372211,0.27408878245919405,0.1832771038322778,58843306,0.0,6.41025641025641,72.90322580645162,58.27586206896552,0.0,0.0,81.68168168168168,0.0,"[[0, 3, 0, 93, 0, 0, 26, 0], [0, 20, 1, 240, 0, 0, 51, 0], [0, 1, 113, 7, 0, 0, 34, 0], [0, 32, 3, 169, 0, 0, 86, 0], [0, 0, 26, 1, 0, 0, 95, 0], [0, 21, 0, 119, 0, 0, 3, 0], [0, 0, 25, 36, 0, 0, 272, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
4,35.92289719626168,1.689439630066907,0.17405738714948088,0.3230088042588043,0.21383947415501126,77500941,0.0,39.1025641025641,40.0,0.0,0.0,87.41258741258741,91.8918918918919,0.0,"[[0, 33, 0, 0, 0, 65, 24, 0], [0, 122, 1, 0, 0, 125, 64, 0], [0, 3, 62, 0, 0, 6, 84, 0], [0, 63, 0, 0, 0, 139, 88, 0], [0, 1, 2, 0, 0, 0, 119, 0], [0, 13, 0, 0, 0, 125, 5, 0], [0, 23, 0, 0, 0, 4, 306, 0], [0, 0, 234, 0, 0, 0, 1, 0]]"
5,37.79205607476636,1.5680860744582281,0.31094125444065257,0.38329920271409634,0.26998759859861327,99028983,0.0,71.7948717948718,0.0,0.0,50.0,82.51748251748252,3.6036036036036037,98.72340425531915,"[[0, 66, 0, 0, 2, 54, 0, 0], [0, 224, 0, 0, 1, 86, 1, 0], [0, 23, 0, 0, 93, 4, 1, 34], [0, 148, 0, 0, 11, 130, 1, 0], [0, 60, 0, 0, 61, 1, 0, 0], [0, 23, 0, 1, 1, 118, 0, 0], [0, 221, 0, 0, 94, 5, 12, 1], [0, 0, 0, 0, 3, 0, 0, 232]]"
6,31.25,1.9496335144396182,0.207028061603063,0.2626127876225223,0.18560040201160072,113381011,0.0,0.3205128205128205,0.0,98.27586206896551,12.295081967213115,0.0,0.9009009009009009,98.29787234042553,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 1, 0, 310, 1, 0, 0, 0], [0, 23, 0, 34, 75, 0, 6, 17], [0, 5, 0, 285, 0, 0, 0, 0], [0, 21, 0, 86, 15, 0, 0, 0], [0, 1, 0, 142, 0, 0, 0, 0], [0, 51, 0, 276, 3, 0, 3, 0], [0, 1, 0, 0, 3, 0, 0, 231]]"
7,30.8411214953271,2.125652308817263,0.22977305862603753,0.25839531037276237,0.19028670523445768,127733038,0.0,0.0,9.032258064516128,100.0,4.918032786885246,0.0,0.0,92.76595744680851,"[[0, 0, 0, 122, 0, 0, 0, 0], [1, 0, 0, 310, 1, 0, 0, 0], [1, 0, 14, 81, 47, 0, 9, 3], [0, 0, 0, 290, 0, 0, 0, 0], [0, 0, 0, 116, 6, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [2, 0, 0, 331, 0, 0, 0, 0], [0, 0, 12, 1, 3, 0, 1, 218]]"
8,38.96028037383178,1.4459428478170324,0.4196856080372852,0.40045394484212093,0.34640106499750345,144955468,75.40983606557377,21.794871794871796,72.90322580645162,41.724137931034484,0.0,0.0,18.31831831831832,90.2127659574468,"[[92, 7, 0, 23, 0, 0, 0, 0], [224, 68, 1, 18, 0, 0, 1, 0], [14, 0, 113, 17, 0, 0, 8, 3], [151, 11, 4, 121, 0, 0, 3, 0], [5, 2, 35, 70, 0, 0, 10, 0], [103, 1, 1, 38, 0, 0, 0, 0], [46, 14, 14, 197, 0, 0, 61, 1], [0, 0, 22, 0, 0, 0, 1, 212]]"
9,45.73598130841121,1.5603274449154183,0.43351796739628334,0.361215306314694,0.315201035339733,159307493,1.639344262295082,50.0,38.70967741935484,3.103448275862069,0.0,0.0,98.49849849849849,97.02127659574468,"[[2, 60, 0, 0, 0, 0, 60, 0], [0, 156, 0, 0, 0, 0, 156, 0], [1, 2, 60, 0, 0, 0, 81, 11], [22, 104, 0, 9, 0, 0, 155, 0], [0, 0, 5, 0, 0, 0, 117, 0], [16, 100, 1, 1, 0, 0, 25, 0], [0, 5, 0, 0, 0, 0, 328, 0], [0, 0, 5, 0, 0, 0, 2, 228]]"
10,42.81542056074766,1.7859016678951405,0.3361229141346328,0.3596918165123381,0.3170838440881029,175094720,0.0,21.794871794871796,52.903225806451616,0.0,0.0,16.083916083916083,99.09909909909909,97.87234042553192,"[[0, 34, 0, 0, 0, 2, 86, 0], [0, 68, 0, 0, 0, 0, 244, 0], [0, 2, 82, 0, 0, 0, 58, 13], [1, 54, 1, 0, 0, 40, 194, 0], [0, 0, 13, 0, 0, 0, 109, 0], [0, 69, 1, 0, 0, 23, 50, 0], [0, 0, 3, 0, 0, 0, 330, 0], [0, 0, 5, 0, 0, 0, 0, 230]]"
11,56.89252336448598,1.3005803183273033,0.38493896701778835,0.4901665024841929,0.42226137278836007,196622758,0.0,93.26923076923077,61.29032258064516,0.0,0.0,56.64335664335665,83.48348348348348,97.44680851063829,"[[0, 79, 0, 0, 0, 22, 21, 0], [0, 291, 0, 0, 0, 0, 21, 0], [0, 10, 95, 0, 0, 2, 39, 9], [0, 129, 2, 0, 0, 78, 81, 0], [0, 1, 23, 0, 0, 1, 97, 0], [0, 58, 1, 0, 0, 81, 3, 0], [0, 43, 11, 0, 0, 1, 278, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
12,46.26168224299065,1.415685686800215,0.46752910165738987,0.4663050635007932,0.3884709737697656,212409987,0.0,72.43589743589743,80.64516129032258,24.482758620689655,7.377049180327869,91.6083916083916,3.303303303303303,93.19148936170212,"[[0, 0, 2, 17, 0, 103, 0, 0], [0, 226, 1, 3, 0, 80, 2, 0], [0, 0, 125, 13, 0, 13, 0, 4], [0, 2, 12, 71, 3, 201, 1, 0], [0, 0, 50, 56, 9, 7, 0, 0], [0, 0, 2, 10, 0, 131, 0, 0], [0, 23, 61, 140, 46, 52, 11, 0], [0, 0, 16, 0, 0, 0, 0, 219]]"
13,39.13551401869159,1.7061392996046278,0.40423456392114665,0.3854573100375198,0.33452946137749473,233938027,0.0,22.435897435897438,72.90322580645162,66.20689655172414,3.278688524590164,50.349650349650354,0.0,93.19148936170212,"[[0, 0, 0, 57, 0, 65, 0, 0], [0, 70, 0, 44, 0, 196, 2, 0], [0, 0, 113, 34, 1, 4, 0, 3], [0, 0, 2, 192, 0, 96, 0, 0], [0, 0, 27, 91, 4, 0, 0, 0], [0, 0, 2, 69, 0, 72, 0, 0], [0, 0, 12, 298, 17, 6, 0, 0], [0, 0, 16, 0, 0, 0, 0, 219]]"
14,44.450934579439256,1.312308794922299,0.5244158700628843,0.4693289260294251,0.4105909294920764,255466066,0.0,33.33333333333333,29.677419354838708,11.03448275862069,68.0327868852459,98.6013986013986,39.03903903903904,95.74468085106383,"[[0, 0, 0, 5, 5, 112, 0, 0], [0, 104, 0, 1, 0, 202, 4, 1], [0, 0, 46, 4, 77, 14, 8, 6], [0, 1, 0, 32, 20, 226, 11, 0], [0, 0, 0, 28, 83, 9, 2, 0], [0, 0, 2, 0, 0, 141, 0, 0], [0, 25, 1, 34, 102, 41, 130, 0], [0, 0, 8, 0, 1, 0, 1, 225]]"
15,56.425233644859816,1.1136906720973827,0.4715910779360116,0.506264349341439,0.43870299159856513,276994102,0.0,76.92307692307693,36.774193548387096,0.0,10.655737704918032,97.9020979020979,88.28828828828829,94.46808510638299,"[[0, 4, 0, 0, 0, 100, 18, 0], [0, 240, 0, 0, 0, 60, 12, 0], [0, 0, 57, 1, 24, 9, 60, 4], [0, 9, 0, 0, 1, 198, 82, 0], [0, 0, 0, 0, 13, 3, 106, 0], [0, 1, 0, 0, 1, 140, 1, 0], [0, 33, 0, 0, 0, 6, 294, 0], [0, 0, 11, 0, 0, 0, 2, 222]]"
16,60.572429906542055,1.0500181913375854,0.5367136238348411,0.5543652242758873,0.4908012302996885,298522141,6.557377049180328,92.3076923076923,45.806451612903224,0.0,21.311475409836063,96.5034965034965,82.28228228228228,98.72340425531915,"[[8, 13, 0, 0, 1, 81, 19, 0], [6, 288, 0, 0, 0, 10, 7, 1], [0, 0, 71, 0, 15, 8, 41, 20], [4, 42, 0, 0, 2, 159, 83, 0], [0, 1, 11, 0, 26, 2, 82, 0], [0, 2, 1, 0, 0, 138, 1, 1], [1, 52, 3, 0, 3, 0, 274, 0], [0, 0, 2, 0, 1, 0, 0, 232]]"
17,59.81308411214953,1.0060930185847812,0.6186904312426857,0.5961590942775492,0.5122566999753317,317179776,0.819672131147541,83.97435897435898,65.16129032258064,0.6896551724137931,69.67213114754098,97.9020979020979,61.261261261261254,97.44680851063829,"[[1, 0, 0, 0, 15, 106, 0, 0], [22, 262, 0, 0, 2, 17, 7, 2], [0, 0, 101, 0, 25, 11, 7, 11], [4, 2, 5, 2, 40, 205, 32, 0], [0, 0, 23, 0, 85, 5, 9, 0], [0, 1, 1, 0, 0, 140, 0, 1], [1, 17, 26, 0, 79, 6, 204, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
