Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,16.88084112,2.437244047,0.021113384,0.124568966,0.036106947,18655396,0,0,0,99.65517241,0,0,0,0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 312, 0, 0, 0, 0], [0, 0, 0, 155, 0, 0, 0, 0], [0, 1, 0, 289, 0, 0, 0, 0], [0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 0, 333, 0, 0, 0, 0], [0, 0, 0, 235, 0, 0, 0, 0]]"
2,18.22429907,3.566274656,0.022780374,0.125,0.038537549,38745824,0,100,0,0,0,0,0,0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 155, 0, 0, 0, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 122, 0, 0, 0, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 235, 0, 0, 0, 0, 0, 0]]"
3,27.7453271,1.840471137,0.130006165,0.189248461,0.113573923,58836254,0,0,3.225806452,48.27586207,0,1.398601399,98.4984985,0,"[[0, 0, 0, 65, 0, 0, 57, 0], [0, 0, 0, 150, 0, 2, 160, 0], [0, 0, 5, 6, 0, 0, 144, 0], [0, 0, 0, 140, 0, 1, 149, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 0, 0, 121, 0, 2, 20, 0], [0, 0, 0, 5, 0, 0, 328, 0], [0, 0, 223, 0, 0, 0, 12, 0]]"
4,28.9135514,1.949214558,0.141593063,0.289019397,0.173394225,77491653,0,96.79487179,76.77419355,0,40.16393443,17.48251748,0,0,"[[0, 109, 0, 0, 5, 8, 0, 0], [0, 302, 2, 0, 3, 5, 0, 0], [0, 19, 119, 0, 16, 1, 0, 0], [0, 230, 4, 0, 18, 38, 0, 0], [0, 43, 30, 0, 49, 0, 0, 0], [0, 116, 0, 0, 2, 25, 0, 0], [0, 166, 45, 0, 122, 0, 0, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
5,31.83411215,1.569489004,0.186999255,0.254758953,0.180087073,99017115,0,9.615384615,0,78.27586207,0,0,15.91591592,100,"[[0, 15, 0, 105, 0, 0, 2, 0], [0, 30, 0, 279, 0, 0, 1, 2], [0, 15, 0, 13, 0, 0, 11, 116], [0, 52, 0, 227, 0, 0, 5, 6], [0, 61, 0, 7, 0, 0, 15, 39], [0, 1, 0, 142, 0, 0, 0, 0], [1, 185, 0, 45, 0, 0, 53, 49], [0, 0, 0, 0, 0, 0, 0, 235]]"
6,15.07009346,1.981103725,0.284218436,0.18528691,0.106285124,113367423,98.36065574,0.320512821,0,2.068965517,0,0,19.81981982,27.65957447,"[[120, 0, 0, 0, 0, 0, 2, 0], [309, 1, 0, 0, 0, 0, 2, 0], [20, 9, 0, 0, 0, 0, 126, 0], [267, 9, 0, 6, 0, 0, 8, 0], [58, 16, 0, 0, 0, 0, 48, 0], [142, 0, 0, 0, 0, 0, 1, 0], [179, 88, 0, 0, 0, 0, 66, 0], [0, 0, 0, 0, 0, 0, 170, 65]]"
7,23.48130841,2.857091158,0.062152086,0.217199666,0.095670226,127717730,0,0,75.48387097,98.27586207,0,0,0,0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 1, 311, 0, 0, 0, 0], [0, 0, 117, 38, 0, 0, 0, 0], [0, 0, 5, 285, 0, 0, 0, 0], [0, 0, 37, 85, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 29, 304, 0, 0, 0, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
8,35.68925234,1.91571216,0.191623438,0.274501375,0.20092369,144938096,0,99.35897436,0,0,0,1.398601399,20.12012012,98.72340426,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 310, 0, 0, 0, 0, 1, 1], [0, 29, 0, 0, 0, 0, 97, 29], [0, 261, 0, 0, 0, 20, 9, 0], [0, 76, 0, 0, 0, 0, 46, 0], [0, 140, 0, 0, 0, 2, 1, 0], [0, 266, 0, 0, 0, 0, 67, 0], [0, 0, 0, 0, 0, 0, 3, 232]]"
9,35.63084112,1.648157844,0.252877613,0.267346828,0.225570505,159288401,0,45.19230769,2.580645161,0,0,23.77622378,98.4984985,43.82978723,"[[0, 52, 0, 0, 0, 13, 57, 0], [0, 141, 0, 0, 0, 9, 162, 0], [0, 6, 4, 0, 0, 1, 143, 1], [0, 83, 0, 0, 0, 57, 150, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 91, 0, 0, 0, 34, 18, 0], [0, 4, 0, 0, 0, 1, 328, 0], [0, 0, 121, 0, 0, 0, 11, 103]]"
10,43.22429907,1.421590907,0.393193876,0.470313227,0.385220759,175073736,0,42.30769231,67.74193548,0,63.93442623,90.20979021,33.33333333,78.72340426,"[[0, 40, 0, 0, 13, 69, 0, 0], [0, 132, 1, 0, 10, 163, 6, 0], [0, 7, 105, 0, 32, 6, 4, 1], [0, 82, 0, 0, 35, 151, 22, 0], [0, 13, 21, 0, 78, 1, 9, 0], [0, 12, 0, 0, 2, 129, 0, 0], [0, 44, 21, 0, 152, 5, 111, 0], [0, 0, 49, 0, 1, 0, 0, 185]]"
