Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,16.880841121495326,2.0564981478231923,0.044342693354061415,0.1252084815627641,0.04163868137645741,18656540,0.0,0.0,1.2903225806451613,98.27586206896551,0.0,0.0,0.6006006006006006,0.0,"[[0, 0, 1, 121, 0, 0, 0, 0], [2, 0, 0, 310, 0, 0, 0, 0], [0, 0, 2, 130, 0, 0, 23, 0], [1, 1, 3, 285, 0, 0, 0, 0], [0, 0, 5, 111, 0, 0, 6, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 1, 330, 0, 0, 2, 0], [0, 0, 1, 182, 0, 0, 52, 0]]"
2,16.822429906542055,2.0336583058039346,0.021052631578947368,0.12413793103448276,0.036,38748200,0.0,0.0,0.0,99.3103448275862,0.0,0.0,0.0,0.0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 312, 0, 0, 0, 0], [0, 0, 0, 155, 0, 0, 0, 0], [0, 2, 0, 288, 0, 0, 0, 0], [0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 0, 333, 0, 0, 0, 0], [0, 0, 0, 235, 0, 0, 0, 0]]"
3,16.822429906542055,2.020592274489226,0.021064950263311878,0.12413793103448276,0.03601800900450225,58839862,0.0,0.0,0.0,99.3103448275862,0.0,0.0,0.0,0.0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 312, 0, 0, 0, 0], [0, 0, 0, 155, 0, 0, 0, 0], [0, 2, 0, 288, 0, 0, 0, 0], [0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 0, 333, 0, 0, 0, 0], [0, 0, 1, 234, 0, 0, 0, 0]]"
4,21.261682242990656,1.971293650291584,0.08726450588519555,0.1885942535866062,0.09014046141074361,77496405,0.0,2.2435897435897436,54.83870967741935,93.79310344827586,0.0,0.0,0.0,0.0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 7, 0, 305, 0, 0, 0, 0], [0, 1, 85, 69, 0, 0, 0, 0], [0, 18, 0, 272, 0, 0, 0, 0], [0, 0, 14, 108, 0, 0, 0, 0], [0, 3, 0, 140, 0, 0, 0, 0], [0, 0, 1, 332, 0, 0, 0, 0], [0, 0, 233, 2, 0, 0, 0, 0]]"
5,23.130841121495326,1.8730366892284818,0.09625967976123256,0.21471702889250163,0.11711996861939289,99023187,0.0,14.743589743589745,78.06451612903226,78.96551724137932,0.0,0.0,0.0,0.0,"[[0, 19, 0, 103, 0, 0, 0, 0], [0, 46, 0, 266, 0, 0, 0, 0], [0, 2, 121, 32, 0, 0, 0, 0], [0, 56, 5, 229, 0, 0, 0, 0], [0, 0, 40, 82, 0, 0, 0, 0], [0, 36, 0, 107, 0, 0, 0, 0], [0, 6, 19, 308, 0, 0, 0, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
6,26.927570093457945,1.769571558192924,0.21403515273313772,0.2396729792169169,0.14725015440385525,113374375,0.0,61.53846153846154,81.29032258064515,46.206896551724135,0.0,0.0,2.7027027027027026,0.0,"[[0, 74, 2, 46, 0, 0, 0, 0], [0, 192, 1, 118, 0, 0, 1, 0], [0, 5, 126, 24, 0, 0, 0, 0], [0, 149, 7, 134, 0, 0, 0, 0], [0, 1, 49, 72, 0, 0, 0, 0], [0, 115, 0, 28, 0, 0, 0, 0], [0, 29, 38, 257, 0, 0, 9, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
7,27.27803738317757,1.7432804792015641,0.1778842279371792,0.24032256699456367,0.14901285819149243,127725562,0.0,68.91025641025641,79.35483870967742,40.689655172413794,0.0,0.0,3.303303303303303,0.0,"[[0, 76, 1, 44, 0, 0, 1, 0], [0, 215, 0, 95, 0, 0, 2, 0], [0, 8, 123, 22, 0, 0, 2, 0], [0, 165, 5, 118, 0, 0, 2, 0], [0, 0, 47, 75, 0, 0, 0, 0], [0, 117, 0, 26, 0, 0, 0, 0], [0, 37, 32, 253, 0, 0, 11, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
8,29.380841121495326,1.6632505500758137,0.1666181403886322,0.2513919080798947,0.15837741629742239,144946984,0.0,91.02564102564102,77.41935483870968,22.758620689655174,0.0,0.0,9.90990990990991,0.0,"[[0, 103, 1, 16, 0, 0, 2, 0], [0, 284, 0, 26, 0, 0, 2, 0], [0, 13, 120, 16, 0, 0, 6, 0], [0, 215, 4, 66, 0, 0, 5, 0], [0, 6, 39, 64, 0, 0, 13, 0], [0, 139, 0, 4, 0, 0, 0, 0], [0, 94, 28, 178, 0, 0, 33, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
9,34.345794392523366,1.5225390703589827,0.17162621718239512,0.27717619433414764,0.18995111240910348,159298169,0.0,94.87179487179486,70.96774193548387,9.655172413793103,0.0,0.0,46.246246246246244,0.0,"[[0, 111, 0, 6, 0, 0, 5, 0], [0, 296, 0, 9, 0, 0, 7, 0], [0, 18, 110, 1, 0, 0, 26, 0], [0, 232, 2, 28, 0, 0, 28, 0], [0, 14, 25, 14, 0, 0, 69, 0], [0, 139, 0, 3, 0, 0, 1, 0], [0, 107, 14, 58, 0, 0, 154, 0], [0, 0, 234, 0, 0, 0, 1, 0]]"
10,49.47429906542056,1.4141406659726743,0.3362956708034145,0.39827830532092656,0.3337447468782427,175084472,0.0,94.55128205128204,63.2258064516129,0.6896551724137931,0.0,0.0,77.17717717717719,82.97872340425532,"[[0, 106, 0, 0, 0, 0, 16, 0], [0, 295, 0, 2, 0, 0, 15, 0], [0, 16, 98, 0, 0, 0, 38, 3], [0, 218, 1, 2, 0, 11, 58, 0], [0, 9, 18, 1, 0, 0, 94, 0], [0, 139, 0, 3, 0, 0, 1, 0], [0, 68, 7, 1, 0, 0, 257, 0], [0, 0, 39, 0, 0, 0, 1, 195]]"
