Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,29.38084112,2.03347786,0.076058531,0.240517241,0.115289238,18655377,0,0,0,92.4137931,0,0,0,100,"[[0, 0, 0, 119, 0, 0, 0, 3], [0, 0, 0, 296, 0, 0, 0, 16], [0, 0, 0, 21, 0, 0, 0, 134], [0, 1, 0, 268, 0, 0, 0, 21], [0, 0, 0, 57, 0, 0, 0, 65], [0, 0, 0, 142, 0, 0, 0, 1], [0, 0, 0, 139, 0, 0, 0, 194], [0, 0, 0, 0, 0, 0, 0, 235]]"
2,18.28271028,2.589436871,0.027120536,0.125806452,0.040493525,38745783,0,100,0.64516129,0,0,0,0,0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 154, 1, 0, 0, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 122, 0, 0, 0, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 204, 31, 0, 0, 0, 0, 0]]"
3,35.45560748,1.819905815,0.249512585,0.303221607,0.245211103,58836189,0,0,29.67741935,0,0,40.55944056,100,72.34042553,"[[0, 0, 0, 0, 0, 27, 95, 0], [0, 0, 1, 0, 0, 23, 288, 0], [0, 0, 46, 0, 0, 2, 106, 1], [0, 0, 0, 0, 0, 73, 217, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 0, 0, 0, 0, 58, 85, 0], [0, 0, 0, 0, 0, 0, 333, 0], [0, 0, 63, 0, 0, 0, 2, 170]]"
4,26.69392523,1.764080948,0.112115376,0.254631469,0.14433326,77491566,0,99.03846154,60.64516129,0,42.62295082,1.398601399,0,0,"[[0, 120, 0, 0, 2, 0, 0, 0], [0, 309, 2, 0, 1, 0, 0, 0], [0, 27, 94, 0, 34, 0, 0, 0], [0, 258, 0, 0, 10, 22, 0, 0], [0, 61, 9, 0, 52, 0, 0, 0], [0, 140, 0, 0, 1, 2, 0, 0], [0, 237, 7, 0, 89, 0, 0, 0], [0, 0, 234, 0, 1, 0, 0, 0]]"
5,41.0046729,1.391210302,0.281190327,0.332998214,0.288399104,99017001,0,26.28205128,0,60,0.819672131,28.67132867,51.05105105,99.57446809,"[[0, 20, 0, 84, 0, 13, 5, 0], [0, 82, 0, 217, 1, 7, 4, 1], [0, 3, 0, 14, 3, 2, 43, 90], [0, 39, 0, 174, 1, 52, 23, 1], [0, 26, 0, 13, 1, 0, 74, 8], [0, 6, 0, 95, 0, 41, 1, 0], [0, 102, 0, 45, 2, 0, 170, 14], [0, 0, 0, 0, 0, 0, 1, 234]]"
6,19.85981308,2.237798331,0.164779376,0.235503829,0.146509795,113367291,100,0.320512821,0,0,0,0,10.21021021,77.87234043,"[[122, 0, 0, 0, 0, 0, 0, 0], [309, 1, 0, 0, 0, 0, 2, 0], [34, 1, 0, 0, 0, 0, 119, 1], [285, 0, 0, 0, 0, 0, 5, 0], [85, 0, 0, 0, 0, 0, 37, 0], [142, 1, 0, 0, 0, 0, 0, 0], [291, 8, 0, 0, 0, 0, 34, 0], [0, 0, 0, 0, 0, 0, 52, 183]]"
7,27.04439252,1.76742019,0.068438349,0.188548462,0.098976287,127717581,0,0,0,91.37931034,0,0,59.45945946,0,"[[0, 0, 0, 117, 0, 0, 5, 0], [0, 0, 0, 307, 1, 0, 4, 0], [0, 0, 0, 19, 0, 0, 136, 0], [0, 0, 0, 265, 0, 0, 25, 0], [0, 0, 0, 42, 0, 0, 80, 0], [0, 0, 0, 142, 0, 0, 1, 0], [0, 0, 0, 135, 0, 0, 198, 0], [0, 0, 0, 0, 0, 0, 235, 0]]"
8,38.08411215,1.623213245,0.290509881,0.296058107,0.228680728,144937929,0,99.03846154,9.032258065,0,0,1.398601399,28.22822823,99.14893617,"[[0, 120, 0, 0, 0, 0, 2, 0], [0, 309, 0, 0, 0, 0, 2, 1], [0, 27, 14, 0, 0, 0, 57, 57], [0, 260, 0, 0, 0, 20, 10, 0], [0, 69, 4, 0, 0, 0, 49, 0], [0, 140, 0, 0, 0, 2, 1, 0], [0, 237, 0, 0, 0, 0, 94, 2], [0, 0, 1, 0, 0, 0, 1, 233]]"
9,49.64953271,1.389125996,0.364795922,0.464265837,0.375603885,159288219,0,34.61538462,70.96774194,0,0,90.90909091,92.79279279,82.12765957,"[[0, 17, 0, 0, 0, 74, 31, 0], [0, 108, 1, 0, 0, 130, 73, 0], [0, 1, 110, 0, 0, 7, 36, 1], [0, 28, 2, 0, 0, 158, 102, 0], [0, 1, 32, 0, 0, 0, 89, 0], [0, 9, 0, 0, 0, 130, 4, 0], [0, 8, 10, 0, 0, 6, 309, 0], [0, 0, 42, 0, 0, 0, 0, 193]]"
10,53.5046729,1.287034794,0.361914599,0.443478132,0.383154568,175073538,0,78.84615385,64.51612903,0,0,20.27972028,93.69369369,97.44680851,"[[0, 97, 0, 0, 0, 3, 22, 0], [0, 246, 1, 0, 1, 3, 61, 0], [0, 8, 100, 0, 0, 1, 34, 12], [0, 150, 2, 0, 0, 42, 96, 0], [0, 1, 31, 0, 0, 0, 90, 0], [0, 110, 0, 0, 0, 29, 4, 0], [0, 13, 8, 0, 0, 0, 312, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
11,39.0771028,1.603150052,0.331950097,0.357765281,0.25813683,196598973,0,94.55128205,0,20,77.86885246,0,0.600600601,93.19148936,"[[0, 107, 0, 8, 7, 0, 0, 0], [0, 295, 0, 12, 5, 0, 0, 0], [0, 15, 0, 3, 134, 0, 0, 3], [0, 204, 0, 58, 28, 0, 0, 0], [0, 23, 0, 4, 95, 0, 0, 0], [0, 106, 0, 35, 2, 0, 0, 0], [0, 167, 0, 4, 160, 0, 2, 0], [0, 0, 0, 0, 15, 0, 1, 219]]"
12,50.35046729,1.29337821,0.404942082,0.422133216,0.356416118,212384292,0,12.82051282,80,67.5862069,0,0,87.08708709,90.21276596,"[[0, 0, 2, 98, 0, 0, 22, 0], [0, 40, 1, 190, 0, 0, 81, 0], [0, 0, 124, 9, 0, 0, 20, 2], [0, 1, 8, 196, 0, 0, 85, 0], [0, 0, 61, 2, 0, 0, 59, 0], [0, 1, 1, 140, 0, 0, 1, 0], [0, 1, 30, 12, 0, 0, 290, 0], [0, 0, 23, 0, 0, 0, 0, 212]]"
13,55.31542056,1.308347361,0.498430475,0.544291431,0.44189627,233909727,0,58.97435897,13.5483871,0,87.70491803,97.2027972,79.27927928,98.72340426,"[[0, 14, 0, 0, 14, 92, 2, 0], [0, 184, 0, 0, 7, 105, 16, 0], [0, 4, 21, 0, 76, 8, 21, 25], [0, 35, 0, 0, 33, 190, 32, 0], [0, 3, 0, 0, 107, 2, 10, 0], [0, 2, 0, 0, 1, 139, 1, 0], [0, 30, 0, 0, 34, 5, 264, 0], [0, 0, 0, 0, 2, 0, 1, 232]]"
