Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,26.81074766,2.088549647,0.067795406,0.221551724,0.102929639,37269739,0,0,0,77.24137931,0,0,0,100,"[[0, 0, 0, 107, 0, 0, 0, 15], [0, 0, 0, 227, 0, 0, 0, 85], [0, 0, 0, 14, 0, 0, 0, 141], [0, 2, 0, 224, 0, 0, 0, 64], [0, 0, 0, 17, 0, 0, 0, 105], [0, 0, 0, 132, 0, 0, 0, 11], [0, 0, 0, 37, 0, 0, 0, 296], [0, 0, 0, 0, 0, 0, 0, 235]]"
2,18.28271028,2.549132789,0.026270201,0.125806452,0.04134603,77406381,0,100,0.64516129,0,0,0,0,0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 150, 1, 0, 4, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 122, 0, 0, 0, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 159, 52, 0, 24, 0, 0, 0]]"
3,30.89953271,1.80076132,0.21904277,0.259325249,0.197678376,117543023,0,0,20,0,0,44.05594406,100,43.40425532,"[[0, 0, 0, 0, 0, 32, 90, 0], [0, 0, 1, 0, 0, 36, 275, 0], [0, 0, 31, 0, 0, 2, 121, 1], [0, 0, 0, 0, 0, 75, 215, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 0, 0, 0, 0, 63, 80, 0], [0, 0, 0, 0, 0, 0, 333, 0], [0, 0, 131, 0, 0, 0, 2, 102]]"
4,24.88317757,1.880661922,0.092554069,0.233557963,0.123236096,154812762,0,99.03846154,29.03225806,0,57.37704918,1.398601399,0,0,"[[0, 117, 0, 0, 5, 0, 0, 0], [0, 309, 2, 0, 1, 0, 0, 0], [0, 21, 45, 0, 89, 0, 0, 0], [0, 251, 0, 0, 16, 23, 0, 0], [0, 52, 0, 0, 70, 0, 0, 0], [0, 140, 0, 0, 1, 2, 0, 0], [0, 189, 0, 0, 144, 0, 0, 0], [0, 0, 232, 0, 3, 0, 0, 0]]"
5,38.08411215,1.415413113,0.227508438,0.304422583,0.235609843,197816307,0,0.641025641,0,77.5862069,0,14.68531469,51.05105105,99.57446809,"[[0, 0, 0, 108, 0, 9, 5, 0], [0, 2, 0, 301, 1, 2, 5, 1], [0, 0, 0, 18, 0, 1, 41, 95], [0, 1, 0, 225, 0, 39, 24, 1], [0, 1, 0, 41, 0, 0, 71, 9], [0, 0, 0, 121, 0, 21, 1, 0], [0, 16, 0, 130, 0, 0, 170, 17], [0, 0, 0, 0, 0, 0, 1, 234]]"
6,18.22429907,2.272993803,0.154957595,0.218683416,0.136277851,226485337,99.18032787,0,0,0,0,0,13.21321321,62.55319149,"[[121, 1, 0, 0, 0, 0, 0, 0], [309, 0, 0, 0, 0, 0, 3, 0], [31, 2, 0, 0, 0, 0, 121, 1], [281, 3, 0, 0, 0, 0, 6, 0], [76, 4, 0, 0, 0, 0, 42, 0], [142, 1, 0, 0, 0, 0, 0, 0], [230, 59, 0, 0, 0, 0, 44, 0], [0, 0, 0, 0, 0, 0, 88, 147]]"
7,28.85514019,1.764998103,0.072945655,0.199795485,0.106065036,255154367,0,0,0,88.96551724,0,0,70.87087087,0,"[[0, 0, 0, 115, 0, 0, 7, 0], [0, 0, 0, 303, 1, 0, 8, 0], [0, 0, 0, 18, 0, 0, 137, 0], [0, 0, 0, 258, 0, 0, 32, 0], [0, 0, 0, 31, 0, 0, 91, 0], [0, 0, 0, 142, 0, 0, 1, 0], [0, 0, 0, 97, 0, 0, 236, 0], [0, 0, 0, 0, 0, 0, 235, 0]]"
8,36.15654206,1.648137073,0.277143383,0.285145753,0.214520513,289557203,0,99.35897436,10.96774194,0,0,1.398601399,16.81681682,99.57446809,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 310, 0, 0, 0, 0, 0, 2], [0, 33, 17, 0, 0, 0, 37, 68], [0, 262, 0, 0, 0, 20, 8, 0], [0, 80, 7, 0, 0, 0, 34, 1], [0, 140, 0, 0, 0, 2, 1, 0], [0, 272, 0, 0, 0, 0, 56, 5], [0, 0, 0, 0, 0, 0, 1, 234]]"
9,42.81542056,1.458925221,0.317481008,0.381012603,0.304638068,318226233,0,36.85897436,32.90322581,0,0,87.41258741,96.996997,50.63829787,"[[0, 31, 0, 0, 0, 62, 29, 0], [0, 115, 1, 0, 0, 113, 83, 0], [0, 2, 51, 0, 0, 6, 95, 1], [0, 42, 0, 0, 0, 143, 105, 0], [0, 1, 0, 0, 0, 0, 121, 0], [0, 14, 0, 0, 0, 125, 4, 0], [0, 8, 0, 0, 0, 2, 323, 0], [0, 0, 114, 0, 0, 0, 2, 119]]"
10,53.56308411,1.318066952,0.356269527,0.450903453,0.388246904,349762166,0,78.52564103,68.38709677,0,0,26.57342657,89.78978979,97.44680851,"[[0, 88, 0, 0, 0, 12, 22, 0], [0, 245, 1, 0, 1, 3, 62, 0], [0, 7, 106, 0, 0, 2, 29, 11], [0, 140, 3, 0, 0, 53, 94, 0], [0, 1, 31, 0, 0, 0, 90, 0], [0, 101, 0, 0, 0, 38, 4, 0], [0, 14, 20, 0, 0, 0, 299, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
11,36.85747664,1.665141613,0.253983492,0.325195717,0.239754756,392765711,0,98.3974359,0,14.13793103,56.55737705,0,0,91.06382979,"[[0, 114, 0, 5, 3, 0, 0, 0], [0, 307, 0, 3, 2, 0, 0, 0], [0, 21, 0, 1, 132, 0, 0, 1], [0, 237, 0, 41, 12, 0, 0, 0], [0, 52, 0, 1, 69, 0, 0, 0], [0, 119, 0, 23, 1, 0, 0, 0], [0, 241, 0, 1, 91, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 214]]"
12,43.3411215,1.427542726,0.388953048,0.368626879,0.29243506,424301644,0,0.320512821,80.64516129,54.48275862,0,0,84.98498498,74.46808511,"[[0, 0, 2, 81, 0, 0, 39, 0], [0, 1, 2, 153, 0, 0, 156, 0], [0, 0, 125, 7, 0, 0, 22, 1], [0, 0, 7, 158, 0, 0, 125, 0], [0, 0, 57, 1, 0, 0, 64, 0], [0, 0, 1, 136, 0, 0, 6, 0], [0, 0, 45, 5, 0, 0, 283, 0], [0, 0, 60, 0, 0, 0, 0, 175]]"
