Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,29.84813084,2.002218123,0.081421544,0.243965517,0.120896487,17885348,0,0,0,95.17241379,0,0,0,100,"[[0, 0, 0, 119, 0, 0, 0, 3], [0, 0, 0, 301, 0, 0, 0, 11], [0, 0, 0, 29, 0, 0, 0, 126], [0, 2, 0, 276, 0, 0, 0, 12], [0, 0, 0, 68, 0, 0, 0, 54], [0, 0, 0, 142, 0, 0, 0, 1], [0, 0, 0, 199, 0, 0, 0, 134], [0, 0, 0, 0, 0, 0, 0, 235]]"
2,18.28271028,2.280912682,0.147793688,0.125806452,0.040159163,37146492,0,100,0.64516129,0,0,0,0,0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 154, 1, 0, 0, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 122, 0, 0, 0, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 235, 0, 0, 0, 0, 0, 0]]"
3,23.24766355,1.835337204,0.109817222,0.178218611,0.101053277,56407636,0,0,17.41935484,1.379310345,0,23.77622378,100,0,"[[0, 0, 0, 1, 0, 28, 93, 0], [0, 0, 1, 2, 0, 15, 294, 0], [0, 0, 27, 0, 0, 1, 127, 0], [0, 0, 0, 4, 0, 57, 229, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 0, 0, 8, 0, 34, 101, 0], [0, 0, 0, 0, 0, 0, 333, 0], [0, 0, 230, 0, 0, 0, 5, 0]]"
4,28.21261682,1.63342522,0.200812116,0.267247833,0.160673296,74292984,0,99.03846154,44.51612903,0,59.83606557,1.398601399,9.009009009,0,"[[0, 117, 0, 0, 5, 0, 0, 0], [0, 309, 1, 0, 1, 0, 1, 0], [0, 19, 69, 0, 67, 0, 0, 0], [0, 251, 0, 0, 14, 16, 9, 0], [0, 45, 3, 0, 73, 0, 1, 0], [0, 140, 0, 0, 1, 2, 0, 0], [0, 165, 2, 0, 136, 0, 30, 0], [0, 0, 234, 0, 1, 0, 0, 0]]"
5,43.39953271,1.440592618,0.429015754,0.372349074,0.340521145,94929924,0,91.34615385,18.70967742,16.20689655,39.3442623,4.895104895,28.22822823,99.14893617,"[[0, 115, 0, 4, 2, 0, 1, 0], [0, 285, 0, 24, 1, 0, 1, 1], [0, 18, 29, 4, 27, 0, 14, 63], [0, 203, 0, 47, 5, 25, 9, 1], [0, 50, 9, 7, 48, 0, 8, 0], [0, 116, 0, 19, 0, 7, 1, 0], [0, 123, 2, 80, 22, 0, 94, 12], [0, 0, 1, 0, 1, 0, 0, 233]]"
6,28.67990654,1.758160587,0.1824132,0.297413419,0.196293261,108687884,97.54098361,0,0,0,0,0,42.94294294,97.44680851,"[[119, 0, 0, 0, 0, 0, 3, 0], [309, 0, 0, 0, 0, 0, 3, 0], [20, 0, 0, 0, 0, 0, 125, 10], [273, 0, 0, 0, 0, 0, 17, 0], [57, 0, 0, 0, 0, 0, 65, 0], [142, 0, 0, 0, 0, 0, 1, 0], [190, 0, 0, 0, 0, 0, 143, 0], [0, 0, 0, 0, 0, 0, 6, 229]]"
7,25.75934579,1.632442143,0.064727235,0.1805685,0.093437947,122445844,0,0,0,93.10344828,0,0,51.35135135,0,"[[0, 0, 0, 117, 0, 0, 5, 0], [0, 0, 0, 309, 0, 0, 3, 0], [0, 0, 0, 20, 0, 0, 135, 0], [0, 0, 0, 270, 0, 0, 20, 0], [0, 0, 0, 45, 0, 0, 77, 0], [0, 0, 0, 142, 0, 0, 1, 0], [0, 0, 0, 162, 0, 0, 171, 0], [0, 0, 0, 0, 0, 0, 235, 0]]"
8,45.3271028,1.421131991,0.28559298,0.359281278,0.294862491,138955396,0,99.03846154,35.48387097,0,0,0,53.75375375,99.14893617,"[[0, 117, 0, 0, 0, 0, 5, 0], [0, 309, 0, 0, 0, 0, 2, 1], [0, 18, 55, 0, 0, 0, 30, 52], [0, 259, 3, 0, 0, 5, 23, 0], [0, 38, 31, 0, 0, 0, 53, 0], [0, 142, 0, 0, 0, 0, 1, 0], [0, 145, 6, 0, 0, 0, 179, 3], [0, 0, 2, 0, 0, 0, 0, 233]]"
9,54.78971963,1.312810185,0.370615934,0.462312346,0.400684128,152713356,0,77.88461538,58.06451613,0,0,41.25874126,95.1951952,97.44680851,"[[0, 68, 0, 0, 0, 25, 29, 0], [0, 243, 1, 0, 0, 16, 52, 0], [0, 5, 90, 0, 0, 3, 49, 8], [0, 98, 2, 0, 0, 83, 107, 0], [0, 0, 23, 0, 0, 0, 99, 0], [0, 78, 0, 0, 0, 59, 6, 0], [0, 12, 3, 0, 0, 1, 317, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
10,55.89953271,1.266063068,0.373851353,0.484830374,0.413958958,167847112,0,73.71794872,65.16129032,0,0,56.64335664,94.89489489,97.44680851,"[[0, 50, 0, 0, 0, 41, 31, 0], [0, 230, 1, 0, 0, 19, 62, 0], [0, 3, 101, 0, 0, 5, 36, 10], [0, 72, 3, 0, 0, 103, 112, 0], [0, 0, 32, 0, 0, 0, 90, 0], [0, 55, 0, 0, 0, 81, 7, 0], [0, 10, 6, 0, 0, 1, 316, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
