Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.0,2.3078556898683784,0.01,0.1,0.01818181818181818,193865476,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,10.0,2.315536510449248,0.01,0.1,0.01818181818181818,402643681,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
3,11.66,2.3471124042718174,0.031909866846254645,0.1166,0.04007371533045474,611421886,0.0,0.0,96.0,0.0,0.0,0.0,0.0,20.599999999999998,0.0,0.0,"[[0, 0, 958, 0, 0, 0, 0, 42, 0, 0], [0, 0, 859, 0, 0, 0, 0, 141, 0, 0], [0, 0, 960, 0, 0, 0, 0, 40, 0, 0], [0, 0, 892, 0, 0, 0, 0, 108, 0, 0], [0, 0, 954, 0, 0, 0, 0, 46, 0, 0], [0, 0, 907, 0, 0, 0, 0, 93, 0, 0], [0, 0, 948, 0, 0, 0, 0, 52, 0, 0], [0, 0, 794, 0, 0, 0, 0, 206, 0, 0], [0, 0, 930, 0, 0, 0, 0, 70, 0, 0], [0, 0, 830, 0, 0, 0, 0, 170, 0, 0]]"
4,13.88,2.3646008937884444,0.11672727381943382,0.13879999999999998,0.07092224280455853,805287362,19.900000000000002,0.0,0.1,56.39999999999999,0.0,0.0,0.0,62.4,0.0,0.0,"[[199, 0, 0, 142, 0, 0, 0, 659, 0, 0], [15, 0, 1, 353, 0, 0, 0, 631, 0, 0], [35, 0, 1, 539, 0, 0, 0, 425, 0, 0], [7, 0, 0, 564, 0, 0, 0, 429, 0, 0], [7, 0, 0, 653, 0, 0, 0, 340, 0, 0], [3, 0, 0, 621, 0, 0, 0, 376, 0, 0], [3, 0, 1, 675, 0, 0, 0, 321, 0, 0], [3, 0, 0, 373, 0, 0, 0, 624, 0, 0], [54, 0, 0, 146, 0, 0, 0, 800, 0, 0], [14, 0, 0, 133, 0, 0, 0, 853, 0, 0]]"
5,17.72,2.27187340480451,0.08900171793490867,0.1772,0.09964543360805443,1028978297,67.9,73.2,0.0,27.900000000000002,0.0,0.0,0.0,8.200000000000001,0.0,0.0,"[[679, 295, 0, 16, 0, 0, 0, 10, 0, 0], [174, 732, 0, 62, 0, 0, 0, 32, 0, 0], [187, 658, 0, 139, 0, 0, 0, 16, 0, 0], [83, 604, 0, 279, 0, 0, 0, 34, 0, 0], [63, 680, 0, 245, 0, 0, 0, 12, 0, 0], [55, 666, 0, 261, 0, 0, 0, 18, 0, 0], [59, 634, 0, 284, 0, 0, 0, 23, 0, 0], [80, 728, 0, 110, 0, 0, 0, 82, 0, 0], [515, 442, 0, 26, 0, 0, 0, 17, 0, 0], [195, 700, 0, 25, 0, 0, 0, 80, 0, 0]]"
6,24.76,2.120019808744851,0.1904607380463088,0.2476,0.17612724701110358,1178105587,23.200000000000003,48.1,0.0,24.9,0.0,0.0,73.8,11.4,66.2,0.0,"[[232, 132, 0, 28, 0, 0, 80, 8, 520, 0], [22, 481, 0, 48, 0, 0, 210, 21, 218, 0], [44, 151, 0, 100, 0, 0, 531, 12, 162, 0], [8, 209, 0, 249, 0, 0, 435, 21, 78, 0], [9, 119, 0, 71, 0, 0, 694, 9, 98, 0], [11, 194, 0, 278, 0, 0, 443, 17, 57, 0], [7, 132, 0, 70, 0, 0, 738, 19, 34, 0], [13, 364, 0, 78, 0, 0, 346, 114, 85, 0], [58, 167, 0, 66, 0, 0, 41, 6, 662, 0], [23, 504, 0, 42, 0, 0, 93, 45, 293, 0]]"
7,18.03,2.2346381844042207,0.24683368944609135,0.1803,0.06936786012992964,1327232876,0.0,0.1,0.0,3.5000000000000004,0.0,0.0,89.1,1.5,86.1,0.0,"[[0, 0, 0, 5, 0, 0, 143, 0, 852, 0], [0, 1, 0, 2, 0, 0, 471, 0, 526, 0], [0, 0, 0, 13, 0, 0, 682, 2, 303, 0], [0, 0, 0, 35, 0, 0, 774, 0, 191, 0], [0, 0, 0, 6, 0, 0, 815, 0, 179, 0], [0, 0, 0, 43, 0, 0, 795, 0, 162, 0], [0, 0, 0, 10, 0, 0, 891, 0, 99, 0], [0, 0, 0, 2, 0, 0, 673, 15, 310, 0], [0, 0, 0, 7, 0, 0, 131, 1, 861, 0], [0, 0, 0, 6, 0, 0, 325, 0, 669, 0]]"
8,21.96,2.276839832909191,0.18357129457595375,0.21959999999999996,0.12497774472142686,1506185624,0.0,7.6,0.0,39.4,0.0,0.0,74.5,10.6,87.5,0.0,"[[0, 5, 0, 54, 0, 0, 67, 4, 870, 0], [0, 76, 0, 119, 0, 0, 156, 9, 640, 0], [1, 7, 0, 189, 0, 0, 508, 6, 289, 0], [0, 5, 0, 394, 0, 0, 406, 5, 190, 0], [0, 4, 0, 137, 0, 0, 667, 7, 185, 0], [0, 6, 0, 390, 0, 0, 410, 2, 192, 0], [0, 2, 0, 180, 0, 0, 745, 1, 72, 0], [0, 23, 0, 176, 0, 0, 397, 106, 298, 0], [0, 2, 0, 88, 0, 0, 32, 3, 875, 0], [0, 13, 0, 149, 0, 0, 149, 13, 676, 0]]"
9,27.19,2.1021432811840652,0.2087188844482834,0.2719,0.21561024462258976,1655312913,65.5,70.89999999999999,0.0,19.8,24.8,0.0,43.0,27.800000000000004,20.1,0.0,"[[655, 184, 0, 21, 16, 0, 21, 14, 89, 0], [111, 709, 0, 11, 22, 0, 48, 20, 79, 0], [173, 221, 0, 125, 203, 0, 219, 36, 23, 0], [88, 327, 0, 198, 110, 0, 226, 40, 11, 0], [87, 189, 0, 65, 248, 0, 333, 53, 25, 0], [69, 319, 0, 227, 112, 0, 217, 42, 14, 0], [28, 179, 0, 95, 240, 0, 430, 27, 1, 0], [71, 309, 0, 80, 86, 0, 165, 278, 11, 0], [474, 285, 0, 16, 5, 0, 9, 10, 201, 0], [125, 594, 0, 34, 14, 0, 32, 104, 97, 0]]"
10,24.37,2.076399557125835,0.36229001501096625,0.24369999999999997,0.15453035830756617,1819352932,53.300000000000004,87.2,0.2,16.2,74.2,0.1,0.0,12.3,0.2,0.0,"[[533, 321, 0, 34, 110, 0, 0, 1, 1, 0], [31, 872, 0, 5, 86, 0, 0, 5, 1, 0], [86, 187, 2, 114, 603, 0, 0, 7, 1, 0], [35, 291, 0, 162, 504, 1, 1, 6, 0, 0], [53, 165, 0, 36, 742, 0, 0, 4, 0, 0], [22, 225, 0, 184, 559, 1, 0, 8, 1, 0], [7, 170, 0, 70, 748, 0, 0, 5, 0, 0], [30, 233, 0, 92, 522, 0, 0, 123, 0, 0], [364, 544, 0, 10, 78, 0, 0, 2, 2, 0], [54, 757, 0, 17, 161, 0, 0, 11, 0, 0]]"
