Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.0,2.332208122308262,0.01,0.1,0.01818181818181818,193865476,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,10.02,2.462002037432247,0.0453102077516445,0.1002,0.019381695388914766,402643681,0.0,0.0,0.0,0.6,0.0,0.0,0.0,99.6,0.0,0.0,"[[0, 0, 0, 0, 0, 0, 0, 980, 0, 20], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 996, 0, 4], [0, 0, 0, 6, 0, 0, 0, 993, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 4, 0, 0, 0, 995, 0, 1], [0, 0, 0, 3, 0, 0, 0, 996, 0, 1], [0, 0, 0, 3, 0, 0, 0, 996, 0, 1], [0, 0, 0, 0, 0, 0, 0, 989, 0, 11], [0, 0, 0, 1, 0, 0, 0, 999, 0, 0]]"
3,18.84,2.358919642603816,0.059564313884779174,0.18839999999999998,0.08890915415364001,611421886,83.0,0.0,59.5,0.0,0.0,0.0,0.0,45.9,0.0,0.0,"[[830, 0, 102, 0, 0, 0, 0, 68, 0, 0], [377, 0, 401, 0, 0, 0, 0, 222, 0, 0], [278, 0, 595, 0, 0, 0, 0, 127, 0, 0], [164, 0, 630, 0, 0, 0, 0, 206, 0, 0], [154, 0, 701, 0, 0, 0, 0, 145, 0, 0], [144, 0, 635, 0, 0, 0, 0, 221, 0, 0], [77, 0, 754, 0, 0, 0, 0, 169, 0, 0], [170, 0, 371, 0, 0, 0, 0, 459, 0, 0], [817, 0, 112, 0, 0, 0, 0, 71, 0, 0], [474, 0, 168, 0, 0, 0, 0, 358, 0, 0]]"
4,10.0,2.961624459336741,0.01,0.1,0.01818181818181818,805287362,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
5,15.56,2.248909786486397,0.08237824996159343,0.15560000000000002,0.07715990485712985,1028978297,0.0,0.0,0.0,0.0,6.2,3.0,95.19999999999999,0.0,8.4,42.8,"[[0, 0, 0, 0, 142, 10, 201, 0, 194, 453], [0, 0, 0, 0, 128, 34, 578, 0, 3, 257], [0, 0, 0, 0, 58, 26, 765, 0, 26, 125], [0, 0, 0, 0, 47, 32, 863, 0, 2, 56], [0, 0, 0, 0, 62, 5, 864, 0, 4, 65], [0, 0, 0, 0, 42, 30, 884, 0, 4, 40], [0, 0, 0, 0, 16, 9, 952, 0, 0, 23], [0, 0, 1, 0, 161, 14, 668, 0, 1, 155], [0, 0, 0, 0, 162, 6, 220, 0, 84, 528], [0, 0, 0, 0, 180, 32, 354, 0, 6, 428]]"
6,25.12,2.2143772055927555,0.2136880318427677,0.25120000000000003,0.1636462632593632,1178105587,0.0,0.8999999999999999,0.0,36.0,0.0,0.0,81.2,34.2,76.5,22.400000000000002,"[[0, 2, 0, 49, 0, 0, 101, 52, 745, 51], [0, 9, 0, 94, 0, 0, 234, 164, 363, 136], [0, 0, 0, 208, 0, 0, 549, 60, 160, 23], [0, 0, 0, 360, 0, 0, 475, 66, 73, 26], [0, 0, 0, 70, 0, 0, 739, 63, 112, 16], [0, 0, 0, 440, 0, 0, 437, 48, 66, 9], [0, 0, 0, 109, 0, 0, 812, 44, 28, 7], [0, 0, 0, 134, 0, 0, 368, 342, 82, 74], [0, 0, 0, 56, 0, 0, 80, 46, 765, 53], [0, 1, 0, 93, 0, 0, 126, 193, 363, 224]]"
7,21.87,2.1469885743083283,0.27214111942061214,0.21870000000000003,0.1442444157151002,1327232876,17.1,15.7,0.0,20.599999999999998,0.3,0.0,91.4,1.9,71.7,0.0,"[[171, 23, 1, 103, 1, 0, 161, 1, 539, 0], [29, 157, 4, 100, 0, 0, 445, 0, 265, 0], [24, 6, 0, 165, 1, 0, 717, 1, 86, 0], [4, 3, 1, 206, 2, 0, 752, 0, 32, 0], [5, 2, 0, 45, 3, 0, 853, 1, 91, 0], [7, 1, 1, 222, 1, 0, 736, 0, 32, 0], [2, 0, 0, 79, 0, 0, 914, 0, 5, 0], [3, 14, 2, 135, 22, 0, 704, 19, 101, 0], [31, 12, 0, 87, 0, 0, 153, 0, 717, 0], [13, 53, 1, 145, 3, 0, 385, 1, 399, 0]]"
8,19.88,2.34965645962249,0.1428497736649254,0.1988,0.10704347361397473,1506185624,89.60000000000001,39.900000000000006,1.7000000000000002,60.6,0.0,0.0,0.0,7.000000000000001,0.0,0.0,"[[896, 64, 3, 36, 0, 0, 0, 1, 0, 0], [551, 399, 0, 49, 0, 0, 0, 1, 0, 0], [361, 102, 17, 512, 0, 0, 0, 8, 0, 0], [305, 84, 1, 606, 0, 0, 0, 4, 0, 0], [301, 95, 38, 554, 0, 0, 0, 12, 0, 0], [269, 49, 3, 671, 0, 0, 0, 8, 0, 0], [136, 63, 22, 772, 0, 0, 0, 7, 0, 0], [423, 184, 9, 314, 0, 0, 0, 70, 0, 0], [928, 40, 0, 32, 0, 0, 0, 0, 0, 0], [678, 224, 0, 90, 0, 0, 0, 8, 0, 0]]"
9,28.98,2.0905399006395675,0.30195400713053433,0.2898,0.218376957075315,1655312913,32.1,80.7,0.0,0.0,68.8,17.4,18.8,64.4,7.6,0.0,"[[321, 332, 0, 0, 140, 3, 5, 187, 12, 0], [5, 807, 0, 0, 58, 1, 11, 118, 0, 0], [34, 64, 0, 0, 533, 30, 56, 282, 1, 0], [4, 76, 0, 0, 383, 89, 126, 322, 0, 0], [14, 60, 0, 0, 688, 7, 56, 173, 2, 0], [5, 37, 0, 0, 415, 174, 80, 289, 0, 0], [1, 36, 0, 0, 598, 5, 188, 172, 0, 0], [2, 66, 0, 0, 248, 14, 24, 644, 2, 0], [149, 521, 0, 0, 121, 3, 9, 121, 76, 0], [11, 623, 0, 0, 51, 0, 14, 299, 2, 0]]"
10,27.47,2.017837292089249,0.3754869393593908,0.27470000000000006,0.23511262007122408,1819352932,34.300000000000004,60.0,7.5,95.1,16.1,0.8999999999999999,0.0,0.0,45.9,14.899999999999999,"[[343, 84, 61, 262, 25, 1, 0, 0, 200, 24], [12, 600, 13, 290, 3, 0, 0, 0, 57, 25], [31, 10, 75, 802, 64, 1, 0, 0, 12, 5], [3, 7, 14, 951, 17, 1, 0, 0, 6, 1], [11, 11, 33, 764, 161, 1, 0, 0, 17, 2], [4, 4, 11, 958, 8, 9, 0, 0, 4, 2], [0, 1, 7, 915, 75, 0, 0, 0, 2, 0], [4, 15, 35, 871, 38, 0, 0, 0, 22, 15], [103, 114, 47, 227, 20, 0, 0, 0, 459, 30], [17, 311, 22, 417, 4, 0, 0, 0, 80, 149]]"
11,30.8,1.79427437355724,0.4572643688323724,0.308,0.24199000923738573,2043043866,5.6000000000000005,13.8,4.1000000000000005,0.0,1.5,91.10000000000001,31.1,22.7,67.5,70.6,"[[56, 7, 15, 1, 0, 171, 9, 29, 561, 151], [2, 138, 4, 0, 0, 148, 27, 9, 127, 545], [5, 0, 41, 1, 6, 692, 111, 22, 65, 57], [1, 1, 3, 0, 0, 825, 57, 18, 24, 71], [1, 0, 28, 0, 15, 633, 198, 34, 55, 36], [1, 0, 1, 1, 0, 911, 30, 13, 20, 23], [0, 0, 15, 6, 0, 601, 311, 10, 7, 50], [0, 0, 10, 0, 1, 611, 23, 227, 31, 97], [4, 13, 1, 0, 0, 128, 5, 7, 675, 167], [0, 11, 1, 1, 0, 133, 13, 25, 110, 706]]"
12,30.42,1.8165853960445513,0.46172291919458497,0.30419999999999997,0.22745382565882521,2207083884,51.300000000000004,95.19999999999999,14.000000000000002,80.10000000000001,34.0,0.0,0.6,25.6,2.9000000000000004,0.5,"[[513, 331, 39, 85, 21, 0, 0, 10, 1, 0], [14, 952, 2, 29, 1, 0, 0, 2, 0, 0], [63, 111, 140, 496, 172, 0, 1, 17, 0, 0], [27, 100, 18, 801, 40, 0, 0, 14, 0, 0], [48, 86, 48, 446, 340, 0, 1, 29, 2, 0], [18, 51, 24, 849, 37, 0, 0, 20, 1, 0], [7, 80, 32, 688, 183, 0, 6, 4, 0, 0], [33, 171, 37, 437, 63, 0, 0, 256, 0, 3], [366, 498, 21, 75, 7, 0, 0, 4, 29, 0], [36, 852, 14, 78, 1, 0, 0, 12, 2, 5]]"
13,36.34,1.7097062169553372,0.4365232410331793,0.36339999999999995,0.2990774860674408,2430774818,26.8,28.1,2.1,0.1,0.4,67.4,50.1,35.099999999999994,72.0,81.3,"[[268, 29, 3, 0, 0, 24, 15, 19, 448, 194], [5, 281, 1, 0, 0, 14, 3, 4, 130, 562], [70, 10, 21, 1, 4, 368, 210, 74, 66, 176], [23, 13, 0, 1, 0, 510, 116, 55, 51, 231], [32, 9, 9, 0, 4, 283, 374, 101, 73, 115], [12, 5, 2, 1, 0, 674, 94, 61, 53, 98], [8, 14, 2, 0, 0, 250, 501, 28, 16, 181], [14, 6, 6, 0, 0, 242, 54, 351, 40, 287], [24, 25, 0, 0, 0, 20, 8, 3, 720, 200], [3, 53, 1, 0, 0, 12, 9, 9, 100, 813]]"
14,29.22,2.060783517246429,0.3245564614441335,0.29219999999999996,0.20621409233737342,2654465752,90.9,59.0,0.4,0.7000000000000001,72.39999999999999,35.6,0.0,32.7,0.0,0.5,"[[909, 46, 0, 0, 33, 3, 0, 9, 0, 0], [384, 590, 0, 1, 14, 4, 0, 7, 0, 0], [322, 25, 4, 4, 544, 72, 0, 29, 0, 0], [237, 32, 0, 7, 428, 224, 0, 72, 0, 0], [212, 10, 0, 0, 724, 17, 0, 37, 0, 0], [150, 14, 1, 8, 411, 356, 0, 60, 0, 0], [101, 30, 0, 15, 771, 41, 0, 41, 0, 1], [276, 25, 0, 1, 290, 78, 0, 327, 0, 3], [906, 59, 0, 0, 17, 8, 0, 9, 0, 1], [543, 378, 1, 3, 30, 10, 0, 30, 0, 5]]"
15,27.37,2.177768342030315,0.535787054636464,0.2737,0.2192705629162381,2878156686,38.1,99.6,9.700000000000001,36.0,20.200000000000003,2.1999999999999997,10.8,53.900000000000006,3.1,0.1,"[[381, 573, 6, 6, 3, 0, 0, 27, 4, 0], [0, 996, 0, 2, 0, 0, 0, 2, 0, 0], [76, 337, 97, 151, 98, 2, 19, 218, 2, 0], [15, 395, 15, 360, 26, 1, 20, 166, 2, 0], [43, 302, 34, 89, 202, 0, 31, 299, 0, 0], [15, 253, 15, 397, 22, 22, 8, 268, 0, 0], [5, 390, 56, 206, 105, 1, 108, 129, 0, 0], [20, 366, 7, 57, 9, 0, 2, 539, 0, 0], [167, 778, 3, 10, 3, 0, 0, 8, 31, 0], [4, 978, 0, 3, 0, 0, 0, 13, 1, 1]]"
