Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,9.62,2.3159359011787197,0.030049465876482752,0.09620000000000001,0.023494436145882248,193867244,4.3,0.0,91.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,"[[43, 0, 948, 9, 0, 0, 0, 0, 0, 0], [148, 0, 845, 5, 0, 0, 2, 0, 0, 0], [76, 0, 915, 6, 0, 0, 3, 0, 0, 0], [94, 0, 902, 2, 0, 0, 2, 0, 0, 0], [77, 0, 921, 1, 0, 0, 1, 0, 0, 0], [75, 0, 916, 4, 0, 0, 5, 0, 0, 0], [130, 0, 866, 2, 0, 0, 2, 0, 0, 0], [118, 0, 877, 2, 0, 0, 3, 0, 0, 0], [74, 0, 922, 4, 0, 0, 0, 0, 0, 0], [131, 0, 865, 2, 0, 0, 2, 0, 0, 0]]"
2,10.01,2.3083789828486334,0.02666866906955013,0.1001,0.01857872979650096,402647353,0.0,0.0,99.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 999, 1, 0, 0, 0, 0, 0, 0], [0, 0, 999, 1, 0, 0, 0, 0, 0, 0], [0, 0, 999, 1, 0, 0, 0, 0, 0, 0], [0, 0, 998, 2, 0, 0, 0, 0, 0, 0], [0, 0, 999, 1, 0, 0, 0, 0, 0, 0], [0, 0, 998, 2, 0, 0, 0, 0, 0, 0], [0, 0, 999, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 998, 2, 0, 0, 0, 0, 0, 0], [0, 0, 999, 1, 0, 0, 0, 0, 0, 0]]"
3,10.0,2.3105330756677986,0.01,0.1,0.01818181818181818,611427462,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
4,10.03,2.31031012306579,0.024085514193023995,0.10029999999999999,0.020039250030692117,805294706,0.0,0.0,99.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 997, 3, 0, 0, 0, 0, 0, 0], [0, 0, 997, 3, 0, 0, 0, 0, 0, 0], [0, 0, 993, 7, 0, 0, 0, 0, 0, 0], [0, 0, 990, 10, 0, 0, 0, 0, 0, 0], [0, 0, 996, 4, 0, 0, 0, 0, 0, 0], [0, 0, 972, 28, 0, 0, 0, 0, 0, 0], [0, 0, 994, 6, 0, 0, 0, 0, 0, 0], [0, 0, 999, 1, 0, 0, 0, 0, 0, 0], [0, 0, 997, 3, 0, 0, 0, 0, 0, 0], [0, 0, 994, 6, 0, 0, 0, 0, 0, 0]]"
5,10.82,2.305856984263411,0.061482038287251864,0.1082,0.04353200123748963,1028987681,0.0,0.8999999999999999,88.3,10.7,0.0,8.3,0.0,0.0,0.0,0.0,"[[0, 4, 845, 85, 0, 66, 0, 0, 0, 0], [0, 9, 900, 58, 0, 33, 0, 0, 0, 0], [0, 2, 883, 48, 0, 67, 0, 0, 0, 0], [0, 2, 840, 107, 0, 51, 0, 0, 0, 0], [0, 1, 914, 35, 0, 50, 0, 0, 0, 0], [0, 3, 740, 174, 0, 83, 0, 0, 0, 0], [0, 5, 925, 43, 0, 27, 0, 0, 0, 0], [0, 2, 907, 66, 0, 25, 0, 0, 0, 0], [0, 10, 871, 55, 0, 64, 0, 0, 0, 0], [0, 9, 937, 34, 0, 20, 0, 0, 0, 0]]"
6,13.31,2.2967376274803577,0.07176809365310007,0.1331,0.07636978165879639,1178116331,0.0,49.5,1.3,37.5,0.0,34.599999999999994,10.2,0.0,0.0,0.0,"[[0, 559, 4, 145, 0, 283, 9, 0, 0, 0], [0, 495, 37, 225, 0, 231, 12, 0, 0, 0], [0, 225, 13, 212, 0, 469, 81, 0, 0, 0], [0, 258, 26, 375, 0, 318, 23, 0, 0, 0], [0, 147, 30, 277, 0, 451, 95, 0, 0, 0], [0, 232, 25, 374, 0, 346, 23, 0, 0, 0], [0, 142, 32, 305, 0, 419, 102, 0, 0, 0], [0, 459, 45, 196, 0, 273, 27, 0, 0, 0], [0, 598, 7, 103, 0, 290, 2, 0, 0, 0], [0, 721, 32, 96, 0, 143, 8, 0, 0, 0]]"
7,13.41,2.287753768622304,0.0470747085120601,0.1341,0.0490653509034954,1327244980,0.0,41.4,0.0,3.2,0.0,0.3,89.2,0.0,0.0,0.0,"[[0, 557, 0, 59, 0, 18, 366, 0, 0, 0], [0, 414, 0, 16, 0, 1, 569, 0, 0, 0], [0, 195, 0, 20, 0, 10, 775, 0, 0, 0], [0, 189, 0, 32, 0, 1, 778, 0, 0, 0], [0, 110, 0, 4, 0, 0, 886, 0, 0, 0], [0, 153, 0, 45, 0, 3, 799, 0, 0, 0], [0, 106, 0, 2, 0, 0, 892, 0, 0, 0], [0, 374, 0, 19, 0, 1, 606, 0, 0, 0], [0, 566, 0, 10, 0, 17, 407, 0, 0, 0], [0, 657, 0, 9, 0, 0, 334, 0, 0, 0]]"
8,13.42,2.2682241220443773,0.03757698418205931,0.1342,0.045367275052168136,1506199360,0.0,44.1,0.0,1.0,0.0,0.0,89.1,0.0,0.0,0.0,"[[0, 643, 0, 41, 0, 0, 316, 0, 0, 0], [0, 441, 0, 2, 0, 0, 556, 0, 1, 0], [0, 223, 0, 9, 0, 0, 768, 0, 0, 0], [0, 203, 0, 10, 0, 0, 787, 0, 0, 0], [0, 121, 0, 1, 0, 0, 878, 0, 0, 0], [0, 155, 0, 10, 0, 0, 835, 0, 0, 0], [0, 109, 0, 0, 0, 0, 891, 0, 0, 0], [0, 393, 0, 3, 0, 0, 604, 0, 0, 0], [0, 644, 0, 11, 0, 0, 345, 0, 0, 0], [0, 694, 0, 2, 0, 0, 304, 0, 0, 0]]"
9,15.3,2.2347804624051713,0.0681756206104083,0.15299999999999997,0.05883817511944219,1655328009,0.0,62.1,0.0,0.0,0.0,0.0,85.6,0.0,5.3,0.0,"[[0, 753, 0, 0, 0, 0, 186, 0, 61, 0], [0, 621, 0, 0, 0, 0, 376, 0, 3, 0], [0, 286, 0, 0, 0, 0, 701, 0, 13, 0], [0, 305, 0, 0, 0, 0, 693, 0, 2, 0], [0, 179, 0, 0, 0, 0, 818, 0, 3, 0], [0, 257, 0, 0, 0, 0, 741, 0, 2, 0], [0, 144, 0, 0, 0, 0, 856, 0, 0, 0], [0, 498, 0, 0, 0, 0, 502, 0, 0, 0], [0, 761, 0, 0, 0, 0, 186, 0, 53, 0], [0, 809, 0, 0, 0, 0, 190, 0, 1, 0]]"
10,16.9,2.2016050503276787,0.18328343141570752,0.169,0.0707340920694833,1819369524,1.0,81.0,0.0,0.0,0.0,0.5,79.3,0.0,7.199999999999999,0.0,"[[10, 818, 0, 0, 0, 0, 93, 0, 79, 0], [0, 810, 0, 0, 0, 0, 187, 0, 3, 0], [1, 390, 0, 0, 0, 8, 583, 0, 18, 0], [0, 453, 0, 0, 0, 3, 542, 0, 2, 0], [0, 254, 0, 0, 0, 0, 737, 0, 9, 0], [0, 450, 0, 0, 2, 5, 540, 0, 3, 0], [0, 205, 0, 0, 1, 1, 793, 0, 0, 0], [0, 651, 0, 0, 0, 1, 348, 0, 0, 0], [1, 854, 0, 0, 0, 0, 73, 0, 72, 0], [0, 907, 0, 0, 0, 0, 91, 0, 2, 0]]"
