Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.0,2.3150938836911235,0.01,0.1,0.01818181818181818,193847484,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,10.78,2.3306439776009262,0.03769318859198627,0.1078,0.048868900031457725,402606313,0.0,0.0,19.5,56.2,0.0,0.0,0.0,31.7,0.0,0.4,"[[0, 0, 427, 132, 0, 0, 0, 433, 0, 8], [0, 0, 326, 412, 0, 0, 0, 258, 0, 4], [0, 0, 195, 409, 0, 0, 0, 391, 0, 5], [0, 0, 199, 562, 0, 0, 0, 233, 0, 6], [0, 0, 117, 516, 0, 0, 0, 363, 0, 4], [0, 0, 150, 593, 0, 0, 0, 248, 0, 9], [0, 0, 139, 577, 0, 0, 0, 282, 0, 2], [0, 0, 314, 362, 0, 0, 0, 317, 0, 7], [0, 0, 389, 158, 0, 0, 0, 441, 0, 12], [0, 0, 528, 206, 0, 0, 0, 262, 0, 4]]"
3,12.66,2.326783618226219,0.0739324543424778,0.1266,0.06258942158847527,611365142,19.5,0.0,92.60000000000001,0.0,0.0,0.0,0.0,14.499999999999998,0.0,0.0,"[[195, 0, 743, 0, 0, 0, 0, 62, 0, 0], [12, 0, 891, 0, 0, 0, 0, 97, 0, 0], [34, 0, 926, 0, 0, 0, 0, 40, 0, 0], [2, 0, 956, 0, 0, 0, 0, 42, 0, 0], [11, 0, 946, 0, 0, 0, 0, 43, 0, 0], [6, 0, 950, 0, 0, 0, 0, 44, 0, 0], [0, 0, 981, 0, 0, 0, 0, 19, 0, 0], [11, 0, 844, 0, 0, 0, 0, 145, 0, 0], [151, 0, 744, 0, 0, 0, 0, 105, 0, 0], [28, 0, 848, 0, 0, 0, 0, 124, 0, 0]]"
4,10.6,2.2832519840508603,0.08191719796164407,0.10600000000000001,0.029924695681314416,805212626,5.5,99.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,"[[55, 944, 0, 1, 0, 0, 0, 0, 0, 0], [1, 997, 0, 2, 0, 0, 0, 0, 0, 0], [12, 980, 0, 8, 0, 0, 0, 0, 0, 0], [1, 991, 0, 8, 0, 0, 0, 0, 0, 0], [4, 987, 0, 9, 0, 0, 0, 0, 0, 0], [4, 988, 0, 8, 0, 0, 0, 0, 0, 0], [0, 985, 0, 15, 0, 0, 0, 0, 0, 0], [0, 999, 0, 1, 0, 0, 0, 0, 0, 0], [20, 980, 0, 0, 0, 0, 0, 0, 0, 0], [0, 999, 0, 1, 0, 0, 0, 0, 0, 0]]"
5,18.72,2.2191334981887865,0.1511987903121628,0.18719999999999998,0.10686313238786371,1028882801,13.100000000000001,54.300000000000004,0.0,0.0,0.6,54.400000000000006,64.4,0.0,0.4,0.0,"[[131, 583, 0, 0, 45, 193, 43, 0, 5, 0], [1, 543, 0, 0, 5, 320, 130, 0, 1, 0], [29, 211, 0, 0, 15, 357, 388, 0, 0, 0], [1, 226, 1, 0, 8, 419, 345, 0, 0, 0], [6, 140, 0, 0, 6, 281, 567, 0, 0, 0], [3, 166, 0, 1, 9, 544, 277, 0, 0, 0], [0, 122, 0, 0, 3, 231, 644, 0, 0, 0], [1, 449, 0, 0, 7, 316, 227, 0, 0, 0], [55, 620, 0, 0, 20, 262, 39, 0, 4, 0], [1, 751, 0, 0, 2, 176, 68, 0, 2, 0]]"
6,19.77,2.1832037714723582,0.19095061442575156,0.19770000000000001,0.09491710675289708,1177996251,0.0,0.2,0.0,1.3,0.0,0.0,87.9,0.0,77.8,30.5,"[[0, 0, 0, 2, 0, 0, 149, 0, 806, 43], [0, 2, 0, 1, 0, 0, 466, 0, 357, 174], [0, 0, 0, 10, 0, 0, 697, 0, 243, 50], [0, 0, 0, 13, 0, 0, 780, 0, 144, 63], [0, 0, 0, 2, 0, 0, 819, 0, 132, 47], [0, 0, 0, 20, 0, 0, 812, 0, 116, 52], [0, 0, 0, 3, 0, 0, 879, 0, 74, 44], [0, 0, 0, 1, 0, 0, 548, 0, 162, 289], [0, 0, 0, 1, 0, 0, 169, 0, 778, 52], [0, 0, 0, 1, 0, 0, 237, 0, 457, 305]]"
7,17.44,2.1903425995915082,0.15854134442515655,0.1744,0.0675831578847623,1327109700,0.0,0.0,0.0,3.3000000000000003,0.0,0.0,96.3,0.1,74.7,0.0,"[[0, 0, 0, 8, 0, 0, 219, 0, 773, 0], [0, 0, 0, 15, 0, 0, 644, 0, 341, 0], [0, 0, 0, 28, 0, 0, 787, 0, 185, 0], [0, 0, 0, 33, 0, 0, 885, 0, 82, 0], [0, 0, 0, 6, 0, 0, 891, 0, 103, 0], [0, 0, 0, 43, 0, 0, 894, 0, 63, 0], [0, 0, 0, 14, 0, 0, 963, 0, 23, 0], [0, 0, 0, 8, 0, 0, 800, 1, 191, 0], [0, 0, 0, 5, 0, 0, 248, 0, 747, 0], [0, 0, 0, 7, 0, 0, 466, 0, 527, 0]]"
8,21.58,2.13051744086293,0.19164743426104341,0.2158,0.1240075985088385,1506045840,87.2,9.4,0.3,69.6,0.0,0.0,44.1,3.1,2.1,0.0,"[[872, 27, 1, 72, 0, 0, 18, 3, 7, 0], [574, 94, 3, 292, 0, 0, 27, 2, 8, 0], [292, 9, 3, 479, 0, 0, 204, 8, 5, 0], [196, 10, 0, 696, 0, 0, 91, 3, 4, 0], [190, 11, 8, 383, 0, 0, 388, 7, 13, 0], [165, 3, 0, 748, 0, 0, 80, 3, 1, 0], [92, 2, 0, 457, 0, 0, 441, 1, 7, 0], [362, 73, 2, 454, 0, 0, 70, 31, 8, 0], [869, 12, 0, 93, 0, 0, 4, 1, 21, 0], [684, 35, 0, 234, 0, 0, 13, 5, 29, 0]]"
9,26.11,2.058234736180534,0.2503186292323815,0.2611,0.1777264735864526,1655159289,71.2,67.9,0.2,0.0,27.900000000000002,5.7,56.599999999999994,31.6,0.0,0.0,"[[712, 196, 0, 0, 38, 1, 22, 31, 0, 0], [164, 679, 0, 0, 30, 1, 61, 65, 0, 0], [184, 153, 2, 0, 265, 5, 286, 105, 0, 0], [97, 203, 0, 0, 297, 29, 235, 139, 0, 0], [105, 86, 0, 0, 279, 2, 441, 87, 0, 0], [73, 183, 1, 0, 315, 57, 220, 151, 0, 0], [27, 101, 0, 0, 202, 2, 566, 102, 0, 0], [71, 314, 0, 0, 155, 5, 139, 316, 0, 0], [693, 229, 0, 0, 43, 0, 10, 25, 0, 0], [220, 592, 0, 0, 36, 0, 29, 123, 0, 0]]"
10,25.29,2.0570842701787004,0.2362600972098071,0.2529,0.18611752321244557,1819184084,36.199999999999996,61.6,0.8,18.5,82.6,42.4,0.0,0.0,10.8,0.0,"[[362, 218, 0, 46, 308, 28, 0, 0, 38, 0], [14, 616, 4, 35, 246, 70, 0, 0, 15, 0], [51, 48, 8, 115, 628, 147, 0, 0, 3, 0], [5, 44, 0, 185, 468, 296, 0, 0, 2, 0], [19, 23, 2, 33, 826, 87, 0, 0, 10, 0], [11, 20, 1, 185, 359, 424, 0, 0, 0, 0], [3, 5, 1, 80, 803, 108, 0, 0, 0, 0], [6, 158, 4, 63, 512, 253, 0, 0, 4, 0], [229, 239, 0, 28, 360, 36, 0, 0, 108, 0], [27, 531, 3, 50, 270, 91, 0, 0, 28, 0]]"
