Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.0,2.3215995710878707,0.01,0.1,0.01818181818181818,193865451,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0]]"
2,10.78,2.368317447912198,0.025235677409386603,0.10779999999999998,0.03692965359657614,402643629,0.0,0.0,0.0,26.1,0.0,0.0,0.0,81.69999999999999,0.0,0.0,"[[0, 0, 0, 96, 0, 0, 0, 904, 0, 0], [0, 0, 0, 188, 0, 0, 0, 812, 0, 0], [0, 0, 0, 153, 0, 0, 0, 847, 0, 0], [0, 0, 0, 261, 0, 0, 0, 739, 0, 0], [0, 0, 0, 206, 0, 0, 0, 794, 0, 0], [0, 0, 0, 274, 0, 0, 0, 726, 0, 0], [0, 0, 0, 182, 0, 0, 0, 818, 0, 0], [0, 0, 0, 183, 0, 0, 0, 817, 0, 0], [0, 0, 0, 91, 0, 0, 0, 909, 0, 0], [0, 0, 0, 61, 0, 0, 0, 939, 0, 0]]"
3,12.78,2.3391295416286577,0.07370743056822837,0.1278,0.05729238567263286,611421807,27.900000000000002,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,99.0,0.0,0.0,"[[279, 0, 3, 0, 0, 1, 0, 717, 0, 0], [9, 0, 11, 0, 0, 0, 0, 980, 0, 0], [77, 0, 9, 0, 0, 1, 0, 913, 0, 0], [14, 0, 16, 0, 0, 1, 0, 969, 0, 0], [19, 0, 13, 0, 0, 1, 0, 967, 0, 0], [9, 0, 10, 0, 0, 0, 0, 981, 0, 0], [4, 0, 16, 0, 0, 0, 0, 980, 0, 0], [4, 0, 6, 0, 0, 0, 0, 990, 0, 0], [99, 0, 2, 0, 0, 0, 0, 899, 0, 0], [12, 0, 3, 0, 0, 0, 0, 985, 0, 0]]"
4,16.31,2.2982247991683766,0.1818795391654,0.1631,0.07479497301994396,805287258,75.2,61.0,0.0,0.2,0.0,26.5,0.0,0.0,0.2,0.0,"[[752, 191, 0, 0, 0, 56, 0, 0, 1, 0], [285, 610, 0, 0, 0, 105, 0, 0, 0, 0], [244, 417, 0, 1, 0, 338, 0, 0, 0, 0], [171, 590, 0, 2, 0, 237, 0, 0, 0, 0], [122, 378, 0, 0, 0, 500, 0, 0, 0, 0], [142, 593, 0, 0, 0, 265, 0, 0, 0, 0], [107, 393, 0, 0, 0, 500, 0, 0, 0, 0], [218, 604, 0, 0, 0, 178, 0, 0, 0, 0], [677, 273, 0, 0, 0, 48, 0, 0, 2, 0], [504, 445, 0, 0, 0, 51, 0, 0, 0, 0]]"
5,19.82,2.177842948764277,0.23364053675324176,0.1982,0.14299657948803587,1028978163,13.600000000000001,2.1,4.0,0.0,0.5,58.8,70.7,0.0,33.4,15.1,"[[136, 4, 52, 0, 11, 390, 57, 0, 319, 31], [1, 21, 44, 0, 2, 658, 139, 0, 74, 61], [27, 0, 40, 0, 2, 399, 474, 0, 39, 19], [2, 2, 16, 0, 0, 556, 407, 0, 9, 8], [3, 1, 21, 0, 5, 292, 644, 0, 25, 9], [3, 0, 13, 0, 0, 588, 382, 0, 8, 6], [1, 1, 6, 0, 0, 283, 707, 0, 0, 2], [2, 6, 36, 0, 12, 529, 285, 0, 24, 106], [27, 0, 64, 0, 9, 494, 31, 0, 334, 41], [2, 15, 95, 0, 10, 551, 67, 0, 109, 151]]"
6,19.42,2.2072853295566937,0.19858355285816928,0.19419999999999998,0.10045932905306025,1178105433,0.0,1.7999999999999998,0.0,6.0,0.0,0.0,94.1,5.0,77.5,9.8,"[[0, 4, 0, 11, 0, 0, 187, 9, 775, 14], [0, 18, 0, 46, 0, 0, 452, 16, 430, 38], [0, 0, 0, 33, 0, 0, 734, 5, 218, 10], [0, 2, 0, 60, 0, 0, 825, 7, 103, 3], [0, 0, 0, 20, 0, 0, 835, 5, 130, 10], [0, 0, 0, 58, 0, 0, 852, 2, 85, 3], [0, 1, 0, 17, 0, 0, 941, 2, 38, 1], [0, 0, 0, 22, 0, 0, 690, 50, 160, 78], [0, 0, 0, 43, 0, 0, 171, 5, 775, 6], [0, 4, 0, 24, 0, 0, 352, 20, 502, 98]]"
7,17.29,2.2019668166248945,0.11840916321995838,0.1729,0.0625439894982029,1327232703,0.0,0.0,0.0,86.3,0.0,0.0,0.0,1.9,84.7,0.0,"[[0, 1, 0, 150, 0, 0, 0, 0, 849, 0], [0, 0, 0, 485, 0, 0, 0, 1, 514, 0], [0, 0, 0, 747, 0, 0, 0, 0, 253, 0], [0, 0, 0, 863, 0, 0, 0, 2, 135, 0], [0, 0, 0, 837, 0, 0, 0, 1, 162, 0], [0, 0, 0, 872, 0, 0, 0, 0, 128, 0], [0, 0, 0, 947, 0, 0, 0, 0, 53, 0], [0, 0, 0, 651, 0, 0, 0, 19, 330, 0], [0, 0, 0, 153, 0, 0, 0, 0, 847, 0], [0, 1, 0, 331, 0, 0, 0, 0, 668, 0]]"
8,20.85,2.1647009819079512,0.19634954596068194,0.2085,0.12098193098028884,1506185427,86.7,37.7,1.0999999999999999,69.39999999999999,0.0,0.0,3.5000000000000004,10.100000000000001,0.0,0.0,"[[867, 66, 3, 58, 0, 0, 1, 5, 0, 0], [484, 377, 1, 128, 0, 0, 1, 9, 0, 0], [330, 54, 11, 577, 0, 0, 7, 21, 0, 0], [235, 53, 1, 694, 0, 0, 3, 14, 0, 0], [226, 51, 10, 665, 0, 0, 28, 20, 0, 0], [234, 43, 1, 697, 0, 0, 9, 16, 0, 0], [108, 26, 2, 817, 0, 0, 35, 12, 0, 0], [362, 138, 0, 397, 0, 0, 2, 101, 0, 0], [886, 57, 0, 54, 0, 0, 0, 3, 0, 0], [679, 155, 0, 141, 0, 0, 0, 25, 0, 0]]"
9,26.56,2.0682910802646184,0.279577673195617,0.2656,0.1922343754422169,1655312697,32.6,82.19999999999999,0.0,0.0,40.2,6.9,37.8,63.1,2.8000000000000003,0.0,"[[326, 472, 0, 0, 86, 1, 7, 104, 4, 0], [4, 822, 0, 0, 25, 1, 36, 112, 0, 0], [49, 128, 0, 0, 400, 18, 111, 293, 1, 0], [7, 187, 0, 0, 277, 31, 165, 333, 0, 0], [19, 128, 0, 0, 402, 3, 230, 217, 1, 0], [4, 130, 0, 0, 283, 69, 123, 391, 0, 0], [2, 66, 0, 0, 324, 3, 378, 227, 0, 0], [5, 163, 0, 0, 142, 8, 50, 631, 1, 0], [175, 626, 0, 0, 82, 3, 1, 85, 28, 0], [6, 665, 0, 0, 24, 1, 18, 283, 3, 0]]"
10,23.62,2.091358597286212,0.2701701782348051,0.23620000000000002,0.18772546094009243,1819352694,39.1,16.1,9.0,88.2,44.800000000000004,0.0,0.0,0.0,32.5,6.5,"[[391, 12, 86, 244, 117, 1, 0, 0, 144, 5], [44, 161, 51, 521, 75, 0, 0, 0, 117, 31], [34, 2, 90, 585, 274, 5, 0, 0, 8, 2], [6, 1, 22, 882, 87, 0, 0, 0, 2, 0], [14, 2, 49, 471, 448, 2, 0, 0, 13, 1], [5, 0, 21, 880, 92, 0, 0, 0, 2, 0], [3, 0, 20, 559, 418, 0, 0, 0, 0, 0], [5, 6, 48, 702, 222, 1, 0, 0, 11, 5], [215, 12, 106, 239, 91, 0, 0, 0, 325, 12], [40, 41, 94, 528, 87, 0, 0, 0, 145, 65]]"
11,31.45,1.8072709446897903,0.4258681405895621,0.3145,0.2565628445072763,2043043599,5.0,29.9,4.3,10.100000000000001,0.1,69.5,56.89999999999999,16.8,77.7,44.2,"[[50, 30, 14, 18, 0, 89, 37, 4, 705, 53], [1, 299, 0, 21, 0, 85, 53, 7, 287, 247], [9, 15, 43, 45, 1, 440, 270, 22, 114, 41], [0, 10, 9, 101, 0, 576, 168, 13, 51, 72], [4, 13, 9, 26, 1, 342, 450, 24, 97, 34], [0, 5, 8, 62, 0, 695, 123, 10, 61, 36], [0, 3, 6, 70, 0, 291, 569, 7, 16, 38], [0, 28, 7, 46, 0, 397, 113, 168, 76, 165], [6, 26, 10, 12, 0, 76, 17, 4, 777, 72], [2, 62, 1, 34, 0, 86, 32, 18, 323, 442]]"
12,29.01,1.8418058103646715,0.4539665551107149,0.29009999999999997,0.2129247998447683,2207083596,50.9,90.3,8.6,76.4,38.0,2.9000000000000004,2.0,20.1,0.6,0.3,"[[509, 328, 24, 99, 28, 2, 0, 10, 0, 0], [13, 903, 1, 70, 5, 1, 0, 7, 0, 0], [69, 120, 86, 455, 222, 23, 0, 24, 1, 0], [18, 129, 16, 764, 48, 8, 1, 16, 0, 0], [53, 113, 33, 373, 380, 10, 6, 32, 0, 0], [20, 67, 18, 782, 66, 29, 0, 18, 0, 0], [5, 79, 20, 548, 317, 3, 20, 7, 0, 1], [20, 232, 22, 452, 69, 3, 0, 201, 0, 1], [352, 515, 26, 84, 11, 0, 0, 5, 6, 1], [27, 799, 11, 122, 4, 0, 0, 33, 1, 3]]"
13,33.19,1.7882838203503302,0.3765286810466241,0.3319,0.2677525595531441,2430774501,32.7,14.399999999999999,0.2,0.0,1.5,67.5,45.6,44.2,82.19999999999999,43.6,"[[327, 17, 1, 0, 1, 45, 22, 44, 499, 44], [26, 144, 0, 0, 0, 41, 29, 50, 418, 292], [89, 9, 2, 0, 12, 448, 176, 106, 113, 45], [32, 2, 0, 0, 0, 577, 96, 120, 80, 93], [41, 7, 0, 0, 15, 310, 332, 152, 112, 31], [20, 1, 1, 0, 1, 675, 71, 111, 82, 38], [9, 4, 0, 0, 2, 333, 456, 92, 42, 62], [28, 13, 0, 0, 1, 282, 44, 442, 92, 98], [50, 8, 0, 0, 0, 39, 8, 17, 822, 56], [15, 23, 0, 0, 0, 47, 16, 51, 412, 436]]"
14,33.76,1.7657535887373903,0.46173632423195227,0.3376,0.25572643588143384,2654465406,77.60000000000001,66.8,0.8,0.8,69.3,46.0,1.0999999999999999,56.39999999999999,4.8,14.000000000000002,"[[776, 69, 1, 0, 77, 13, 0, 52, 3, 9], [176, 668, 0, 0, 45, 13, 0, 66, 1, 31], [146, 32, 8, 4, 485, 179, 2, 132, 1, 11], [72, 38, 1, 8, 319, 335, 2, 207, 0, 18], [93, 32, 0, 1, 693, 60, 3, 116, 1, 1], [53, 21, 1, 4, 269, 460, 1, 186, 3, 2], [19, 29, 0, 4, 712, 85, 11, 124, 1, 15], [78, 38, 0, 1, 206, 105, 0, 564, 0, 8], [689, 133, 1, 0, 47, 19, 0, 44, 48, 19], [224, 413, 0, 2, 36, 22, 0, 158, 5, 140]]"
15,28.7,1.94954709275462,0.5096484550756013,0.28700000000000003,0.20498894399068734,2878156311,74.7,92.0,0.6,52.2,25.1,0.1,3.1,28.199999999999996,10.8,0.2,"[[747, 203, 0, 23, 8, 0, 0, 7, 12, 0], [70, 920, 0, 7, 2, 0, 0, 0, 1, 0], [260, 206, 6, 308, 154, 0, 4, 61, 1, 0], [135, 268, 1, 522, 24, 0, 2, 45, 3, 0], [189, 204, 0, 236, 251, 0, 18, 99, 3, 0], [119, 168, 1, 593, 30, 1, 0, 84, 4, 0], [60, 293, 2, 376, 187, 0, 31, 50, 1, 0], [166, 324, 0, 198, 27, 0, 0, 282, 2, 1], [531, 342, 1, 15, 1, 0, 0, 2, 108, 0], [108, 845, 0, 21, 0, 0, 0, 11, 13, 2]]"
16,39.45,1.644689792261337,0.45382941291829704,0.39449999999999996,0.37593772479765025,3101847216,55.300000000000004,22.900000000000002,10.8,47.699999999999996,33.1,27.900000000000002,57.99999999999999,19.5,63.4,55.900000000000006,"[[553, 22, 19, 36, 21, 6, 34, 1, 263, 45], [69, 229, 1, 46, 5, 7, 40, 4, 277, 322], [114, 8, 108, 226, 194, 77, 196, 10, 35, 32], [56, 0, 28, 477, 43, 116, 185, 8, 29, 58], [80, 8, 31, 130, 331, 59, 272, 14, 55, 20], [34, 2, 24, 425, 52, 279, 115, 11, 34, 24], [16, 4, 12, 197, 122, 20, 580, 3, 19, 27], [82, 14, 24, 239, 111, 105, 83, 195, 36, 111], [203, 13, 7, 43, 11, 9, 15, 1, 634, 64], [56, 39, 8, 55, 5, 4, 35, 6, 233, 559]]"
17,38.13,1.609449021351604,0.4723489884091306,0.3813000000000001,0.34864067521163805,3295712667,77.0,73.0,19.900000000000002,66.60000000000001,36.3,4.2,17.4,38.2,32.5,16.2,"[[770, 68, 22, 42, 20, 0, 2, 11, 53, 12], [126, 730, 2, 42, 3, 0, 4, 6, 64, 23], [172, 43, 199, 305, 177, 2, 26, 55, 10, 11], [88, 48, 56, 666, 47, 6, 27, 38, 8, 16], [132, 33, 87, 227, 363, 0, 70, 67, 16, 5], [61, 14, 49, 685, 56, 42, 10, 64, 13, 6], [33, 35, 66, 431, 228, 1, 174, 16, 5, 11], [147, 41, 37, 265, 72, 7, 11, 382, 8, 30], [466, 107, 17, 56, 5, 0, 0, 6, 325, 18], [177, 468, 11, 69, 1, 0, 4, 32, 76, 162]]"
18,38.86,1.676606001564489,0.44644694093813053,0.3886,0.33838470092232836,3459752664,42.8,70.89999999999999,1.6,0.2,64.4,21.6,17.8,64.3,70.39999999999999,34.599999999999994,"[[428, 76, 1, 0, 75, 1, 2, 63, 315, 39], [17, 709, 0, 0, 15, 0, 3, 38, 149, 69], [89, 55, 16, 1, 508, 47, 37, 179, 41, 27], [28, 55, 3, 2, 322, 147, 95, 253, 34, 61], [38, 33, 1, 0, 644, 8, 56, 147, 54, 19], [14, 16, 2, 1, 338, 216, 37, 307, 45, 24], [4, 50, 0, 0, 552, 10, 178, 130, 23, 53], [18, 47, 0, 0, 169, 32, 11, 643, 32, 48], [100, 105, 0, 2, 24, 2, 4, 30, 704, 29], [17, 369, 0, 0, 13, 0, 8, 76, 171, 346]]"
19,35.59,1.737888505283636,0.3931452453581288,0.3559,0.28515270283574734,3683443569,81.8,85.0,29.7,14.499999999999998,0.0,61.1,51.1,25.7,4.7,2.3,"[[818, 105, 36, 7, 0, 10, 17, 3, 4, 0], [124, 850, 6, 8, 0, 5, 5, 0, 0, 2], [219, 69, 297, 49, 0, 204, 136, 22, 1, 3], [122, 98, 89, 145, 0, 418, 108, 16, 0, 4], [183, 63, 219, 29, 0, 189, 280, 36, 0, 1], [85, 33, 92, 76, 0, 611, 73, 24, 2, 4], [41, 64, 124, 74, 0, 174, 511, 5, 2, 5], [208, 111, 77, 44, 0, 238, 53, 257, 1, 11], [692, 201, 22, 16, 0, 15, 5, 2, 47, 0], [188, 723, 5, 16, 0, 17, 14, 10, 4, 23]]"
20,35.72,1.790715327278113,0.5122106215770587,0.3572,0.2930592905950214,3877309020,83.0,87.8,0.8,43.8,37.7,38.0,40.699999999999996,19.3,5.2,0.8999999999999999,"[[830, 121, 0, 16, 17, 2, 6, 2, 6, 0], [106, 878, 0, 7, 2, 2, 4, 0, 0, 1], [278, 88, 8, 190, 224, 112, 92, 6, 1, 1], [139, 106, 0, 438, 64, 168, 78, 7, 0, 0], [195, 91, 0, 105, 377, 74, 142, 16, 0, 0], [97, 45, 1, 340, 78, 380, 42, 14, 3, 0], [54, 87, 0, 221, 192, 33, 407, 4, 1, 1], [240, 133, 0, 141, 115, 144, 29, 193, 0, 5], [676, 224, 0, 33, 5, 5, 2, 2, 52, 1], [198, 736, 0, 32, 2, 3, 9, 6, 5, 9]]"
21,43.7,1.5073928139841974,0.46638543135436955,0.437,0.3912447646199976,4056261744,38.7,71.7,33.800000000000004,3.1,4.1000000000000005,49.7,79.9,67.7,64.9,23.400000000000002,"[[387, 63, 125, 4, 5, 6, 44, 81, 267, 18], [15, 717, 11, 4, 0, 12, 39, 66, 99, 37], [35, 24, 338, 12, 18, 111, 285, 149, 22, 6], [8, 16, 100, 31, 3, 323, 319, 172, 13, 15], [26, 17, 147, 1, 41, 71, 442, 222, 30, 3], [6, 9, 80, 29, 3, 497, 184, 171, 19, 2], [3, 10, 60, 7, 3, 49, 799, 58, 6, 5], [6, 17, 56, 6, 5, 107, 100, 677, 15, 11], [83, 100, 54, 4, 2, 22, 25, 39, 649, 22], [25, 389, 26, 3, 0, 11, 62, 125, 125, 234]]"
22,35.66,1.699568014937087,0.5172773639574251,0.35660000000000003,0.30436688278071994,4265039922,46.9,90.4,1.7999999999999998,84.0,16.900000000000002,7.6,2.9000000000000004,31.2,62.4,12.5,"[[469, 178, 4, 82, 5, 0, 0, 8, 246, 8], [7, 904, 0, 35, 0, 0, 0, 2, 47, 5], [98, 90, 18, 620, 86, 10, 4, 29, 33, 12], [23, 72, 1, 840, 4, 11, 3, 13, 20, 13], [69, 101, 4, 550, 169, 12, 8, 50, 30, 7], [12, 31, 2, 818, 10, 76, 0, 19, 21, 11], [6, 86, 0, 787, 58, 1, 29, 9, 14, 10], [36, 101, 1, 441, 15, 21, 0, 312, 20, 53], [77, 209, 1, 74, 2, 0, 0, 1, 624, 12], [17, 696, 0, 76, 0, 0, 0, 7, 79, 125]]"
23,42.13,1.5759181865868859,0.4433547050424796,0.4213000000000001,0.3866100740094808,4473818100,57.099999999999994,83.6,27.1,0.0,56.699999999999996,25.6,76.0,33.0,47.199999999999996,15.0,"[[571, 99, 85, 0, 77, 1, 45, 6, 107, 9], [20, 836, 17, 0, 22, 1, 42, 6, 44, 12], [54, 26, 271, 0, 358, 29, 224, 18, 11, 9], [16, 28, 117, 0, 225, 129, 443, 21, 5, 16], [35, 23, 63, 0, 567, 7, 265, 26, 12, 2], [8, 13, 143, 0, 285, 256, 243, 35, 13, 4], [3, 15, 34, 0, 173, 3, 760, 5, 3, 4], [18, 37, 75, 0, 339, 38, 131, 330, 7, 25], [209, 157, 47, 0, 53, 4, 33, 9, 472, 16], [51, 573, 35, 0, 29, 2, 77, 24, 59, 150]]"
24,41.01,1.6169624023925002,0.47003696731031325,0.4101,0.3713988239889804,4697509005,85.9,51.0,0.3,6.800000000000001,16.5,57.4,41.199999999999996,61.6,40.699999999999996,48.699999999999996,"[[859, 18, 0, 3, 2, 8, 2, 23, 56, 29], [207, 510, 0, 1, 0, 9, 4, 24, 81, 164], [352, 16, 3, 31, 96, 228, 76, 154, 15, 29], [164, 5, 0, 68, 14, 450, 66, 160, 12, 61], [252, 10, 1, 9, 165, 139, 118, 276, 17, 13], [103, 6, 1, 30, 14, 574, 31, 195, 23, 23], [91, 19, 0, 39, 72, 175, 412, 129, 18, 45], [152, 9, 0, 10, 5, 126, 17, 616, 11, 54], [473, 37, 0, 1, 2, 16, 5, 13, 407, 46], [227, 138, 0, 3, 0, 17, 7, 42, 79, 487]]"
25,44.55,1.4641826962129758,0.5516985899703069,0.4455,0.4101581336855281,4906287183,70.1,75.2,40.0,63.6,12.0,0.5,32.7,68.8,49.6,33.0,"[[701, 53, 55, 29, 2, 0, 3, 42, 93, 22], [63, 752, 10, 27, 1, 0, 4, 31, 61, 51], [123, 25, 400, 226, 24, 0, 33, 147, 11, 11], [35, 18, 106, 636, 10, 0, 32, 139, 6, 18], [84, 20, 244, 167, 120, 0, 90, 251, 20, 4], [25, 12, 110, 612, 10, 5, 14, 197, 13, 2], [12, 22, 188, 337, 34, 0, 327, 60, 7, 13], [36, 17, 52, 152, 12, 0, 13, 688, 7, 23], [292, 101, 17, 33, 3, 0, 2, 24, 496, 32], [86, 380, 15, 43, 0, 0, 3, 71, 72, 330]]"
26,37.55,1.6710556829318453,0.5297133723917617,0.37549999999999994,0.3279215137543422,5100152634,92.10000000000001,42.0,9.3,0.4,3.6999999999999997,49.2,88.7,40.8,26.8,22.5,"[[921, 4, 3, 0, 0, 3, 44, 1, 19, 5], [399, 420, 0, 0, 0, 11, 58, 4, 51, 57], [333, 4, 93, 1, 12, 127, 387, 37, 5, 1], [164, 1, 15, 4, 1, 296, 473, 28, 7, 11], [261, 3, 34, 0, 37, 67, 530, 59, 9, 0], [114, 1, 25, 1, 1, 492, 310, 43, 12, 1], [63, 1, 12, 0, 1, 26, 887, 4, 4, 2], [233, 2, 6, 0, 5, 145, 184, 408, 3, 14], [657, 14, 2, 1, 0, 14, 28, 2, 268, 14], [475, 128, 0, 1, 0, 9, 82, 19, 61, 225]]"
27,37.41,1.7881756659132986,0.5247128932078964,0.3741,0.29901219099146364,5279105358,47.9,95.7,13.4,64.60000000000001,0.2,0.3,48.3,77.3,26.200000000000003,0.2,"[[479, 324, 20, 45, 0, 0, 8, 74, 50, 0], [3, 957, 1, 13, 0, 0, 3, 21, 2, 0], [77, 96, 134, 336, 1, 0, 109, 240, 6, 1], [11, 87, 14, 646, 0, 0, 56, 184, 2, 0], [38, 90, 55, 192, 2, 0, 195, 422, 6, 0], [5, 34, 18, 606, 1, 3, 36, 296, 1, 0], [3, 79, 18, 315, 0, 0, 483, 101, 0, 1], [7, 75, 5, 121, 1, 0, 16, 773, 2, 0], [145, 499, 3, 51, 0, 0, 8, 32, 262, 0], [10, 859, 0, 36, 0, 0, 3, 83, 7, 2]]"
28,46.93,1.437054528215061,0.534751042461122,0.46929999999999994,0.4682396778094516,5472970809,67.7,56.00000000000001,29.799999999999997,71.1,35.3,26.200000000000003,51.9,23.1,54.50000000000001,53.7,"[[677, 27, 55, 61, 13, 1, 13, 1, 118, 34], [62, 560, 22, 67, 2, 4, 19, 2, 98, 164], [90, 10, 298, 307, 120, 53, 88, 3, 16, 15], [24, 3, 63, 711, 32, 65, 75, 3, 10, 14], [58, 6, 128, 239, 353, 44, 134, 13, 20, 5], [16, 1, 57, 550, 55, 262, 35, 9, 9, 6], [5, 6, 70, 321, 58, 6, 519, 0, 8, 7], [36, 9, 57, 265, 156, 156, 25, 231, 12, 53], [250, 44, 11, 72, 8, 11, 9, 0, 545, 50], [77, 151, 21, 97, 5, 3, 17, 4, 88, 537]]"
29,45.96,1.5565532586825923,0.6082064582499153,0.4596,0.4416681460337756,5651923533,61.7,64.8,0.2,78.60000000000001,42.6,34.2,17.599999999999998,46.9,47.5,65.5,"[[617, 51, 0, 98, 28, 12, 0, 13, 87, 94], [20, 648, 0, 69, 3, 5, 0, 7, 21, 227], [104, 19, 2, 465, 210, 88, 12, 46, 12, 42], [15, 7, 0, 786, 35, 94, 5, 25, 3, 30], [39, 16, 0, 322, 426, 77, 13, 73, 12, 22], [7, 3, 0, 544, 51, 342, 3, 32, 4, 14], [4, 15, 0, 607, 148, 17, 176, 5, 3, 25], [12, 12, 0, 242, 78, 120, 0, 469, 5, 62], [202, 78, 0, 98, 12, 12, 0, 4, 475, 119], [35, 168, 0, 82, 4, 8, 1, 19, 28, 655]]"
