Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.0,2.3116509960101435,0.014949223047474841,0.1,0.018793861495144136,387678135,0.0,0.0,0.3,99.7,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0, 1, 999, 0, 0, 0, 0, 0, 0], [0, 0, 10, 990, 0, 0, 0, 0, 0, 0], [0, 0, 3, 997, 0, 0, 0, 0, 0, 0], [0, 0, 3, 997, 0, 0, 0, 0, 0, 0], [0, 0, 2, 998, 0, 0, 0, 0, 0, 0], [0, 0, 3, 997, 0, 0, 0, 0, 0, 0], [0, 0, 1, 999, 0, 0, 0, 0, 0, 0], [0, 0, 18, 982, 0, 0, 0, 0, 0, 0], [0, 0, 1, 999, 0, 0, 0, 0, 0, 0], [0, 0, 19, 981, 0, 0, 0, 0, 0, 0]]"
2,11.76,2.3644327736510253,0.03587094336012246,0.11760000000000001,0.04269806201550388,805177665,0.0,0.0,0.0,0.3,0.0,0.0,0.0,66.4,0.0,50.9,"[[0, 0, 0, 2, 0, 0, 0, 438, 0, 560], [0, 0, 0, 3, 0, 0, 0, 699, 0, 298], [0, 0, 0, 3, 0, 0, 0, 758, 0, 239], [0, 0, 0, 3, 0, 0, 0, 816, 0, 181], [0, 0, 0, 6, 0, 0, 0, 864, 0, 130], [0, 0, 0, 4, 0, 0, 0, 860, 0, 136], [0, 0, 0, 6, 0, 0, 0, 868, 0, 126], [0, 0, 0, 3, 0, 0, 0, 664, 0, 333], [0, 0, 0, 0, 0, 0, 0, 512, 0, 488], [0, 0, 0, 2, 0, 0, 0, 489, 0, 509]]"
3,11.95,2.337632717035068,0.11975488350396155,0.11950000000000001,0.051879984306135704,1222677195,6.0,0.0,25.5,0.0,0.0,0.0,2.3,85.7,0.0,0.0,"[[60, 0, 58, 0, 0, 0, 2, 880, 0, 0], [0, 0, 164, 0, 0, 0, 2, 834, 0, 0], [16, 0, 255, 0, 0, 0, 2, 727, 0, 0], [3, 0, 208, 0, 0, 0, 6, 783, 0, 0], [0, 0, 400, 0, 0, 0, 14, 586, 0, 0], [5, 0, 180, 0, 0, 0, 4, 811, 0, 0], [1, 0, 416, 0, 0, 0, 23, 560, 0, 0], [2, 0, 140, 0, 0, 0, 1, 857, 0, 0], [22, 0, 42, 0, 0, 0, 0, 936, 0, 0], [1, 0, 52, 0, 0, 0, 2, 945, 0, 0]]"
4,10.3,2.3508464825419955,0.13872706531351603,0.10299999999999998,0.024062380166828233,1610355330,1.0999999999999999,100.0,0.0,0.0,0.0,0.1,0.0,0.0,1.7999999999999998,0.0,"[[11, 926, 0, 0, 0, 10, 0, 0, 53, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 988, 0, 0, 0, 2, 0, 0, 10, 0], [0, 999, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 998, 0, 0, 0, 1, 0, 0, 1, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 981, 0, 0, 0, 1, 0, 0, 18, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
5,22.53,2.1811525105668332,0.16116469199733344,0.2253,0.13470964876302588,2057676255,0.0,0.0,0.3,0.0,1.0,61.8,50.8,0.0,38.6,72.8,"[[0, 0, 2, 0, 2, 103, 31, 0, 379, 483], [0, 0, 10, 0, 0, 415, 73, 0, 99, 403], [0, 0, 3, 0, 4, 388, 277, 0, 82, 246], [0, 0, 6, 0, 1, 547, 158, 0, 33, 255], [0, 0, 4, 0, 10, 352, 428, 0, 51, 155], [0, 0, 4, 0, 0, 618, 155, 0, 39, 184], [0, 0, 2, 0, 1, 312, 508, 0, 14, 163], [0, 0, 10, 0, 0, 374, 120, 0, 17, 479], [0, 0, 5, 0, 0, 148, 7, 0, 386, 454], [0, 0, 11, 0, 0, 181, 20, 0, 60, 728]]"
6,19.85,2.249043803245496,0.19298037843132448,0.1985,0.10149143968149203,2355890205,0.0,1.4000000000000001,0.0,10.8,0.0,0.0,80.0,16.8,89.1,0.4,"[[0, 0, 0, 11, 0, 0, 88, 16, 885, 0], [0, 14, 0, 50, 0, 0, 290, 62, 583, 1], [0, 0, 0, 51, 0, 0, 590, 24, 334, 1], [0, 0, 0, 108, 0, 0, 580, 52, 257, 3], [0, 1, 0, 28, 0, 0, 729, 26, 216, 0], [0, 0, 0, 180, 0, 0, 552, 47, 221, 0], [0, 0, 0, 22, 0, 0, 800, 44, 134, 0], [0, 2, 0, 38, 0, 0, 404, 168, 387, 1], [0, 2, 0, 27, 0, 0, 63, 17, 891, 0], [0, 3, 0, 24, 0, 0, 141, 81, 747, 4]]"
7,17.29,2.1791625807460506,0.14431411074732198,0.1729,0.06893962184490163,2654104155,0.0,0.0,0.0,95.0,0.0,0.0,1.3,1.3,75.3,0.0,"[[0, 0, 0, 250, 0, 0, 1, 1, 748, 0], [4, 0, 0, 697, 0, 0, 0, 0, 299, 0], [0, 0, 0, 864, 0, 0, 2, 3, 131, 0], [0, 0, 0, 950, 0, 0, 1, 0, 49, 0], [0, 0, 0, 869, 0, 0, 23, 0, 108, 0], [0, 0, 0, 957, 0, 0, 0, 0, 43, 0], [0, 0, 0, 973, 0, 0, 13, 0, 14, 0], [0, 0, 0, 862, 0, 0, 2, 13, 123, 0], [0, 0, 0, 247, 0, 0, 0, 0, 753, 0], [1, 0, 0, 580, 0, 0, 0, 1, 418, 0]]"
8,20.35,2.2413382400719883,0.21076072997868298,0.20350000000000001,0.11883609376732909,3011960895,88.6,48.8,3.0,49.8,0.0,0.0,6.1,7.1,0.1,0.0,"[[886, 76, 3, 32, 0, 0, 3, 0, 0, 0], [452, 488, 3, 55, 0, 0, 0, 2, 0, 0], [382, 150, 30, 407, 0, 0, 19, 12, 0, 0], [318, 160, 6, 498, 0, 0, 9, 9, 0, 0], [279, 122, 66, 441, 0, 0, 69, 23, 0, 0], [290, 120, 13, 552, 0, 0, 7, 18, 0, 0], [165, 102, 41, 619, 0, 0, 61, 12, 0, 0], [423, 271, 9, 219, 0, 0, 7, 71, 0, 0], [901, 79, 0, 17, 0, 0, 0, 2, 1, 0], [678, 249, 0, 66, 0, 0, 0, 6, 1, 0]]"
9,27.51,2.09414558060253,0.3097844631112306,0.2751,0.20765933103758746,3310174845,23.400000000000002,77.4,0.0,0.0,42.9,2.7,30.4,78.8,19.5,0.0,"[[234, 361, 0, 0, 79, 0, 5, 263, 58, 0], [1, 774, 0, 0, 23, 0, 14, 184, 4, 0], [28, 88, 0, 0, 317, 7, 101, 457, 2, 0], [1, 115, 0, 0, 198, 8, 148, 530, 0, 0], [7, 76, 0, 0, 429, 0, 151, 330, 7, 0], [2, 58, 0, 0, 199, 27, 117, 596, 1, 0], [0, 40, 0, 0, 339, 0, 304, 317, 0, 0], [3, 71, 0, 0, 82, 0, 52, 788, 4, 0], [54, 496, 0, 0, 55, 0, 9, 191, 195, 0], [4, 536, 0, 0, 14, 0, 10, 422, 14, 0]]"
10,24.95,2.107940507392152,0.28888643518695556,0.24950000000000006,0.19256049644009746,3638210190,53.900000000000006,28.1,4.2,92.10000000000001,33.5,0.0,0.0,0.0,36.199999999999996,1.5,"[[539, 24, 30, 204, 60, 0, 0, 0, 143, 0], [101, 281, 13, 449, 15, 0, 0, 0, 139, 2], [60, 5, 42, 693, 187, 0, 0, 0, 13, 0], [19, 1, 9, 921, 44, 0, 0, 0, 6, 0], [36, 1, 14, 589, 335, 0, 0, 0, 25, 0], [14, 1, 11, 908, 61, 0, 0, 0, 5, 0], [4, 0, 2, 729, 263, 0, 0, 0, 2, 0], [20, 2, 47, 802, 113, 0, 0, 0, 15, 1], [337, 36, 17, 211, 36, 0, 0, 0, 362, 1], [92, 87, 52, 520, 17, 0, 0, 0, 217, 15]]"
