Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,9.55,2.3205058170964543,0.042105531023143045,0.0955,0.05145168956269639,155458693,21.9,0.0,49.0,14.2,0.0,0.0,10.4,0.0,0.0,0.0,"[[219, 0, 432, 333, 0, 0, 16, 0, 0, 0], [321, 0, 438, 192, 0, 0, 48, 0, 1, 0], [288, 0, 490, 160, 0, 0, 61, 0, 1, 0], [281, 0, 457, 142, 0, 0, 119, 0, 1, 0], [295, 0, 502, 105, 0, 0, 98, 0, 0, 0], [256, 0, 465, 173, 0, 0, 106, 0, 0, 0], [346, 0, 459, 90, 0, 0, 104, 0, 1, 0], [349, 0, 470, 121, 0, 0, 59, 0, 1, 0], [278, 0, 438, 272, 0, 0, 12, 0, 0, 0], [460, 0, 354, 160, 0, 0, 26, 0, 0, 0]]"
2,9.76,2.307152905784095,0.06825491200878643,0.09759999999999999,0.03940601733154859,322875747,0.1,0.0,71.2,18.099999999999998,0.0,0.0,8.0,0.2,0.0,0.0,"[[1, 0, 615, 373, 0, 0, 11, 0, 0, 0], [3, 0, 723, 214, 0, 0, 60, 0, 0, 0], [0, 0, 712, 207, 0, 0, 81, 0, 0, 0], [5, 0, 740, 181, 0, 0, 74, 0, 0, 0], [2, 0, 768, 144, 0, 0, 84, 2, 0, 0], [1, 0, 741, 195, 0, 0, 62, 1, 0, 0], [1, 0, 796, 122, 0, 0, 80, 1, 0, 0], [2, 0, 721, 225, 0, 0, 50, 2, 0, 0], [7, 0, 606, 368, 0, 0, 19, 0, 0, 0], [16, 0, 657, 294, 0, 0, 33, 0, 0, 0]]"
3,9.8,2.30520848039621,0.037555140470405556,0.098,0.039012274768571664,490292801,0.0,0.0,59.5,33.300000000000004,0.0,0.0,0.3,4.9,0.0,0.0,"[[0, 0, 399, 567, 0, 0, 0, 34, 0, 0], [0, 0, 575, 388, 0, 0, 4, 33, 0, 0], [0, 0, 595, 353, 0, 0, 5, 47, 0, 0], [0, 0, 628, 333, 0, 0, 9, 30, 0, 0], [0, 0, 677, 260, 0, 0, 9, 54, 0, 0], [0, 0, 616, 341, 0, 0, 7, 36, 0, 0], [0, 0, 700, 236, 0, 0, 3, 61, 0, 0], [0, 0, 569, 377, 0, 0, 5, 49, 0, 0], [0, 0, 394, 569, 0, 0, 1, 36, 0, 0], [0, 0, 464, 499, 0, 0, 2, 35, 0, 0]]"
4,9.86,2.303463524522873,0.028041158564283453,0.0986,0.02097884860906273,645751494,0.0,0.0,1.2,96.89999999999999,0.0,0.0,0.0,0.5,0.0,0.0,"[[0, 0, 7, 992, 0, 0, 0, 1, 0, 0], [0, 0, 28, 966, 0, 0, 0, 6, 0, 0], [0, 0, 12, 985, 0, 0, 0, 3, 0, 0], [0, 0, 24, 969, 0, 0, 0, 7, 0, 0], [0, 0, 5, 992, 0, 0, 0, 3, 0, 0], [0, 0, 10, 985, 0, 0, 0, 5, 0, 0], [0, 0, 19, 977, 0, 0, 0, 4, 0, 0], [0, 0, 21, 974, 0, 0, 0, 5, 0, 0], [0, 0, 13, 983, 0, 0, 0, 4, 0, 0], [0, 0, 26, 966, 0, 0, 0, 8, 0, 0]]"
5,9.93,2.2999193043754507,0.03313510196525995,0.0993,0.018847902967103418,825126909,0.0,0.0,0.3,98.9,0.0,0.0,0.0,0.1,0.0,0.0,"[[0, 1, 2, 997, 0, 0, 0, 0, 0, 0], [0, 0, 8, 991, 0, 0, 0, 1, 0, 0], [0, 0, 3, 997, 0, 0, 0, 0, 0, 0], [0, 1, 7, 989, 0, 1, 0, 2, 0, 0], [0, 0, 1, 998, 0, 1, 0, 0, 0, 0], [0, 0, 2, 998, 0, 0, 0, 0, 0, 0], [0, 0, 3, 997, 0, 0, 0, 0, 0, 0], [0, 0, 5, 994, 0, 0, 0, 1, 0, 0], [0, 1, 4, 995, 0, 0, 0, 0, 0, 0], [0, 0, 11, 987, 0, 0, 0, 2, 0, 0]]"
6,11.33,2.292789743350337,0.06523762465599876,0.1133,0.046671047027327314,944710519,0.0,11.4,0.0,90.0,0.0,0.0,11.3,0.6,0.0,0.0,"[[0, 233, 0, 765, 0, 0, 1, 1, 0, 0], [0, 114, 0, 854, 0, 0, 27, 5, 0, 0], [0, 57, 0, 868, 0, 2, 72, 1, 0, 0], [0, 50, 1, 900, 0, 1, 45, 3, 0, 0], [0, 21, 0, 841, 0, 5, 131, 2, 0, 0], [0, 27, 0, 927, 0, 0, 44, 2, 0, 0], [0, 31, 1, 852, 0, 3, 113, 0, 0, 0], [0, 82, 1, 861, 0, 0, 50, 6, 0, 0], [0, 187, 0, 806, 0, 0, 5, 2, 0, 0], [0, 186, 0, 790, 0, 0, 17, 7, 0, 0]]"
7,15.11,2.2794415402336243,0.11534228218484195,0.1511,0.08423923233259148,1064294129,0.0,10.100000000000001,0.0,77.2,0.0,0.0,50.6,1.5,11.700000000000001,0.0,"[[0, 127, 0, 673, 0, 0, 30, 3, 167, 0], [0, 101, 0, 790, 0, 0, 88, 5, 16, 0], [0, 31, 0, 631, 0, 0, 306, 0, 32, 0], [0, 31, 0, 772, 0, 0, 189, 1, 7, 0], [0, 10, 0, 480, 0, 0, 495, 4, 11, 0], [0, 13, 0, 789, 0, 0, 192, 2, 4, 0], [0, 29, 0, 464, 0, 0, 506, 0, 1, 0], [0, 54, 0, 728, 0, 0, 167, 15, 36, 0], [0, 129, 0, 739, 0, 0, 15, 0, 117, 0], [0, 139, 0, 742, 0, 0, 40, 9, 70, 0]]"
8,19.17,2.2494055166031224,0.1505382827533317,0.19169999999999998,0.09528906579358018,1207794461,0.0,0.3,0.0,73.8,0.0,0.0,45.300000000000004,1.0,71.3,0.0,"[[0, 0, 0, 244, 0, 0, 19, 0, 737, 0], [0, 3, 0, 614, 0, 0, 41, 2, 340, 0], [0, 0, 0, 544, 0, 0, 229, 1, 226, 0], [0, 0, 0, 738, 0, 0, 127, 2, 133, 0], [0, 0, 0, 465, 0, 0, 407, 0, 128, 0], [0, 1, 0, 773, 0, 0, 122, 0, 104, 0], [0, 0, 0, 481, 0, 0, 453, 2, 64, 0], [0, 1, 0, 553, 0, 0, 92, 10, 344, 0], [0, 0, 0, 282, 0, 0, 5, 0, 713, 0], [0, 3, 0, 334, 0, 0, 17, 4, 642, 0]]"
9,20.44,2.2033750500541904,0.17594438369931775,0.2044,0.11145138788950792,1327378071,0.2,1.5,0.0,46.300000000000004,0.0,0.0,59.699999999999996,10.8,85.9,0.0,"[[2, 1, 0, 87, 0, 0, 32, 10, 868, 0], [0, 15, 0, 340, 0, 0, 69, 36, 540, 0], [1, 1, 0, 304, 0, 0, 335, 34, 325, 0], [0, 4, 0, 463, 0, 0, 215, 40, 278, 0], [1, 2, 0, 220, 0, 0, 533, 38, 206, 0], [0, 0, 0, 525, 0, 0, 199, 46, 230, 0], [0, 1, 0, 205, 0, 0, 597, 41, 156, 0], [0, 6, 0, 276, 0, 0, 167, 108, 443, 0], [1, 1, 0, 119, 0, 0, 12, 8, 859, 0], [0, 1, 0, 140, 0, 0, 28, 52, 779, 0]]"
10,22.07,2.1486500753000524,0.16927184585837354,0.22069999999999998,0.140456059137597,1458920042,2.8000000000000003,17.2,0.0,43.8,0.0,0.0,58.099999999999994,11.899999999999999,86.9,0.0,"[[28, 22, 0, 66, 0, 0, 28, 12, 844, 0], [6, 172, 0, 201, 0, 0, 62, 37, 522, 0], [4, 19, 0, 301, 0, 0, 309, 32, 335, 0], [11, 38, 0, 438, 0, 0, 200, 37, 276, 0], [6, 11, 0, 223, 0, 0, 505, 52, 203, 0], [3, 41, 0, 483, 0, 0, 190, 43, 240, 0], [1, 13, 0, 207, 0, 0, 581, 45, 153, 0], [2, 59, 0, 242, 0, 0, 146, 119, 432, 0], [8, 31, 0, 70, 0, 0, 11, 11, 869, 0], [3, 53, 0, 105, 0, 0, 24, 50, 765, 0]]"
11,23.17,2.0831773597211503,0.24232272604150046,0.23170000000000002,0.16816278245970884,1638295457,1.2,19.2,0.0,37.8,5.5,14.299999999999999,55.300000000000004,12.7,85.7,0.0,"[[12, 24, 0, 51, 15, 22, 27, 7, 842, 0], [0, 192, 0, 172, 11, 54, 54, 30, 487, 0], [1, 16, 0, 211, 46, 113, 292, 20, 301, 0], [3, 34, 0, 378, 24, 112, 193, 31, 225, 0], [1, 7, 0, 172, 55, 72, 485, 30, 178, 0], [1, 36, 0, 391, 39, 143, 185, 21, 184, 0], [0, 20, 0, 167, 32, 87, 553, 27, 114, 0], [1, 63, 0, 168, 52, 92, 132, 127, 365, 0], [1, 29, 0, 74, 10, 13, 10, 6, 857, 0], [0, 67, 0, 98, 14, 22, 20, 49, 730, 0]]"
12,25.78,2.0367537135133347,0.30717157728251293,0.2578,0.2105683480915864,1769837428,4.3,30.099999999999998,0.0,35.199999999999996,38.5,30.8,32.2,10.7,75.0,1.0,"[[43, 43, 0, 56, 63, 43, 14, 5, 730, 3], [2, 301, 0, 158, 61, 139, 21, 13, 305, 0], [10, 22, 0, 180, 275, 179, 125, 10, 195, 4], [0, 39, 1, 352, 158, 247, 90, 6, 106, 1], [2, 13, 0, 160, 385, 127, 192, 12, 108, 1], [1, 25, 0, 316, 183, 308, 85, 7, 74, 1], [1, 16, 0, 159, 306, 148, 322, 8, 40, 0], [2, 107, 0, 133, 283, 176, 43, 107, 141, 8], [11, 58, 0, 99, 45, 28, 4, 3, 750, 2], [1, 214, 0, 109, 86, 67, 8, 22, 483, 10]]"
13,27.2,1.9908625576823664,0.34255606778775327,0.272,0.22833716019221045,1949212843,5.6000000000000005,33.1,0.1,15.2,46.300000000000004,60.0,4.9,14.6,67.30000000000001,24.9,"[[56, 56, 0, 22, 50, 101, 2, 8, 650, 55], [0, 331, 1, 50, 31, 267, 5, 16, 230, 69], [16, 25, 1, 81, 289, 387, 7, 18, 141, 35], [1, 41, 1, 152, 136, 542, 15, 19, 66, 27], [4, 12, 0, 51, 463, 322, 22, 15, 84, 27], [2, 26, 0, 116, 157, 600, 16, 16, 49, 18], [2, 17, 0, 85, 392, 410, 49, 14, 21, 10], [2, 63, 0, 46, 176, 372, 4, 146, 53, 138], [11, 70, 2, 52, 31, 84, 2, 5, 673, 70], [1, 204, 0, 46, 31, 166, 0, 23, 280, 249]]"
14,29.87,1.9354610816358377,0.26291059926054383,0.2987,0.25417605302773766,2128588258,34.5,33.5,0.0,1.5,50.4,68.10000000000001,0.0,24.099999999999998,44.6,42.0,"[[345, 58, 0, 4, 46, 108, 0, 17, 293, 129], [22, 335, 2, 4, 39, 258, 0, 31, 146, 163], [94, 24, 0, 28, 303, 426, 0, 36, 40, 49], [15, 50, 1, 15, 159, 621, 0, 50, 37, 52], [30, 13, 0, 7, 504, 318, 0, 45, 40, 43], [17, 22, 0, 24, 170, 681, 0, 33, 25, 28], [5, 17, 0, 13, 477, 417, 0, 38, 7, 26], [10, 52, 0, 5, 165, 342, 0, 241, 25, 160], [160, 66, 1, 5, 26, 116, 0, 16, 446, 164], [11, 164, 0, 6, 15, 168, 0, 72, 144, 420]]"
