Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,24.83,2.180534846,0.385696763,0.24164593,0.151963487,6512816,0.102040816,64.5814978,0,1.089108911,0,1.457399103,0,0,99.58932238,74.82656095,"[[1, 0, 0, 0, 0, 2, 0, 0, 892, 85], [0, 733, 0, 0, 0, 1, 0, 0, 396, 5], [0, 3, 0, 0, 0, 1, 0, 0, 958, 70], [0, 7, 0, 11, 0, 10, 0, 0, 952, 30], [0, 0, 0, 0, 0, 0, 0, 0, 354, 628], [0, 2, 0, 0, 0, 13, 0, 0, 845, 32], [0, 6, 0, 0, 0, 2, 0, 0, 842, 108], [0, 9, 0, 0, 0, 0, 0, 0, 353, 666], [0, 0, 0, 0, 0, 0, 0, 0, 970, 4], [0, 0, 0, 0, 0, 1, 0, 0, 253, 755]]"
2,35.49,1.870083333,0.460709176,0.346952434,0.256137412,13526618,0,95.94713656,0.096899225,11.78217822,18.63543788,28.69955157,0,0,97.6386037,94.15262636,"[[0, 1, 0, 1, 2, 83, 0, 0, 722, 171], [0, 1089, 0, 0, 0, 0, 0, 0, 46, 0], [0, 57, 1, 1, 18, 2, 0, 0, 841, 112], [0, 50, 0, 119, 0, 47, 0, 0, 717, 77], [0, 7, 0, 0, 183, 0, 0, 0, 39, 753], [0, 51, 0, 5, 2, 256, 0, 0, 502, 76], [0, 39, 0, 1, 39, 13, 0, 0, 578, 288], [0, 46, 0, 0, 1, 0, 0, 0, 103, 878], [0, 8, 0, 0, 0, 0, 0, 0, 951, 15], [0, 11, 0, 1, 0, 3, 0, 0, 44, 950]]"
3,48.84,1.447699331,0.539750748,0.484369181,0.389036301,20540418,0,97.35682819,3.779069767,67.72277228,60.48879837,66.59192825,0.104384134,0,94.86652977,93.45887017,"[[0, 1, 0, 42, 8, 355, 0, 0, 501, 73], [0, 1105, 0, 2, 0, 2, 0, 0, 26, 0], [0, 79, 39, 10, 36, 4, 0, 0, 773, 91], [0, 42, 0, 684, 0, 63, 0, 0, 191, 30], [0, 10, 0, 0, 594, 7, 0, 0, 18, 353], [0, 40, 0, 75, 13, 594, 0, 0, 143, 27], [0, 46, 2, 1, 239, 72, 1, 0, 493, 104], [0, 51, 1, 1, 3, 1, 0, 0, 79, 892], [0, 9, 0, 6, 3, 15, 0, 0, 924, 17], [0, 11, 0, 6, 6, 14, 0, 0, 29, 943]]"
4,56.69,1.135950709,0.678989865,0.565751314,0.509431526,27053234,76.83673469,98.59030837,23.4496124,82.87128713,98.16700611,81.27802691,7.098121086,5.93385214,67.14579055,24.38057483,"[[753, 1, 0, 12, 23, 179, 0, 2, 5, 5], [0, 1119, 0, 2, 0, 6, 0, 0, 8, 0], [61, 118, 242, 49, 71, 10, 4, 3, 444, 30], [8, 31, 1, 837, 4, 84, 1, 1, 31, 12], [1, 4, 0, 0, 964, 6, 1, 0, 1, 5], [24, 24, 1, 68, 35, 725, 0, 0, 14, 1], [71, 50, 4, 1, 546, 149, 68, 0, 68, 1], [3, 63, 8, 15, 98, 9, 0, 61, 25, 746], [60, 23, 0, 38, 23, 172, 0, 0, 654, 4], [13, 12, 0, 15, 680, 43, 0, 0, 0, 246]]"
5,64.28,0.991697672,0.711635486,0.639300953,0.611742225,34568023,98.06122449,99.030837,39.4379845,86.83168317,98.67617108,69.95515695,30.16701461,62.45136187,48.04928131,6.640237859,"[[961, 1, 0, 1, 12, 2, 0, 0, 2, 1], [0, 1124, 0, 4, 0, 3, 0, 0, 4, 0], [138, 115, 407, 60, 62, 2, 5, 5, 227, 11], [49, 30, 3, 877, 6, 28, 1, 4, 8, 4], [4, 4, 1, 0, 969, 0, 2, 1, 0, 1], [123, 21, 1, 81, 38, 624, 1, 0, 3, 0], [147, 42, 5, 1, 410, 58, 289, 0, 6, 0], [13, 53, 29, 13, 162, 1, 0, 642, 7, 108], [321, 30, 0, 52, 29, 74, 0, 0, 468, 0], [30, 16, 0, 10, 861, 10, 0, 15, 0, 67]]"
6,73.34,0.791302101,0.784057056,0.729269041,0.70796579,39577883,98.7755102,99.20704846,76.06589147,89.5049505,97.14867617,64.01345291,68.37160752,77.43190661,50.82135524,7.92864222,"[[968, 1, 2, 1, 7, 0, 0, 1, 0, 0], [0, 1126, 2, 4, 0, 1, 1, 0, 1, 0], [46, 69, 785, 19, 36, 0, 5, 11, 59, 2], [32, 25, 15, 904, 6, 11, 0, 7, 7, 3], [3, 3, 10, 0, 954, 0, 9, 1, 2, 0], [148, 23, 6, 93, 28, 571, 14, 2, 7, 0], [65, 32, 59, 2, 125, 17, 655, 0, 3, 0], [13, 35, 54, 3, 95, 1, 0, 796, 2, 29], [288, 36, 25, 59, 26, 28, 10, 6, 495, 1], [29, 13, 11, 11, 815, 5, 0, 45, 0, 80]]"
7,75.1,0.726646498,0.803818962,0.74504382,0.733028652,44587741,97.44897959,98.85462555,91.95736434,94.05940594,91.6496945,59.08071749,64.09185804,76.94552529,39.83572895,31.11992071,"[[955, 0, 14, 8, 1, 0, 1, 1, 0, 0], [0, 1122, 8, 4, 0, 1, 0, 0, 0, 0], [12, 22, 949, 19, 13, 0, 2, 6, 8, 1], [4, 12, 29, 950, 4, 2, 0, 4, 2, 3], [2, 6, 50, 1, 900, 0, 17, 1, 2, 3], [79, 21, 25, 195, 11, 527, 29, 0, 4, 1], [32, 19, 256, 3, 24, 10, 614, 0, 0, 0], [14, 31, 69, 13, 41, 1, 0, 791, 1, 67], [144, 36, 199, 157, 18, 15, 11, 5, 388, 1], [28, 14, 57, 22, 548, 2, 0, 24, 0, 314]]"
8,70.64,0.842031787,0.809018668,0.697398689,0.691664078,50599571,92.85714286,97.97356828,96.70542636,94.75247525,83.299389,52.69058296,23.2776618,73.15175097,29.5687885,53.12190287,"[[910, 0, 53, 11, 0, 1, 3, 1, 1, 0], [0, 1112, 18, 4, 0, 0, 0, 0, 1, 0], [4, 4, 998, 10, 5, 0, 4, 4, 3, 0], [1, 4, 40, 957, 2, 0, 1, 3, 1, 1], [0, 4, 117, 7, 818, 0, 14, 1, 2, 19], [39, 13, 65, 272, 4, 470, 23, 0, 5, 1], [12, 6, 705, 3, 2, 7, 223, 0, 0, 0], [13, 22, 106, 30, 25, 6, 0, 752, 1, 73], [40, 18, 437, 167, 7, 9, 7, 1, 288, 0], [19, 14, 131, 51, 247, 1, 0, 10, 0, 536]]"
9,76.05,0.756167642,0.837808809,0.753142526,0.760808441,55609430,91.73469388,97.53303965,96.51162791,96.43564356,75.45824847,53.69955157,56.26304802,74.31906615,45.3798768,65.80773043,"[[899, 0, 50, 20, 0, 4, 5, 1, 1, 0], [0, 1107, 21, 5, 0, 0, 0, 0, 2, 0], [4, 1, 996, 14, 0, 0, 6, 5, 6, 0], [0, 2, 27, 974, 1, 0, 0, 2, 2, 2], [0, 7, 133, 28, 741, 0, 33, 1, 4, 35], [21, 6, 51, 285, 1, 479, 36, 0, 12, 1], [9, 4, 394, 3, 1, 7, 539, 0, 1, 0], [12, 13, 95, 58, 11, 8, 0, 764, 2, 65], [16, 9, 296, 193, 4, 4, 9, 1, 442, 0], [18, 13, 126, 99, 76, 1, 1, 11, 0, 664]]"
10,86.12,0.485066304,0.876148156,0.856854801,0.857800791,61120274,93.67346939,97.09251101,93.21705426,96.53465347,82.68839104,59.86547085,92.27557411,83.26848249,78.95277207,79.2864222,"[[918, 0, 20, 16, 0, 4, 17, 1, 4, 0], [0, 1102, 10, 6, 0, 0, 3, 0, 14, 0], [4, 0, 962, 16, 1, 0, 16, 8, 23, 2], [0, 1, 12, 975, 1, 1, 0, 8, 10, 2], [2, 0, 32, 25, 812, 0, 55, 2, 7, 47], [24, 7, 19, 213, 0, 534, 62, 1, 30, 2], [11, 2, 46, 4, 2, 6, 884, 0, 3, 0], [9, 6, 60, 30, 6, 6, 0, 856, 4, 51], [7, 2, 56, 103, 4, 4, 20, 8, 769, 1], [18, 7, 39, 41, 77, 1, 1, 21, 4, 800]]"
