Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,26.54,2.305740675,0.214550458,0.25585917,0.158393515,6512556,0,85.9030837,0,0,0.305498982,0.784753363,0,0,99.58932238,69.2765114,"[[0, 0, 0, 0, 0, 4, 0, 0, 920, 56], [0, 975, 0, 0, 0, 0, 0, 0, 160, 0], [0, 21, 0, 0, 1, 0, 0, 0, 956, 54], [0, 33, 0, 0, 0, 7, 0, 0, 924, 46], [0, 2, 0, 0, 3, 0, 0, 0, 420, 557], [0, 22, 0, 0, 0, 7, 0, 0, 823, 40], [0, 16, 0, 0, 3, 1, 0, 0, 888, 50], [0, 28, 0, 0, 0, 0, 0, 0, 329, 671], [0, 1, 0, 0, 0, 0, 0, 0, 970, 3], [0, 7, 0, 0, 0, 0, 0, 0, 303, 699]]"
2,45.69,1.535314409,0.509143557,0.450400148,0.364089499,13526078,0,99.64757709,31.39534884,71.98019802,99.69450102,78.81165919,0.208768267,63.32684825,5.23613963,0.099108028,"[[0, 3, 5, 76, 158, 704, 0, 11, 5, 18], [0, 1131, 0, 2, 1, 1, 0, 0, 0, 0], [0, 346, 324, 59, 143, 46, 0, 28, 83, 3], [0, 97, 2, 727, 17, 146, 0, 17, 0, 4], [0, 2, 0, 0, 979, 0, 0, 1, 0, 0], [0, 56, 0, 45, 82, 703, 0, 2, 1, 3], [0, 87, 5, 0, 759, 104, 2, 0, 1, 0], [0, 52, 7, 0, 308, 0, 0, 651, 0, 10], [0, 117, 1, 75, 110, 605, 0, 15, 51, 0], [0, 14, 0, 4, 932, 17, 0, 41, 0, 1]]"
3,59.36,1.149486543,0.754752962,0.584692195,0.596008611,20539598,99.79591837,96.03524229,42.82945736,75.84158416,65.27494908,17.71300448,60.96033403,72.17898833,29.97946612,24.08325074,"[[978, 0, 0, 0, 0, 0, 1, 0, 1, 0], [4, 1090, 1, 19, 0, 5, 1, 0, 15, 0], [273, 24, 442, 46, 9, 1, 36, 5, 195, 1], [226, 3, 1, 766, 0, 1, 1, 6, 4, 2], [212, 5, 2, 16, 641, 24, 60, 4, 6, 12], [683, 3, 0, 34, 2, 158, 4, 0, 8, 0], [341, 12, 6, 0, 7, 7, 584, 0, 1, 0], [143, 19, 43, 62, 6, 1, 0, 742, 3, 9], [615, 3, 0, 47, 1, 12, 2, 2, 292, 0], [504, 3, 11, 103, 74, 18, 9, 43, 1, 243]]"
4,59.57,1.256712558,0.672308912,0.590430791,0.534512533,27052154,96.83673469,99.11894273,58.33333333,73.86138614,99.79633401,77.24215247,0.835073069,66.43968872,17.96714579,0,"[[949, 0, 0, 0, 29, 1, 0, 1, 0, 0], [0, 1125, 0, 3, 3, 4, 0, 0, 0, 0], [147, 107, 602, 14, 109, 5, 0, 14, 34, 0], [100, 37, 7, 746, 18, 92, 0, 9, 1, 0], [0, 2, 0, 0, 980, 0, 0, 0, 0, 0], [86, 11, 1, 20, 83, 689, 0, 1, 1, 0], [75, 28, 4, 0, 785, 58, 8, 0, 0, 0], [7, 41, 30, 4, 263, 0, 0, 683, 0, 0], [230, 62, 12, 40, 161, 284, 1, 9, 175, 0], [18, 15, 0, 6, 938, 6, 0, 26, 0, 0]]"
5,77.06,0.701896769,0.819359923,0.765894467,0.761072936,34566643,97.75510204,98.76651982,46.89922481,86.93069307,78.20773931,47.75784753,61.89979123,62.74319066,94.25051335,90.68384539,"[[958, 1, 0, 0, 2, 0, 0, 1, 17, 1], [0, 1121, 0, 3, 0, 0, 0, 0, 11, 0], [37, 91, 484, 21, 26, 0, 14, 13, 322, 24], [7, 29, 2, 878, 1, 1, 1, 3, 79, 9], [4, 23, 3, 0, 768, 0, 9, 0, 17, 158], [55, 35, 1, 149, 7, 426, 4, 3, 201, 11], [75, 43, 21, 1, 128, 11, 593, 0, 86, 0], [6, 50, 28, 7, 5, 0, 0, 645, 16, 271], [10, 20, 0, 16, 5, 0, 0, 0, 918, 5], [18, 22, 2, 13, 21, 1, 0, 2, 15, 915]]"
6,72.2,0.742088587,0.824141992,0.716181551,0.722095214,39576303,71.53061224,98.85462555,96.70542636,79.7029703,84.01221996,79.14798206,21.08559499,60.11673152,52.87474333,72.1506442,"[[701, 1, 204, 7, 2, 55, 5, 2, 3, 0], [0, 1122, 11, 1, 0, 1, 0, 0, 0, 0], [1, 13, 998, 1, 6, 2, 3, 4, 3, 1], [0, 41, 118, 805, 0, 25, 1, 4, 10, 6], [0, 26, 104, 0, 825, 0, 2, 0, 0, 25], [1, 35, 62, 55, 4, 706, 15, 1, 9, 4], [5, 23, 703, 1, 8, 16, 202, 0, 0, 0], [1, 64, 95, 0, 11, 2, 0, 618, 0, 237], [1, 58, 333, 24, 7, 29, 1, 3, 515, 3], [2, 30, 110, 10, 114, 8, 0, 2, 5, 728]]"
7,65.98,0.929032454,0.801045501,0.653647524,0.640278633,44585961,85.10204082,99.20704846,67.44186047,98.81188119,81.26272912,44.39461883,57.93319415,5.739299611,33.67556468,80.07928642,"[[834, 1, 7, 120, 2, 15, 0, 0, 0, 1], [0, 1126, 0, 9, 0, 0, 0, 0, 0, 0], [6, 38, 696, 269, 9, 0, 3, 2, 4, 5], [0, 6, 1, 998, 0, 0, 0, 0, 0, 5], [2, 26, 20, 50, 798, 0, 5, 0, 0, 81], [4, 23, 13, 444, 3, 396, 1, 0, 5, 3], [25, 47, 221, 35, 41, 33, 555, 0, 1, 0], [2, 42, 29, 284, 7, 2, 0, 59, 0, 603], [0, 46, 14, 555, 6, 15, 0, 0, 328, 10], [7, 13, 17, 145, 16, 3, 0, 0, 0, 808]]"
8,74.25,0.71296114,0.799874302,0.740689797,0.729005853,50597551,88.26530612,97.7092511,97.28682171,78.61386139,96.02851324,84.30493274,60.54279749,57.87937743,70.84188912,9.217046581,"[[865, 0, 71, 0, 4, 27, 8, 1, 4, 0], [0, 1109, 24, 1, 0, 1, 0, 0, 0, 0], [2, 1, 1004, 1, 12, 0, 2, 3, 7, 0], [1, 6, 156, 794, 4, 26, 1, 2, 18, 2], [0, 2, 32, 0, 943, 0, 3, 0, 2, 0], [11, 8, 38, 38, 21, 752, 14, 0, 10, 0], [8, 6, 296, 1, 47, 18, 580, 0, 2, 0], [10, 30, 164, 12, 117, 7, 0, 595, 3, 90], [3, 6, 215, 7, 21, 28, 2, 0, 690, 2], [7, 17, 58, 8, 802, 11, 0, 5, 8, 93]]"
9,85.49,0.512366727,0.87551552,0.85263946,0.854654411,55607210,94.18367347,98.76651982,67.44186047,97.52475248,93.07535642,72.75784753,89.1440501,86.08949416,81.10882957,72.54707631,"[[923, 1, 0, 22, 0, 27, 1, 1, 5, 0], [0, 1121, 0, 6, 0, 2, 1, 0, 5, 0], [16, 18, 696, 140, 10, 0, 21, 14, 109, 8], [1, 2, 2, 985, 0, 2, 0, 7, 10, 1], [2, 7, 1, 7, 914, 0, 27, 1, 6, 17], [5, 4, 2, 203, 3, 649, 5, 0, 19, 2], [28, 7, 7, 4, 25, 28, 854, 0, 5, 0], [6, 19, 18, 63, 11, 0, 0, 885, 2, 24], [2, 12, 0, 138, 5, 23, 2, 1, 790, 1], [18, 13, 4, 59, 142, 4, 0, 32, 5, 732]]"
10,81.46,0.523254961,0.851599826,0.81294866,0.802240209,61117834,95.51020408,97.44493392,58.13953488,89.8019802,97.75967413,65.91928251,93.42379958,92.12062257,92.40246407,30.42616452,"[[936, 1, 0, 3, 5, 2, 23, 2, 8, 0], [0, 1106, 0, 4, 2, 1, 7, 0, 15, 0], [14, 13, 600, 38, 29, 0, 89, 34, 202, 13], [2, 2, 1, 907, 3, 4, 7, 27, 52, 5], [0, 0, 0, 0, 960, 0, 19, 2, 1, 0], [25, 5, 0, 92, 43, 588, 46, 11, 76, 6], [13, 2, 1, 1, 44, 1, 895, 0, 1, 0], [4, 5, 13, 3, 38, 0, 0, 947, 1, 17], [5, 2, 0, 15, 27, 1, 12, 9, 900, 3], [9, 4, 1, 6, 610, 2, 2, 58, 10, 307]]"
