Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,15.53,2.279092943,0.162243852,0.157317643,0.076892371,6512556,3.367346939,0,3.003875969,0.198019802,0,0.448430493,0,0,95.79055441,54.50941526,"[[33, 0, 0, 1, 0, 0, 0, 0, 665, 281], [936, 0, 54, 0, 0, 18, 0, 0, 127, 0], [156, 0, 31, 0, 0, 1, 0, 0, 763, 81], [302, 0, 1, 2, 0, 1, 0, 0, 697, 7], [236, 0, 0, 0, 0, 0, 0, 0, 484, 262], [169, 0, 2, 0, 0, 4, 0, 1, 687, 29], [254, 0, 1, 0, 0, 0, 0, 0, 459, 244], [218, 0, 13, 0, 0, 0, 0, 0, 533, 264], [37, 0, 0, 0, 0, 0, 0, 0, 933, 4], [106, 0, 4, 0, 0, 0, 0, 0, 349, 550]]"
2,28.56,2.213409706,0.399512934,0.277709355,0.1733537,13526078,0,77.26872247,0.096899225,1.98019802,0,7.623318386,0,0,98.76796715,91.97224975,"[[0, 0, 0, 0, 0, 1, 0, 0, 753, 226], [0, 877, 0, 0, 0, 3, 0, 0, 244, 11], [0, 8, 1, 0, 0, 2, 0, 0, 885, 136], [0, 11, 0, 20, 0, 26, 0, 0, 879, 74], [0, 0, 0, 0, 0, 0, 0, 0, 91, 891], [1, 6, 0, 0, 0, 68, 0, 0, 704, 113], [0, 13, 0, 0, 0, 9, 0, 0, 474, 462], [0, 11, 0, 0, 0, 0, 0, 0, 256, 761], [0, 1, 0, 0, 0, 0, 0, 0, 962, 11], [0, 1, 0, 0, 0, 2, 0, 0, 78, 928]]"
3,32.17,2.087940007,0.559606478,0.313114225,0.214981702,20539598,0.102040816,93.03964758,0.096899225,9.108910891,1.425661914,21.18834081,0,0,98.45995893,89.69276511,"[[1, 0, 0, 0, 0, 15, 0, 0, 868, 96], [0, 1056, 0, 0, 0, 2, 0, 0, 76, 1], [0, 35, 1, 0, 2, 3, 0, 0, 879, 112], [0, 35, 0, 92, 0, 51, 0, 0, 783, 49], [0, 3, 0, 0, 14, 0, 0, 0, 89, 876], [0, 33, 0, 5, 0, 189, 0, 0, 595, 70], [0, 33, 0, 0, 5, 16, 0, 0, 563, 341], [0, 37, 0, 0, 0, 0, 0, 0, 237, 754], [0, 3, 0, 0, 0, 2, 0, 0, 959, 10], [0, 8, 0, 0, 0, 7, 0, 0, 89, 905]]"
4,43.05,1.880567998,0.539375236,0.42560621,0.33675473,27052154,1.12244898,97.7092511,0.775193798,26.53465347,61.7107943,53.58744395,0,0,94.96919918,89.19722498,"[[11, 1, 0, 0, 11, 94, 0, 0, 812, 51], [0, 1109, 0, 0, 0, 2, 0, 0, 24, 0], [0, 100, 8, 1, 45, 6, 0, 0, 801, 71], [0, 68, 0, 268, 0, 101, 0, 0, 542, 31], [0, 16, 0, 0, 606, 5, 0, 0, 30, 325], [0, 57, 0, 15, 22, 478, 0, 0, 291, 29], [1, 62, 0, 0, 297, 89, 0, 0, 408, 101], [0, 98, 0, 0, 12, 0, 0, 0, 166, 752], [0, 24, 0, 0, 2, 10, 0, 0, 925, 13], [0, 20, 0, 2, 9, 12, 0, 0, 66, 900]]"
5,50.94,1.627087516,0.635195108,0.506591172,0.435979726,34566643,59.59183673,98.76651982,2.42248062,47.72277228,91.6496945,58.632287,0,0.097276265,92.50513347,55.20317146,"[[584, 1, 0, 1, 29, 32, 0, 0, 326, 7], [0, 1121, 0, 0, 0, 2, 0, 0, 12, 0], [4, 156, 25, 3, 93, 5, 0, 0, 717, 29], [1, 95, 0, 482, 2, 52, 0, 0, 360, 18], [0, 24, 0, 0, 900, 1, 0, 0, 19, 38], [3, 76, 0, 36, 39, 523, 0, 0, 205, 10], [12, 80, 0, 0, 496, 85, 0, 0, 283, 2], [0, 148, 1, 3, 84, 1, 0, 1, 124, 666], [0, 45, 0, 0, 7, 11, 0, 0, 901, 10], [2, 37, 0, 4, 339, 17, 0, 0, 53, 557]]"
6,54.05,1.395598905,0.605334976,0.538190578,0.469368523,39576303,88.46938776,99.47136564,15.21317829,64.85148515,96.02851324,62.21973094,0,2.042801556,88.09034908,21.80376611,"[[867, 2, 0, 0, 28, 13, 0, 0, 68, 2], [0, 1129, 0, 2, 0, 2, 0, 0, 2, 0], [35, 211, 157, 10, 91, 3, 0, 1, 518, 6], [8, 113, 1, 655, 6, 32, 0, 0, 188, 7], [1, 26, 0, 0, 943, 0, 0, 0, 4, 8], [25, 92, 1, 61, 42, 555, 0, 0, 111, 5], [47, 94, 1, 0, 574, 73, 0, 0, 169, 0], [3, 193, 10, 3, 178, 0, 0, 21, 73, 547], [9, 69, 0, 5, 14, 13, 0, 0, 858, 6], [4, 48, 0, 6, 689, 15, 0, 0, 27, 220]]"
7,56.41,1.233144591,0.598014541,0.56005546,0.495962044,44585961,94.18367347,99.55947137,35.27131783,80.69306931,96.23217923,54.48430493,0,2.042801556,79.05544148,18.53320119,"[[923, 3, 0, 4, 25, 8, 0, 0, 16, 1], [0, 1130, 0, 3, 0, 1, 0, 0, 1, 0], [66, 233, 364, 24, 74, 3, 0, 0, 262, 6], [7, 111, 4, 815, 6, 7, 0, 0, 53, 7], [1, 27, 1, 0, 945, 0, 0, 0, 3, 5], [31, 102, 2, 170, 43, 486, 0, 0, 54, 4], [107, 105, 25, 0, 584, 64, 0, 0, 73, 0], [3, 210, 33, 16, 189, 0, 0, 21, 30, 526], [28, 100, 0, 37, 22, 11, 0, 0, 770, 6], [12, 53, 0, 18, 729, 3, 0, 0, 7, 187]]"
8,56.83,1.13097505,0.684870783,0.56224304,0.499215035,50597551,95.10204082,99.55947137,56.00775194,87.92079208,96.84317719,45.40358744,0.208768267,2.821011673,65.19507187,13.18136769,"[[932, 2, 1, 13, 22, 5, 0, 0, 4, 1], [0, 1130, 1, 4, 0, 0, 0, 0, 0, 0], [34, 220, 578, 35, 58, 1, 0, 1, 105, 0], [1, 81, 10, 888, 6, 4, 0, 0, 14, 6], [1, 22, 5, 0, 951, 0, 0, 0, 0, 3], [30, 99, 7, 282, 49, 405, 0, 0, 19, 1], [83, 99, 230, 3, 484, 44, 2, 0, 13, 0], [2, 197, 53, 29, 227, 0, 0, 29, 8, 483], [47, 114, 2, 130, 27, 12, 0, 0, 635, 7], [12, 46, 3, 28, 784, 2, 0, 0, 1, 133]]"
9,56.95,1.058866509,0.690266883,0.562033523,0.501151657,55607210,93.36734694,99.55947137,66.76356589,92.37623762,96.6395112,40.24663677,1.461377871,6.420233463,51.02669405,14.17244797,"[[915, 2, 8, 28, 17, 6, 0, 0, 3, 1], [0, 1130, 1, 4, 0, 0, 0, 0, 0, 0], [16, 182, 689, 48, 46, 0, 0, 1, 50, 0], [0, 50, 16, 933, 5, 0, 0, 0, 4, 2], [1, 17, 12, 1, 949, 0, 0, 0, 0, 2], [27, 82, 16, 354, 43, 359, 0, 0, 9, 2], [56, 77, 446, 7, 327, 29, 14, 0, 2, 0], [2, 163, 61, 52, 203, 0, 0, 66, 3, 478], [49, 100, 23, 258, 24, 14, 0, 0, 497, 9], [9, 38, 8, 39, 770, 2, 0, 0, 0, 143]]"
10,61.4,0.957194414,0.717816698,0.606409604,0.574223391,61117834,92.85714286,99.47136564,73.93410853,94.25742574,96.84317719,38.56502242,22.02505219,23.54085603,48.56262834,16.35282458,"[[910, 1, 10, 35, 14, 7, 0, 0, 2, 1], [0, 1129, 1, 5, 0, 0, 0, 0, 0, 0], [9, 129, 763, 57, 41, 0, 0, 1, 31, 1], [0, 30, 17, 952, 5, 0, 0, 1, 3, 2], [1, 10, 17, 1, 951, 0, 0, 0, 0, 2], [25, 60, 19, 390, 44, 344, 0, 0, 8, 2], [45, 56, 392, 13, 220, 20, 211, 0, 1, 0], [4, 116, 66, 53, 185, 0, 0, 242, 1, 361], [44, 75, 38, 301, 25, 10, 0, 0, 473, 8], [11, 26, 16, 40, 750, 1, 0, 0, 0, 165]]"
