Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,14.2,2.255151736,0.24188088,0.140003198,0.078279637,6512532,0,33.83259912,0,0.099009901,0,0.224215247,0,0,100,5.847373637,"[[0, 0, 0, 0, 0, 0, 0, 0, 974, 6], [0, 384, 0, 0, 0, 0, 0, 0, 751, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1017, 15], [0, 2, 0, 1, 0, 4, 0, 0, 1001, 2], [0, 0, 0, 0, 0, 0, 0, 0, 849, 133], [0, 1, 0, 0, 0, 2, 0, 0, 888, 1], [0, 1, 0, 0, 0, 1, 0, 0, 948, 8], [0, 10, 0, 0, 0, 1, 0, 0, 849, 168], [0, 0, 0, 0, 0, 0, 0, 0, 974, 0], [0, 1, 0, 0, 0, 2, 0, 0, 947, 59]]"
2,49.56,1.510987257,0.497617956,0.488744314,0.424251422,13526028,0,99.55947137,59.10852713,76.23762376,98.87983707,73.76681614,19.83298539,54.18287938,6.878850103,0.297324083,"[[0, 4, 20, 38, 197, 626, 29, 5, 22, 39], [0, 1130, 0, 3, 1, 1, 0, 0, 0, 0], [0, 219, 610, 17, 79, 22, 4, 12, 69, 0], [0, 105, 14, 770, 26, 83, 1, 8, 0, 3], [0, 11, 0, 0, 971, 0, 0, 0, 0, 0], [0, 79, 6, 55, 88, 658, 4, 1, 1, 0], [0, 82, 21, 1, 619, 45, 190, 0, 0, 0], [0, 109, 33, 1, 322, 0, 0, 557, 0, 6], [0, 124, 24, 89, 138, 484, 29, 8, 67, 11], [0, 27, 1, 7, 938, 19, 0, 14, 0, 3]]"
3,71.22,1.119936269,0.773342112,0.708699268,0.687974931,20539524,33.26530612,97.62114537,74.32170543,88.81188119,93.17718941,80.60538117,60.43841336,85.60311284,74.53798768,20.31714569,"[[326, 1, 37, 56, 25, 455, 14, 7, 59, 0], [0, 1108, 6, 4, 0, 5, 1, 0, 11, 0], [0, 30, 767, 16, 31, 7, 1, 9, 171, 0], [0, 16, 19, 897, 2, 43, 1, 11, 19, 2], [0, 7, 24, 0, 915, 17, 4, 9, 1, 5], [0, 21, 15, 87, 26, 719, 6, 3, 15, 0], [2, 26, 219, 2, 74, 46, 579, 1, 9, 0], [0, 37, 68, 3, 25, 5, 0, 880, 4, 6], [1, 11, 13, 77, 11, 116, 7, 9, 726, 3], [2, 8, 26, 16, 537, 89, 1, 122, 3, 205]]"
4,64.63,1.120023344,0.692835871,0.641019824,0.597768643,27052056,91.63265306,99.38325991,64.72868217,87.02970297,99.79633401,77.24215247,6.263048017,76.75097276,38.19301848,0,"[[898, 0, 0, 1, 43, 32, 0, 5, 1, 0], [0, 1128, 0, 4, 2, 1, 0, 0, 0, 0], [34, 102, 668, 26, 97, 6, 1, 26, 72, 0], [7, 30, 10, 879, 17, 40, 0, 24, 3, 0], [0, 1, 0, 0, 980, 0, 0, 1, 0, 0], [20, 31, 3, 66, 75, 689, 0, 6, 2, 0], [28, 41, 16, 1, 750, 62, 60, 0, 0, 0], [2, 36, 29, 0, 172, 0, 0, 789, 0, 0], [87, 65, 9, 98, 132, 189, 3, 19, 372, 0], [7, 15, 1, 8, 921, 10, 0, 47, 0, 0]]"
5,80.88,0.710230376,0.833273488,0.804254884,0.801162508,34566516,96.63265306,98.94273128,52.42248062,90.1980198,84.9287169,53.3632287,71.18997912,87.45136187,89.93839836,79.18731417,"[[947, 1, 0, 4, 6, 1, 0, 2, 18, 1], [0, 1123, 0, 3, 0, 0, 1, 0, 8, 0], [22, 98, 541, 36, 37, 0, 10, 23, 260, 5], [2, 26, 4, 911, 1, 1, 1, 16, 43, 5], [2, 12, 2, 0, 834, 0, 14, 1, 4, 113], [27, 47, 1, 191, 21, 476, 10, 8, 101, 10], [38, 42, 16, 2, 122, 16, 682, 0, 40, 0], [4, 37, 25, 4, 8, 0, 0, 899, 5, 46], [5, 25, 0, 39, 6, 2, 1, 9, 876, 11], [16, 21, 2, 15, 100, 1, 0, 45, 10, 799]]"
6,74.63,0.703758626,0.817377882,0.743791926,0.729580326,39576156,37.65306122,99.11894273,88.75968992,80.3960396,93.3808554,93.04932735,86.11691023,87.84046693,44.96919918,32.5074331,"[[369, 1, 16, 10, 4, 546, 29, 4, 1, 0], [0, 1125, 4, 1, 0, 3, 2, 0, 0, 0], [3, 31, 916, 8, 19, 11, 13, 17, 13, 1], [0, 28, 33, 812, 1, 115, 1, 16, 3, 1], [0, 12, 11, 0, 917, 7, 31, 2, 0, 2], [1, 11, 9, 12, 8, 830, 16, 4, 0, 1], [3, 17, 52, 1, 17, 43, 825, 0, 0, 0], [3, 35, 56, 2, 15, 5, 0, 903, 0, 9], [1, 57, 73, 37, 16, 301, 32, 14, 438, 5], [2, 21, 25, 10, 490, 46, 5, 82, 0, 328]]"
7,82.12,0.621124097,0.846357723,0.817367611,0.817956667,44585796,86.53061224,99.47136564,86.53100775,96.33663366,88.08553971,71.86098655,84.44676409,69.64980545,53.28542094,81.16947473,"[[848, 1, 4, 33, 1, 85, 5, 1, 1, 1], [0, 1129, 0, 4, 0, 1, 1, 0, 0, 0], [8, 46, 893, 29, 15, 0, 10, 12, 12, 7], [0, 14, 10, 973, 0, 3, 0, 3, 2, 5], [2, 21, 8, 4, 865, 0, 17, 0, 0, 65], [3, 25, 10, 185, 9, 641, 14, 0, 3, 2], [14, 32, 36, 6, 31, 29, 809, 0, 1, 0], [4, 60, 49, 37, 9, 0, 0, 716, 0, 153], [3, 80, 35, 240, 14, 49, 11, 0, 519, 23], [8, 30, 15, 39, 84, 4, 0, 10, 0, 819]]"
8,87.61,0.488060682,0.879344631,0.874983794,0.87471874,50597364,90.51020408,96.74008811,86.62790698,92.57425743,91.85336049,82.17488789,88.62212944,76.55642023,92.81314168,76.51139742,"[[887, 0, 3, 9, 1, 54, 7, 2, 16, 1], [0, 1098, 4, 3, 0, 3, 3, 0, 24, 0], [9, 2, 894, 11, 16, 1, 13, 6, 74, 6], [0, 5, 21, 935, 1, 8, 0, 2, 34, 4], [1, 3, 6, 1, 902, 1, 22, 1, 6, 39], [7, 6, 7, 76, 11, 733, 13, 2, 36, 1], [14, 4, 37, 2, 21, 26, 849, 0, 5, 0], [4, 24, 55, 18, 15, 0, 0, 787, 8, 117], [1, 2, 8, 30, 6, 14, 4, 1, 904, 4], [7, 8, 14, 14, 153, 10, 0, 13, 18, 772]]"
9,86.64,0.468222043,0.877729136,0.864658233,0.864199834,55607004,92.34693878,98.6784141,73.93410853,92.77227723,63.3401222,81.7264574,93.00626305,85.89494163,91.58110883,91.37760159,"[[905, 1, 0, 5, 0, 46, 7, 2, 13, 1], [0, 1120, 0, 4, 0, 1, 2, 0, 8, 0], [13, 25, 763, 24, 9, 1, 28, 22, 133, 14], [0, 11, 4, 937, 0, 6, 1, 15, 32, 4], [2, 9, 2, 1, 622, 0, 36, 1, 5, 304], [10, 12, 2, 81, 4, 729, 13, 4, 30, 7], [17, 8, 4, 1, 11, 20, 891, 0, 6, 0], [4, 28, 28, 8, 4, 0, 0, 883, 3, 70], [1, 15, 1, 30, 3, 13, 5, 5, 892, 9], [6, 13, 4, 11, 4, 6, 1, 30, 12, 922]]"
10,86.98,0.463931449,0.884501511,0.86793133,0.867653396,61117608,96.32653061,96.29955947,65.40697674,84.85148515,87.06720978,68.94618834,94.78079332,91.14785992,95.79055441,87.31417245,"[[944, 0, 0, 0, 1, 3, 12, 4, 15, 1], [0, 1093, 0, 2, 0, 1, 4, 0, 34, 1], [12, 5, 675, 13, 17, 1, 55, 31, 204, 19], [3, 4, 4, 857, 0, 7, 8, 26, 89, 12], [0, 0, 1, 0, 855, 0, 27, 2, 2, 95], [21, 5, 1, 48, 16, 615, 35, 17, 118, 16], [14, 3, 2, 1, 19, 5, 908, 0, 6, 0], [4, 4, 18, 3, 8, 0, 0, 937, 5, 49], [3, 1, 0, 9, 8, 1, 6, 7, 933, 6], [8, 5, 2, 3, 51, 2, 1, 40, 16, 881]]"
