Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,14.54,2.292307222,0.142369809,0.1430559,0.081702528,13012116,0,36.47577093,0,0,0,0.33632287,0,0,100,6.243805748,"[[0, 0, 0, 0, 0, 0, 0, 0, 975, 5], [0, 414, 0, 0, 0, 0, 0, 0, 721, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1020, 12], [0, 2, 0, 0, 0, 6, 0, 0, 1000, 2], [0, 0, 0, 0, 0, 1, 0, 0, 855, 126], [0, 1, 0, 0, 0, 3, 0, 0, 888, 0], [0, 2, 0, 0, 0, 1, 0, 0, 948, 7], [0, 11, 0, 0, 0, 2, 0, 0, 828, 187], [0, 0, 0, 0, 0, 0, 0, 0, 974, 0], [0, 1, 0, 0, 0, 2, 0, 0, 943, 63]]"
2,48.51,1.510076418,0.472046758,0.4779226,0.405331779,27025164,0,99.55947137,57.84883721,74.55445545,98.87983707,73.31838565,16.07515658,55.73929961,1.848049281,0.099108028,"[[0, 4, 29, 43, 204, 648, 17, 5, 9, 21], [0, 1130, 0, 3, 1, 1, 0, 0, 0, 0], [0, 245, 597, 20, 84, 22, 4, 16, 44, 0], [0, 115, 13, 753, 26, 93, 1, 8, 0, 1], [0, 11, 0, 0, 971, 0, 0, 0, 0, 0], [0, 84, 4, 54, 91, 654, 4, 1, 0, 0], [0, 87, 19, 1, 650, 47, 154, 0, 0, 0], [0, 113, 30, 1, 310, 0, 0, 573, 0, 1], [0, 141, 27, 103, 145, 496, 24, 12, 18, 8], [0, 27, 1, 6, 930, 18, 0, 26, 0, 1]]"
3,74.25,1.07527546,0.78190752,0.739519735,0.72619601,41038212,52.44897959,97.18061674,73.74031008,91.08910891,92.05702648,78.69955157,68.05845511,85.60311284,75.66735113,24.97522299,"[[514, 0, 29, 41, 22, 328, 9, 4, 33, 0], [0, 1103, 4, 7, 0, 4, 1, 0, 16, 0], [3, 23, 761, 18, 29, 4, 1, 9, 184, 0], [0, 9, 18, 920, 2, 34, 2, 9, 14, 2], [0, 4, 25, 0, 904, 16, 11, 13, 1, 8], [2, 17, 12, 103, 25, 702, 11, 3, 17, 0], [5, 20, 165, 3, 60, 42, 652, 1, 10, 0], [2, 35, 67, 5, 21, 2, 0, 880, 8, 8], [2, 8, 12, 92, 9, 90, 8, 11, 737, 5], [6, 8, 28, 18, 475, 67, 1, 153, 1, 252]]"
4,64.4,1.14913963,0.693393413,0.638738667,0.594952111,54050484,94.79591837,99.38325991,65.11627907,86.93069307,99.79633401,77.24215247,5.636743215,74.41634241,35.42094456,0,"[[929, 0, 0, 0, 39, 9, 0, 2, 1, 0], [0, 1128, 0, 4, 2, 1, 0, 0, 0, 0], [39, 95, 672, 26, 103, 5, 1, 25, 66, 0], [9, 29, 8, 878, 18, 41, 0, 25, 2, 0], [0, 1, 0, 0, 980, 0, 0, 1, 0, 0], [28, 23, 3, 58, 83, 689, 0, 6, 2, 0], [37, 39, 11, 1, 758, 58, 54, 0, 0, 0], [2, 36, 29, 0, 196, 0, 0, 765, 0, 0], [125, 63, 9, 79, 145, 186, 4, 18, 345, 0], [11, 15, 0, 8, 929, 8, 0, 38, 0, 0]]"
5,80.66,0.696743979,0.834019613,0.801701297,0.798623587,69064644,96.63265306,98.85462555,53.10077519,89.40594059,79.22606925,49.88789238,72.33820459,84.43579767,91.99178645,85.82755203,"[[947, 1, 0, 3, 5, 0, 0, 1, 22, 1], [0, 1122, 0, 3, 0, 0, 1, 0, 9, 0], [20, 88, 548, 35, 32, 0, 11, 23, 266, 9], [3, 26, 3, 903, 1, 1, 1, 15, 51, 6], [2, 13, 2, 0, 778, 0, 15, 1, 11, 160], [28, 44, 2, 180, 14, 445, 11, 8, 148, 12], [42, 38, 17, 2, 108, 12, 693, 0, 46, 0], [4, 36, 26, 4, 6, 0, 0, 868, 7, 77], [6, 20, 0, 29, 6, 1, 1, 6, 896, 9], [17, 19, 2, 12, 52, 1, 0, 29, 11, 866]]"
6,74.06,0.710497399,0.818703517,0.737808696,0.724478451,79074084,37.85714286,99.20704846,90.50387597,77.92079208,92.56619145,93.04932735,85.28183716,87.25680934,38.09034908,36.0753221,"[[371, 1, 26, 8, 2, 540, 28, 3, 1, 0], [0, 1126, 3, 1, 0, 3, 2, 0, 0, 0], [1, 30, 934, 8, 14, 12, 12, 13, 8, 0], [0, 25, 39, 787, 1, 141, 0, 15, 1, 1], [0, 14, 14, 0, 909, 8, 33, 2, 0, 2], [1, 10, 10, 11, 7, 830, 18, 4, 0, 1], [3, 14, 66, 1, 13, 44, 817, 0, 0, 0], [3, 37, 60, 2, 12, 6, 0, 897, 0, 11], [1, 57, 92, 29, 14, 360, 35, 12, 371, 3], [4, 20, 35, 10, 455, 53, 6, 62, 0, 364]]"
7,80.89,0.642192662,0.845525947,0.804332927,0.805723131,89083524,87.95918367,99.55947137,87.01550388,97.12871287,84.31771894,65.69506726,83.92484342,64.49416342,49.8973306,84.34093162,"[[862, 1, 5, 40, 1, 64, 4, 1, 1, 1], [0, 1130, 0, 4, 0, 0, 1, 0, 0, 0], [7, 47, 898, 38, 12, 0, 8, 7, 9, 6], [0, 13, 9, 981, 0, 1, 0, 2, 0, 4], [2, 21, 12, 8, 828, 0, 13, 0, 0, 98], [4, 28, 10, 237, 8, 586, 13, 0, 4, 2], [15, 33, 41, 7, 31, 26, 804, 0, 1, 0], [3, 62, 49, 56, 6, 0, 0, 663, 0, 189], [3, 81, 39, 287, 11, 33, 12, 0, 486, 22], [7, 22, 15, 56, 49, 3, 0, 6, 0, 851]]"
8,87.76,0.478965795,0.881492521,0.876405071,0.87628974,101094852,91.83673469,96.65198238,89.14728682,92.07920792,90.93686354,81.7264574,88.2045929,74.80544747,93.01848049,77.99801784,"[[900, 0, 11, 8, 0, 38, 8, 2, 13, 0], [0, 1097, 6, 2, 0, 3, 3, 0, 24, 0], [8, 2, 920, 10, 12, 1, 10, 5, 59, 5], [1, 4, 24, 930, 0, 8, 0, 2, 36, 5], [2, 3, 10, 1, 893, 1, 23, 1, 6, 42], [7, 6, 10, 73, 9, 729, 16, 2, 38, 2], [14, 4, 52, 1, 17, 22, 845, 0, 3, 0], [6, 24, 63, 21, 14, 2, 0, 769, 10, 119], [1, 2, 15, 25, 6, 12, 4, 1, 906, 2], [5, 8, 18, 16, 137, 8, 0, 9, 21, 787]]"
9,87.42,0.444624531,0.882835951,0.872547618,0.872240418,111104292,94.28571429,98.6784141,75.67829457,93.16831683,67.00610998,82.73542601,92.79749478,87.06225681,90.45174538,90.68384539,"[[924, 1, 0, 6, 0, 31, 7, 2, 8, 1], [0, 1120, 0, 4, 0, 1, 2, 0, 8, 0], [14, 27, 781, 24, 9, 1, 27, 23, 114, 12], [1, 10, 5, 941, 0, 9, 1, 14, 25, 4], [3, 10, 2, 1, 658, 0, 38, 1, 5, 264], [11, 12, 2, 74, 3, 738, 19, 4, 23, 6], [20, 8, 6, 1, 10, 19, 889, 1, 4, 0], [4, 25, 24, 13, 4, 0, 0, 895, 1, 62], [2, 17, 1, 35, 2, 16, 6, 5, 881, 9], [12, 14, 4, 10, 5, 6, 1, 32, 10, 915]]"
10,87.16,0.455030281,0.885559838,0.86992135,0.869549987,122114676,96.42857143,96.56387665,65.98837209,83.86138614,90.73319756,70.1793722,94.78079332,90.75875486,95.79055441,84.83647175,"[[945, 0, 0, 0, 2, 3, 12, 2, 15, 1], [0, 1096, 0, 2, 0, 1, 5, 0, 30, 1], [12, 6, 681, 13, 17, 1, 57, 29, 198, 18], [2, 3, 5, 847, 0, 8, 8, 27, 97, 13], [0, 0, 1, 0, 891, 0, 28, 2, 2, 58], [21, 5, 1, 43, 18, 626, 37, 15, 113, 13], [15, 2, 2, 1, 21, 4, 908, 0, 5, 0], [4, 5, 19, 3, 10, 0, 0, 933, 7, 47], [3, 1, 0, 8, 7, 2, 8, 7, 933, 5], [8, 5, 2, 3, 78, 2, 1, 37, 17, 856]]"
