Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.24,2.220814599,0.121918491,0.104473297,0.026550253,4302701,0,3.964757709,0,0,0,0.112107623,0,0,100,0.396432111,"[[0, 0, 0, 0, 0, 0, 0, 0, 980, 0], [0, 45, 0, 0, 0, 6, 0, 0, 1084, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1029, 3], [0, 0, 0, 0, 0, 3, 0, 0, 1007, 0], [0, 0, 0, 0, 0, 0, 0, 0, 962, 20], [0, 0, 0, 0, 0, 1, 0, 0, 891, 0], [0, 1, 0, 0, 0, 0, 0, 0, 955, 2], [0, 0, 0, 0, 0, 0, 0, 0, 979, 49], [0, 0, 0, 0, 0, 0, 0, 0, 974, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1004, 4]]"
2,36.02,1.933578434,0.633313353,0.352608368,0.298382506,8936379,0,88.37004405,16.37596899,12.37623762,22.19959267,26.68161435,0.208768267,4.377431907,98.76796715,83.25074331,"[[0, 0, 3, 0, 1, 29, 0, 0, 902, 45], [0, 1003, 1, 0, 0, 2, 0, 0, 129, 0], [0, 11, 169, 0, 5, 2, 0, 0, 825, 20], [0, 30, 5, 125, 0, 41, 0, 1, 779, 29], [0, 3, 19, 0, 218, 0, 0, 0, 131, 611], [0, 21, 6, 8, 4, 238, 0, 0, 577, 38], [0, 20, 201, 0, 22, 3, 2, 0, 676, 34], [0, 29, 27, 0, 2, 0, 0, 45, 301, 624], [0, 1, 2, 0, 2, 0, 0, 0, 962, 7], [0, 8, 10, 0, 1, 8, 0, 0, 142, 840]]"
3,58.14,1.660543033,0.535026677,0.575916136,0.527169126,13570057,0,95.33039648,59.59302326,67.22772277,82.58655804,72.75784753,0,46.40077821,93.94250513,58.07730426,"[[0, 0, 46, 6, 19, 295, 0, 2, 605, 7], [0, 1082, 7, 1, 0, 5, 0, 0, 40, 0], [0, 18, 615, 5, 17, 4, 0, 2, 369, 2], [0, 22, 29, 679, 2, 90, 0, 4, 180, 4], [0, 4, 90, 0, 811, 14, 0, 0, 8, 55], [0, 24, 29, 52, 21, 649, 0, 0, 112, 5], [0, 23, 751, 1, 31, 30, 0, 0, 121, 1], [0, 44, 100, 8, 25, 10, 0, 477, 93, 271], [0, 2, 12, 7, 4, 26, 0, 0, 915, 8], [0, 8, 93, 7, 175, 94, 0, 4, 42, 586]]"
4,61.6,1.397549538,0.684748107,0.611510466,0.569916729,17872758,80.20408163,98.6784141,57.84883721,79.7029703,99.79633401,78.81165919,0.104384134,64.10505837,52.2587269,0,"[[786, 0, 3, 0, 68, 113, 0, 3, 7, 0], [0, 1120, 2, 2, 2, 5, 0, 0, 4, 0], [13, 69, 597, 8, 94, 5, 0, 17, 229, 0], [2, 35, 19, 805, 21, 98, 0, 9, 21, 0], [0, 1, 0, 0, 980, 0, 0, 1, 0, 0], [8, 32, 4, 51, 82, 703, 0, 2, 10, 0], [17, 42, 42, 0, 772, 80, 1, 0, 4, 0], [0, 50, 45, 0, 267, 2, 0, 659, 5, 0], [26, 41, 6, 32, 108, 244, 0, 8, 509, 0], [5, 13, 1, 9, 941, 26, 0, 14, 0, 0]]"
5,66.88,1.105382274,0.772018745,0.663385344,0.622228397,22837413,95.91836735,99.20704846,44.08914729,84.65346535,98.57433809,56.95067265,13.0480167,82.6848249,84.39425051,3.865213082,"[[940, 1, 0, 0, 17, 1, 0, 5, 16, 0], [0, 1126, 1, 3, 0, 0, 0, 0, 5, 0], [20, 101, 455, 11, 68, 1, 0, 22, 354, 0], [5, 47, 5, 855, 9, 5, 0, 17, 66, 1], [1, 9, 2, 0, 968, 0, 0, 1, 0, 1], [31, 59, 4, 157, 55, 508, 0, 9, 67, 2], [59, 63, 40, 0, 542, 19, 125, 1, 109, 0], [2, 56, 37, 0, 69, 0, 0, 850, 10, 4], [27, 42, 1, 24, 33, 8, 0, 13, 822, 4], [14, 24, 3, 15, 833, 2, 0, 72, 7, 39]]"
6,72.37,0.921074445,0.789808905,0.72047805,0.706452645,26147183,58.46938776,99.38325991,79.94186047,79.5049505,95.82484725,86.43497758,56.15866388,86.38132296,59.54825462,18.83052527,"[[573, 1, 23, 4, 12, 343, 2, 11, 10, 1], [0, 1128, 2, 2, 0, 2, 0, 0, 1, 0], [6, 58, 825, 7, 36, 6, 1, 20, 72, 1], [0, 41, 36, 803, 2, 94, 0, 19, 13, 2], [0, 10, 19, 0, 941, 6, 2, 2, 0, 2], [2, 25, 14, 38, 26, 771, 4, 4, 8, 0], [9, 41, 168, 1, 142, 55, 538, 2, 2, 0], [1, 45, 57, 0, 22, 1, 0, 888, 0, 14], [2, 57, 39, 40, 25, 211, 3, 15, 580, 2], [6, 21, 22, 11, 630, 36, 0, 92, 1, 190]]"
7,76.69,0.827557961,0.800736039,0.762251126,0.759242644,29456953,70,99.55947137,83.81782946,92.07920792,91.03869654,77.01793722,63.46555324,77.33463035,43.1211499,64.81665015,"[[686, 1, 15, 32, 6, 228, 1, 3, 2, 6], [0, 1130, 1, 4, 0, 0, 0, 0, 0, 0], [6, 62, 865, 20, 24, 7, 2, 9, 34, 3], [0, 33, 20, 930, 2, 14, 0, 8, 1, 2], [1, 19, 20, 2, 894, 3, 3, 0, 0, 40], [3, 30, 13, 132, 13, 687, 5, 3, 4, 2], [13, 47, 149, 4, 81, 55, 608, 0, 1, 0], [1, 63, 59, 6, 13, 1, 0, 795, 0, 90], [6, 85, 58, 211, 14, 155, 3, 5, 420, 17], [5, 29, 23, 37, 221, 11, 0, 29, 0, 654]]"
8,82.37,0.707462701,0.837185697,0.820589893,0.821558141,33428677,81.42857143,99.030837,86.53100775,92.47524752,91.54786151,77.57847534,72.86012526,76.45914397,76.07802875,66.60059465,"[[798, 1, 17, 17, 6, 122, 2, 1, 13, 3], [0, 1124, 5, 3, 0, 1, 0, 0, 2, 0], [5, 22, 893, 12, 23, 3, 4, 7, 61, 2], [0, 19, 27, 934, 2, 8, 0, 6, 12, 2], [0, 9, 22, 3, 899, 1, 7, 1, 1, 39], [5, 18, 12, 125, 18, 692, 8, 3, 10, 1], [14, 27, 126, 2, 50, 33, 698, 0, 8, 0], [1, 46, 69, 6, 14, 0, 0, 786, 1, 105], [2, 30, 40, 90, 13, 39, 5, 3, 741, 11], [6, 18, 29, 29, 223, 8, 0, 22, 2, 672]]"
9,85.1,0.621092857,0.855370211,0.848599252,0.849540657,36738447,87.34693878,98.6784141,75.67829457,91.18811881,78.20773931,76.9058296,86.0125261,82.6848249,86.96098563,84.93557978,"[[856, 1, 6, 11, 4, 69, 4, 3, 24, 2], [0, 1120, 0, 3, 0, 1, 2, 0, 9, 0], [8, 29, 781, 11, 18, 2, 18, 19, 135, 11], [0, 19, 11, 921, 1, 7, 2, 12, 33, 4], [2, 11, 5, 1, 768, 1, 25, 1, 2, 166], [7, 17, 4, 111, 8, 686, 17, 4, 33, 5], [13, 22, 34, 2, 24, 29, 824, 0, 10, 0], [2, 30, 55, 6, 6, 0, 0, 850, 3, 76], [2, 21, 2, 50, 6, 20, 5, 8, 847, 13], [6, 17, 14, 20, 32, 8, 1, 47, 7, 857]]"
10,85.6,0.574865072,0.864461726,0.853932821,0.853534292,40379194,93.46938776,97.44493392,64.53488372,87.22772277,86.04887984,70.40358744,90.70981211,87.93774319,92.60780287,83.54806739,"[[916, 1, 1, 4, 5, 15, 10, 7, 19, 2], [0, 1106, 0, 3, 0, 2, 2, 0, 22, 0], [9, 14, 666, 11, 21, 1, 46, 23, 230, 11], [1, 13, 8, 881, 1, 8, 2, 24, 66, 6], [0, 4, 1, 0, 845, 0, 32, 2, 1, 97], [13, 13, 1, 86, 16, 628, 33, 12, 79, 11], [14, 7, 18, 1, 25, 13, 869, 1, 10, 0], [3, 22, 41, 1, 11, 0, 0, 904, 4, 42], [2, 5, 1, 17, 9, 9, 8, 12, 902, 9], [8, 9, 7, 8, 62, 4, 1, 56, 11, 843]]"
11,84.21,0.555453169,0.860102455,0.839967672,0.83975379,45343849,90.10204082,97.00440529,57.17054264,86.63366337,77.49490835,68.94618834,91.02296451,87.25680934,94.14784394,90.18830525,"[[883, 1, 1, 8, 4, 25, 10, 10, 32, 6], [0, 1101, 0, 3, 0, 1, 3, 0, 27, 0], [7, 13, 590, 13, 20, 1, 59, 26, 280, 23], [1, 9, 7, 875, 1, 4, 2, 24, 78, 9], [0, 1, 1, 0, 761, 0, 26, 2, 3, 188], [9, 12, 1, 80, 13, 615, 28, 12, 109, 13], [11, 6, 11, 1, 30, 12, 872, 2, 13, 0], [1, 15, 29, 2, 8, 0, 0, 897, 4, 72], [1, 1, 0, 15, 6, 7, 5, 8, 917, 14], [5, 6, 4, 7, 23, 2, 0, 38, 14, 910]]"
12,84.78,0.517572568,0.86250185,0.844598911,0.844375359,48984596,89.79591837,97.62114537,67.53875969,92.67326733,76.98574338,62.33183857,92.79749478,81.71206226,91.17043121,91.97224975,"[[880, 1, 2, 13, 5, 18, 18, 8, 27, 8], [0, 1108, 0, 3, 0, 1, 3, 0, 20, 0], [6, 11, 697, 15, 18, 1, 55, 19, 189, 21], [0, 8, 7, 936, 1, 2, 2, 13, 36, 5], [0, 3, 1, 0, 756, 0, 32, 1, 2, 187], [8, 13, 1, 159, 11, 556, 35, 9, 87, 13], [10, 6, 13, 2, 21, 8, 889, 1, 8, 0], [1, 22, 37, 8, 6, 0, 0, 840, 5, 109], [2, 7, 1, 42, 5, 5, 6, 5, 888, 13], [3, 7, 7, 12, 20, 2, 1, 19, 10, 928]]"
13,87.38,0.468709036,0.878136337,0.871881293,0.871881721,53949251,95,98.76651982,72.48062016,93.16831683,85.74338086,76.23318386,90.81419624,82.6848249,88.09034908,88.89990089,"[[931, 1, 0, 8, 5, 13, 6, 6, 8, 2], [0, 1121, 0, 4, 0, 1, 2, 0, 7, 0], [11, 25, 748, 17, 19, 1, 39, 23, 134, 15], [1, 11, 8, 941, 1, 5, 1, 13, 24, 5], [1, 6, 1, 0, 842, 1, 23, 1, 1, 106], [13, 15, 2, 103, 8, 680, 27, 8, 29, 7], [14, 8, 17, 3, 28, 14, 870, 1, 3, 0], [3, 25, 39, 9, 7, 0, 0, 850, 1, 94], [2, 15, 2, 54, 8, 14, 4, 5, 858, 12], [8, 9, 6, 14, 40, 4, 0, 24, 7, 897]]"
14,87.2,0.462628554,0.873576944,0.87103582,0.87026155,58913906,91.12244898,99.030837,73.4496124,90.89108911,92.66802444,86.43497758,88.2045929,82.78210117,84.29158111,82.160555,"[[893, 1, 0, 4, 5, 60, 4, 6, 5, 2], [0, 1124, 0, 4, 0, 2, 2, 0, 3, 0], [11, 30, 758, 16, 24, 3, 33, 22, 122, 13], [1, 13, 8, 918, 0, 31, 2, 14, 19, 4], [1, 5, 1, 0, 910, 2, 14, 1, 1, 47], [5, 10, 2, 53, 12, 771, 17, 6, 12, 4], [14, 9, 15, 1, 44, 26, 845, 1, 3, 0], [4, 26, 36, 8, 11, 1, 0, 851, 0, 91], [6, 21, 2, 43, 10, 46, 6, 6, 821, 13], [7, 7, 5, 11, 108, 15, 1, 23, 3, 829]]"
15,88.27,0.429348092,0.883719632,0.881854571,0.880810305,63878561,96.2244898,98.6784141,73.54651163,89.10891089,93.17718941,86.65919283,87.8914405,89.20233463,87.78234086,79.58374628,"[[943, 1, 0, 0, 3, 21, 1, 6, 4, 1], [0, 1120, 0, 4, 0, 1, 2, 0, 8, 0], [14, 20, 759, 13, 24, 2, 32, 25, 130, 13], [1, 12, 10, 900, 0, 34, 1, 22, 27, 3], [1, 4, 1, 0, 915, 2, 15, 1, 1, 42], [18, 9, 3, 38, 10, 773, 15, 8, 15, 3], [18, 7, 17, 1, 43, 26, 842, 1, 3, 0], [4, 18, 31, 6, 11, 0, 0, 917, 0, 41], [9, 16, 1, 29, 10, 34, 4, 8, 855, 8], [13, 6, 5, 6, 117, 11, 1, 40, 7, 803]]"
