Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
1,19.37225785,2.478715735,0.053483109,0.166156938,0.080910701,30338328,0,0,0,0,38.51744186,0,0,0,96.85603971,0,47.39915074,"[[0, 0, 0, 0, 135, 0, 0, 0, 211, 0, 690], [0, 0, 0, 0, 575, 0, 0, 0, 105, 0, 104], [0, 0, 0, 0, 577, 0, 0, 0, 107, 0, 109], [0, 0, 0, 0, 448, 0, 0, 0, 264, 0, 73], [0, 0, 0, 0, 795, 0, 0, 0, 478, 0, 791], [0, 0, 0, 0, 973, 0, 0, 0, 284, 0, 708], [0, 0, 0, 0, 1195, 0, 0, 0, 294, 0, 1796], [0, 0, 0, 0, 0, 0, 0, 0, 1718, 0, 29], [0, 0, 0, 0, 0, 0, 0, 0, 1756, 0, 57], [0, 0, 0, 0, 746, 0, 0, 0, 159, 0, 717], [0, 0, 0, 0, 682, 0, 0, 0, 309, 0, 893]]"
2,18.47789403,2.493766157,0.016798085,0.090909091,0.028356489,63010378,0,0,0,0,0,0,100,0,0,0,0,"[[0, 0, 0, 0, 0, 0, 1036, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 784, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 793, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 785, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2064, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1965, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3285, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1747, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1813, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1622, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1884, 0, 0, 0, 0]]"
3,33.05208685,1.905221034,0.272483911,0.2256041,0.150447903,95682426,1.351351351,0,0,0,0,3.20610687,96.71232877,1.431024614,95.91836735,28.79161529,20.7537155,"[[14, 0, 0, 0, 0, 2, 310, 0, 133, 78, 499], [0, 0, 0, 0, 0, 45, 14, 0, 98, 540, 87], [0, 0, 0, 0, 0, 72, 76, 0, 104, 458, 83], [0, 0, 0, 0, 0, 30, 14, 0, 32, 708, 1], [5, 0, 0, 0, 0, 39, 461, 0, 332, 769, 458], [3, 0, 0, 0, 0, 63, 699, 0, 212, 652, 336], [0, 0, 0, 0, 0, 1, 3177, 0, 38, 13, 56], [0, 0, 0, 0, 0, 36, 3, 25, 1663, 4, 16], [0, 0, 0, 0, 0, 1, 34, 0, 1739, 0, 39], [0, 0, 0, 0, 0, 1, 883, 0, 4, 467, 267], [0, 0, 0, 0, 0, 16, 891, 0, 210, 376, 391]]"
4,42.71571605,1.761993396,0.317842963,0.340109617,0.285298984,126020758,11.87258687,0,0,66.62420382,85.41666667,0.050890585,94.64231355,29.19290212,86.32101489,0,0,"[[123, 0, 0, 6, 749, 0, 125, 0, 33, 0, 0], [44, 0, 0, 0, 415, 269, 6, 0, 50, 0, 0], [0, 0, 0, 0, 535, 171, 14, 0, 73, 0, 0], [7, 0, 0, 523, 249, 0, 0, 6, 0, 0, 0], [102, 0, 0, 28, 1763, 0, 42, 3, 126, 0, 0], [42, 0, 0, 21, 1570, 1, 238, 0, 93, 0, 0], [0, 0, 0, 0, 169, 0, 3109, 0, 7, 0, 0], [59, 0, 0, 60, 97, 7, 10, 510, 1004, 0, 0], [1, 0, 0, 0, 116, 0, 131, 0, 1565, 0, 0], [17, 0, 0, 17, 1234, 0, 354, 0, 0, 0, 0], [37, 0, 0, 11, 1424, 2, 320, 0, 90, 0, 0]]"
5,33.17021037,2.706963365,0.315901881,0.238708344,0.188048983,161026525,0.675675676,0,0,0,0,94.91094148,68.43226788,14.99713795,83.56315499,0,0,"[[7, 0, 0, 0, 0, 933, 75, 0, 21, 0, 0], [0, 0, 0, 0, 0, 746, 1, 36, 1, 0, 0], [0, 0, 0, 0, 0, 721, 8, 20, 44, 0, 0], [0, 0, 0, 0, 0, 785, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1966, 5, 47, 46, 0, 0], [0, 0, 0, 0, 0, 1865, 54, 2, 44, 0, 0], [0, 0, 0, 0, 0, 1031, 2248, 0, 6, 0, 0], [0, 0, 0, 0, 0, 1157, 4, 262, 324, 0, 0], [0, 0, 0, 0, 0, 265, 33, 0, 1515, 0, 0], [0, 0, 0, 0, 0, 1562, 60, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1761, 89, 1, 33, 0, 0]]"
6,42.31634605,1.738745895,0.257642487,0.359126849,0.268148186,184363702,0,0,0,97.70700637,0,0,97.59512938,57.35546651,92.93987865,26.1405672,23.3014862,"[[0, 0, 0, 262, 0, 0, 241, 1, 33, 37, 462], [0, 0, 0, 637, 0, 0, 12, 21, 33, 5, 76], [0, 0, 0, 530, 0, 0, 54, 0, 78, 7, 124], [0, 0, 0, 767, 0, 0, 9, 0, 0, 9, 0], [1, 0, 0, 941, 0, 0, 303, 69, 85, 218, 447], [0, 0, 0, 696, 0, 0, 610, 8, 109, 140, 402], [0, 0, 0, 5, 0, 0, 3206, 0, 10, 0, 64], [0, 0, 0, 124, 0, 0, 9, 1002, 590, 0, 22], [0, 0, 0, 10, 0, 0, 56, 8, 1685, 0, 54], [0, 0, 0, 332, 0, 0, 725, 0, 0, 424, 141], [0, 0, 0, 422, 0, 0, 774, 22, 88, 139, 439]]"
7,44.1838227,1.605913256,0.476001291,0.368327175,0.330349819,207700879,1.158301158,0,25.22068096,57.4522293,88.42054264,0,80.3348554,50.3720664,99.55874242,2.589395808,0.053078556,"[[12, 0, 0, 0, 895, 0, 29, 0, 46, 54, 0], [41, 0, 237, 49, 403, 0, 0, 0, 54, 0, 0], [0, 0, 200, 0, 519, 0, 1, 0, 73, 0, 0], [2, 0, 0, 451, 249, 0, 0, 33, 0, 50, 0], [48, 0, 0, 3, 1825, 0, 0, 26, 138, 24, 0], [9, 0, 0, 0, 1785, 0, 25, 0, 121, 25, 0], [0, 0, 0, 0, 537, 0, 2639, 0, 109, 0, 0], [0, 0, 0, 0, 25, 0, 3, 880, 836, 3, 0], [0, 0, 0, 0, 7, 0, 1, 0, 1805, 0, 0], [0, 0, 0, 0, 1537, 0, 40, 0, 3, 42, 0], [23, 0, 0, 4, 1646, 0, 37, 16, 134, 23, 1]]"
8,34.58769265,2.029960067,0.25595514,0.326841653,0.244702183,235705489,0,69.64285714,0,54.64968153,86.04651163,0,51.47640791,97.71036062,0,0,0,"[[0, 48, 0, 0, 942, 0, 1, 45, 0, 0, 0], [0, 546, 0, 1, 171, 0, 0, 66, 0, 0, 0], [0, 501, 0, 0, 228, 0, 0, 64, 0, 0, 0], [0, 113, 0, 429, 216, 0, 0, 27, 0, 0, 0], [0, 87, 0, 28, 1776, 0, 0, 173, 0, 0, 0], [0, 122, 0, 0, 1755, 0, 0, 88, 0, 0, 0], [0, 16, 0, 0, 1524, 0, 1691, 54, 0, 0, 0], [0, 10, 0, 5, 22, 0, 3, 1707, 0, 0, 0], [0, 0, 0, 0, 30, 0, 1, 1782, 0, 0, 0], [0, 24, 0, 8, 1580, 0, 10, 0, 0, 0, 0], [0, 131, 0, 9, 1606, 0, 7, 131, 0, 0, 0]]"
9,44.47069412,1.863090747,0.355814555,0.329574685,0.28285708,259042668,0,0,0,10.82802548,0,96.64122137,92.20700152,90.26903263,72.58687259,0,0,"[[0, 0, 0, 0, 0, 988, 47, 0, 1, 0, 0], [0, 0, 0, 0, 0, 784, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 789, 4, 0, 0, 0, 0], [0, 0, 0, 85, 0, 700, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2062, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1899, 65, 1, 0, 0, 0], [0, 0, 0, 0, 0, 248, 3029, 0, 8, 0, 0], [0, 0, 0, 0, 0, 161, 5, 1577, 4, 0, 0], [0, 0, 0, 0, 0, 173, 95, 229, 1316, 0, 0], [0, 0, 0, 0, 0, 1544, 78, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1776, 99, 9, 0, 0, 0]]"
10,40.73011587,1.681890828,0.386226293,0.384121052,0.32902195,284713562,0,69.13265306,0,35.54140127,92.73255814,0,33.24200913,98.28277046,93.60176503,0,0,"[[0, 20, 0, 0, 973, 0, 0, 41, 2, 0, 0], [0, 542, 0, 0, 226, 0, 0, 16, 0, 0, 0], [0, 497, 0, 0, 267, 0, 0, 29, 0, 0, 0], [0, 18, 0, 279, 403, 0, 0, 85, 0, 0, 0], [0, 45, 0, 0, 1914, 0, 0, 103, 2, 0, 0], [0, 29, 0, 0, 1861, 0, 0, 56, 19, 0, 0], [0, 0, 0, 0, 2062, 0, 1092, 2, 129, 0, 0], [0, 0, 0, 0, 23, 0, 2, 1717, 5, 0, 0], [0, 0, 0, 0, 12, 0, 0, 104, 1697, 0, 0], [0, 16, 0, 3, 1598, 0, 0, 0, 5, 0, 0], [0, 78, 0, 0, 1653, 0, 0, 114, 39, 0, 0]]"
11,50.36562043,1.30872937,0.614102795,0.494246211,0.403859622,319719329,80.5019305,0.12755102,78.9407314,73.75796178,1.308139535,1.933842239,90.0152207,99.19862622,85.71428571,0.431565968,31.74097665,"[[834, 1, 4, 1, 0, 0, 26, 61, 3, 1, 105], [151, 1, 602, 0, 0, 0, 0, 14, 0, 0, 16], [137, 0, 626, 0, 0, 0, 2, 13, 0, 0, 15], [77, 0, 25, 579, 0, 0, 0, 98, 0, 0, 6], [1203, 0, 199, 84, 27, 12, 5, 159, 3, 0, 372], [773, 0, 265, 12, 2, 38, 150, 99, 18, 0, 608], [92, 0, 0, 0, 0, 0, 2957, 15, 106, 0, 115], [9, 0, 0, 0, 0, 0, 4, 1733, 1, 0, 0], [9, 0, 0, 0, 0, 0, 1, 249, 1554, 0, 0], [531, 1, 35, 9, 0, 13, 96, 2, 5, 7, 923], [883, 0, 107, 20, 0, 0, 73, 183, 20, 0, 598]]"
12,44.93193835,1.665423759,0.529517782,0.402487261,0.353011672,345390226,12.74131274,2.551020408,60.5296343,67.6433121,94.28294574,0,80.1217656,25.12879222,99.61389961,0.123304562,0,"[[132, 0, 0, 6, 838, 0, 1, 6, 48, 5, 0], [0, 20, 407, 0, 340, 0, 0, 0, 17, 0, 0], [0, 0, 480, 0, 289, 0, 0, 0, 24, 0, 0], [0, 0, 0, 531, 200, 0, 0, 42, 12, 0, 0], [5, 0, 0, 7, 1946, 0, 1, 18, 74, 13, 0], [0, 0, 4, 2, 1820, 0, 29, 0, 110, 0, 0], [0, 0, 0, 0, 452, 0, 2632, 0, 201, 0, 0], [0, 0, 0, 0, 7, 0, 4, 439, 1297, 0, 0], [0, 0, 0, 0, 5, 0, 2, 0, 1806, 0, 0], [0, 0, 0, 6, 1553, 0, 48, 0, 13, 2, 0], [13, 3, 0, 11, 1583, 0, 39, 11, 224, 0, 0]]"
13,50.75374058,1.440549761,0.683260733,0.450845577,0.443879209,380395995,0.772200772,23.21428571,21.43757881,77.32484076,0,99.33842239,83.80517504,90.7269605,81.24655268,18.06411837,0,"[[8, 0, 0, 0, 0, 911, 5, 0, 0, 112, 0], [0, 182, 6, 0, 0, 592, 0, 0, 0, 4, 0], [0, 7, 170, 0, 0, 615, 0, 0, 0, 1, 0], [0, 0, 0, 607, 0, 176, 0, 2, 0, 0, 0], [0, 0, 0, 27, 0, 1988, 1, 0, 0, 48, 0], [0, 0, 0, 0, 0, 1952, 10, 2, 0, 1, 0], [0, 0, 0, 0, 0, 520, 2753, 0, 8, 4, 0], [0, 0, 0, 16, 0, 127, 5, 1585, 14, 0, 0], [0, 0, 0, 0, 0, 106, 221, 13, 1473, 0, 0], [0, 0, 0, 4, 0, 1306, 19, 0, 0, 293, 0], [0, 0, 0, 12, 0, 1806, 42, 8, 0, 16, 0]]"
14,63.50545618,1.074928046,0.605268437,0.609864386,0.582288392,415401762,60.90733591,28.06122449,72.38335435,84.33121019,33.23643411,60.3562341,99.48249619,93.13108185,95.31163817,43.64981504,0,"[[631, 0, 1, 0, 35, 146, 108, 22, 1, 92, 0], [35, 220, 353, 0, 88, 73, 5, 0, 0, 10, 0], [47, 1, 574, 0, 7, 152, 12, 0, 0, 0, 0], [14, 0, 0, 662, 1, 12, 28, 63, 0, 5, 0], [198, 18, 47, 113, 686, 779, 71, 57, 8, 87, 0], [94, 12, 45, 54, 98, 1186, 395, 20, 12, 49, 0], [2, 0, 0, 0, 0, 4, 3268, 0, 11, 0, 0], [8, 0, 0, 2, 0, 8, 7, 1627, 95, 0, 0], [5, 0, 0, 0, 0, 0, 79, 1, 1728, 0, 0], [40, 1, 0, 17, 44, 344, 463, 0, 5, 708, 0], [259, 36, 4, 38, 86, 844, 391, 62, 29, 135, 0]]"
