Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
1,10.602992462594218,2.3919053523660563,0.10054414532362327,0.09095313601127554,0.017511519292645904,30338328,0.0,0.0,0.0,0.0,0.04844961240310078,0.0,0.0,0.0,0.0,0.0,100.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1036], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 784], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 793], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2063], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3285], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1746], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1813], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1884]]"
2,11.429857126785915,2.3715594337998533,0.08699091959812161,0.09511467530385363,0.0362566418077442,63010378,0.0,0.0,0.0,0.0,34.30232558139535,0.0,0.0,0.0,1.26861555432984,0.0,69.0552016985138,"[[0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 811], [0, 0, 0, 0, 501, 0, 0, 0, 0, 0, 283], [0, 0, 0, 0, 547, 0, 0, 0, 0, 0, 246], [0, 0, 0, 0, 371, 0, 0, 0, 0, 0, 414], [0, 0, 0, 0, 708, 0, 0, 0, 0, 0, 1356], [0, 0, 0, 0, 817, 0, 0, 0, 0, 0, 1148], [0, 0, 0, 0, 902, 0, 0, 0, 0, 0, 2383], [0, 0, 0, 0, 20, 0, 0, 0, 7, 0, 1720], [0, 0, 0, 0, 8, 0, 0, 0, 23, 0, 1782], [0, 0, 0, 0, 618, 0, 0, 0, 0, 0, 1004], [0, 0, 0, 0, 581, 0, 0, 0, 2, 0, 1301]]"
3,26.358420519743504,2.325433833564786,0.1074092715401576,0.16238835490393425,0.11463733460247649,95682426,0.0,0.0,0.0,0.0,19.137596899224807,0.0,94.73363774733637,0.0,57.74958632101489,0.0,7.006369426751593,"[[0, 0, 0, 0, 276, 0, 505, 0, 4, 0, 251], [0, 0, 0, 0, 529, 0, 151, 0, 44, 0, 60], [0, 0, 0, 0, 549, 0, 105, 0, 44, 0, 95], [0, 0, 0, 0, 183, 0, 602, 0, 0, 0, 0], [0, 0, 0, 0, 395, 0, 1514, 0, 60, 0, 95], [0, 0, 0, 0, 512, 0, 1339, 0, 17, 0, 97], [0, 0, 0, 0, 173, 0, 3112, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1282, 0, 398, 0, 67], [0, 0, 0, 0, 0, 0, 727, 0, 1047, 0, 39], [0, 0, 0, 0, 197, 0, 1408, 0, 0, 0, 17], [0, 0, 0, 0, 412, 0, 1335, 0, 5, 0, 132]]"
4,18.47789402632467,2.263500699465223,0.016798085478476974,0.09090909090909091,0.02835648897463454,126020758,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[[0, 0, 0, 0, 0, 0, 1036, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 784, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 793, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 785, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2064, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1965, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3285, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1747, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1813, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1622, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1884, 0, 0, 0, 0]]"
5,18.47789402632467,2.2253220385784727,0.01687497110450153,0.09090909090909091,0.028465957833987574,161026525,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[[0, 0, 0, 0, 0, 0, 1036, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 759, 0, 25, 0, 0], [0, 0, 0, 0, 0, 0, 755, 0, 38, 0, 0], [0, 0, 0, 0, 0, 0, 785, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2046, 0, 18, 0, 0], [0, 0, 0, 0, 0, 0, 1965, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3285, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1747, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1813, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1622, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1884, 0, 0, 0, 0]]"
6,21.920350995612555,2.302237630962468,0.07657850364750413,0.12143752187372688,0.07212297378264272,184363702,0.0,0.0,0.0,0.0,0.0,2.0865139949109412,100.0,0.0,31.494760066188636,0.0,0.0,"[[0, 0, 0, 0, 0, 26, 1007, 0, 3, 0, 0], [0, 0, 0, 0, 0, 33, 703, 0, 48, 0, 0], [0, 0, 0, 0, 0, 0, 730, 0, 63, 0, 0], [0, 0, 0, 0, 0, 271, 514, 0, 0, 0, 0], [0, 0, 0, 0, 0, 96, 1909, 0, 59, 0, 0], [0, 0, 0, 0, 0, 41, 1891, 0, 33, 0, 0], [0, 0, 0, 0, 0, 0, 3285, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1129, 460, 0, 158, 0, 0], [0, 0, 0, 0, 0, 83, 1159, 0, 571, 0, 0], [0, 0, 0, 0, 0, 5, 1617, 0, 0, 0, 0], [0, 0, 0, 0, 0, 79, 1790, 0, 15, 0, 0]]"
7,29.62650466869164,2.2522377093061268,0.08332763832918384,0.19478920933933555,0.1160602948450571,207700879,0.0,0.0,0.0,0.0,0.0,32.97709923664122,90.50228310502283,0.0,90.78874793160507,0.0,0.0,"[[0, 0, 0, 0, 0, 496, 483, 0, 57, 0, 0], [0, 0, 0, 46, 0, 158, 492, 0, 88, 0, 0], [0, 0, 0, 0, 0, 61, 646, 0, 86, 0, 0], [0, 0, 0, 0, 0, 715, 70, 0, 0, 0, 0], [0, 0, 0, 0, 0, 814, 1057, 0, 193, 0, 0], [0, 0, 0, 0, 0, 648, 1185, 0, 132, 0, 0], [0, 0, 0, 0, 0, 292, 2973, 0, 20, 0, 0], [0, 0, 0, 0, 0, 513, 3, 0, 1231, 0, 0], [0, 0, 0, 0, 0, 155, 12, 0, 1646, 0, 0], [0, 0, 0, 0, 0, 632, 990, 0, 0, 0, 0], [0, 0, 0, 0, 0, 558, 1220, 0, 106, 0, 0]]"
8,35.05456181797727,2.185152056191465,0.21472574919359982,0.31188885529155363,0.23299434479990053,235705489,0.0,0.0,0.0,69.93630573248407,0.0,69.61832061068702,45.35768645357686,64.45334859759588,93.71207942636514,0.0,0.0,"[[0, 0, 0, 10, 0, 823, 85, 19, 99, 0, 0], [0, 0, 0, 501, 0, 185, 1, 16, 81, 0, 0], [0, 0, 0, 465, 0, 161, 60, 0, 107, 0, 0], [0, 0, 0, 549, 0, 156, 0, 80, 0, 0, 0], [0, 0, 0, 138, 0, 1535, 33, 124, 234, 0, 0], [0, 0, 0, 75, 0, 1368, 288, 46, 188, 0, 0], [0, 0, 0, 0, 0, 1718, 1490, 18, 59, 0, 0], [0, 0, 0, 0, 0, 34, 0, 1126, 587, 0, 0], [0, 0, 0, 0, 0, 71, 0, 43, 1699, 0, 0], [0, 0, 0, 42, 0, 1485, 93, 1, 1, 0, 0], [0, 0, 0, 83, 0, 1399, 162, 125, 115, 0, 0]]"
9,27.54528068399145,2.2939002074354846,0.21016060195312303,0.2666370680651314,0.17795759114118798,259042668,0.0,0.0,0.0,63.94904458598726,0.0,65.29262086513995,13.698630136986301,97.02346880366342,53.33701047986762,0.0,0.0,"[[0, 0, 0, 14, 0, 664, 31, 323, 4, 0, 0], [0, 0, 0, 496, 0, 151, 0, 137, 0, 0, 0], [0, 0, 0, 456, 0, 191, 9, 120, 17, 0, 0], [0, 0, 0, 502, 0, 45, 0, 238, 0, 0, 0], [0, 0, 0, 251, 0, 1163, 0, 638, 12, 0, 0], [0, 0, 0, 119, 0, 1283, 83, 460, 20, 0, 0], [0, 0, 0, 0, 0, 2276, 450, 554, 5, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1695, 52, 0, 0], [0, 0, 0, 0, 0, 5, 0, 841, 967, 0, 0], [0, 0, 0, 59, 0, 1309, 25, 229, 0, 0, 0], [0, 0, 0, 110, 1, 1195, 23, 544, 11, 0, 0]]"
10,27.86027674654067,2.3710175746207613,0.24711972637165538,0.2436362076747333,0.16779007106921637,284713562,0.0,0.0,0.0,56.94267515923567,36.38565891472868,32.41730279898219,41.0958904109589,100.0,1.1583011583011582,0.0,0.0,"[[0, 0, 0, 4, 342, 204, 72, 413, 1, 0, 0], [0, 0, 0, 423, 120, 66, 0, 175, 0, 0, 0], [0, 0, 0, 343, 215, 30, 15, 190, 0, 0, 0], [0, 0, 0, 447, 8, 35, 0, 295, 0, 0, 0], [0, 0, 0, 175, 751, 333, 1, 804, 0, 0, 0], [0, 0, 0, 68, 384, 637, 130, 746, 0, 0, 0], [0, 0, 0, 0, 182, 785, 1350, 968, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1747, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1792, 21, 0, 0], [0, 0, 0, 34, 251, 824, 51, 462, 0, 0, 0], [0, 0, 0, 42, 518, 493, 56, 775, 0, 0, 0]]"
