Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
1,13.572955338058275,2.3726697499803504,0.09625783664258841,0.11455921886387213,0.06748744196183712,30334584,0.0,0.0,0.0,0.0,31.1046511627907,0.0,0.0,0.0,24.10369553226696,0.0,70.80679405520169,"[[0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 928], [0, 0, 0, 0, 551, 0, 0, 0, 0, 0, 233], [0, 0, 0, 0, 558, 0, 0, 0, 0, 0, 235], [0, 0, 0, 0, 388, 0, 0, 0, 0, 0, 397], [0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 1422], [0, 0, 0, 0, 816, 0, 0, 0, 0, 0, 1149], [0, 0, 0, 0, 846, 0, 0, 0, 0, 0, 2439], [0, 0, 0, 0, 3, 0, 0, 0, 94, 0, 1650], [0, 0, 0, 0, 0, 0, 0, 0, 437, 0, 1376], [0, 0, 0, 0, 628, 0, 0, 0, 0, 0, 994], [0, 0, 0, 0, 550, 0, 0, 0, 0, 0, 1334]]"
2,20.390370120373497,2.252824546621858,0.07725030329952602,0.10695253413930882,0.054405896337541955,63002602,0.0,0.0,0.0,0.0,9.593023255813954,0.0,99.72602739726028,0.0,8.328736900165472,0.0,0.0,"[[0, 0, 0, 0, 304, 0, 732, 0, 0, 0, 0], [0, 0, 0, 0, 123, 0, 622, 0, 39, 0, 0], [0, 0, 0, 0, 84, 0, 657, 0, 52, 0, 0], [0, 0, 0, 0, 9, 0, 776, 0, 0, 0, 0], [0, 0, 0, 0, 198, 0, 1821, 0, 45, 0, 0], [0, 0, 0, 0, 235, 0, 1720, 0, 10, 0, 0], [0, 0, 0, 0, 9, 0, 3276, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1733, 0, 14, 0, 0], [0, 0, 0, 0, 0, 0, 1662, 0, 151, 0, 0], [0, 0, 0, 0, 67, 0, 1555, 0, 0, 0, 0], [0, 0, 0, 0, 176, 0, 1707, 0, 1, 0, 0]]"
3,18.47789402632467,2.174292339052228,0.01680659371018986,0.09090909090909091,0.028368610585766472,95670618,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[[0, 0, 0, 0, 0, 0, 1036, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 784, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 793, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 785, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2055, 0, 9, 0, 0], [0, 0, 0, 0, 0, 0, 1965, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3285, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1747, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1813, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1622, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1884, 0, 0, 0, 0]]"
4,23.034087073911575,2.051405541116385,0.2637819015539556,0.14046984864417816,0.10082713307767466,126005206,0.4826254826254826,0.0,0.0,18.21656050955414,5.135658914728682,0.0,100.0,0.40068689181453926,30.281301709873137,0.0,0.0,"[[5, 0, 0, 0, 136, 0, 887, 0, 8, 0, 0], [19, 0, 0, 0, 358, 0, 354, 0, 53, 0, 0], [0, 0, 0, 0, 254, 0, 476, 0, 63, 0, 0], [0, 0, 0, 143, 262, 11, 369, 0, 0, 0, 0], [2, 0, 0, 0, 106, 22, 1847, 0, 87, 0, 0], [4, 0, 0, 0, 68, 0, 1841, 0, 52, 0, 0], [0, 0, 0, 0, 0, 0, 3285, 0, 0, 0, 0], [0, 0, 0, 0, 0, 77, 1282, 7, 381, 0, 0], [0, 0, 0, 0, 0, 0, 1264, 0, 549, 0, 0], [0, 0, 0, 2, 14, 0, 1606, 0, 0, 0, 0], [0, 0, 0, 0, 86, 5, 1757, 0, 36, 0, 0]]"
5,33.6089548880639,1.9951166311185138,0.1210433145641335,0.2295541115188267,0.14992210012166174,161006653,0.0,0.0,0.0,0.0,0.0,76.53944020356234,87.00152207001523,0.0,88.96856039713182,0.0,0.0,"[[0, 0, 0, 0, 0, 837, 143, 0, 56, 0, 0], [0, 0, 0, 0, 0, 705, 7, 0, 72, 0, 0], [0, 0, 0, 0, 0, 677, 33, 0, 83, 0, 0], [0, 0, 0, 0, 0, 785, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1813, 99, 0, 152, 0, 0], [0, 0, 0, 0, 0, 1504, 345, 0, 116, 0, 0], [0, 0, 0, 0, 0, 416, 2858, 0, 11, 0, 0], [0, 0, 0, 0, 0, 646, 3, 0, 1098, 0, 0], [0, 0, 0, 0, 0, 198, 2, 0, 1613, 0, 0], [0, 0, 0, 0, 0, 1328, 294, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1474, 315, 0, 95, 0, 0]]"
6,42.395095061311736,1.848128522042748,0.2541030094109012,0.3650722773008043,0.28057370443448176,184340950,0.0,0.0,0.0,90.19108280254777,0.0,74.80916030534351,75.82952815829528,70.29192902117917,90.45780474351903,0.0,0.0,"[[0, 0, 0, 21, 0, 833, 129, 3, 50, 0, 0], [0, 0, 0, 388, 0, 303, 5, 23, 65, 0, 0], [0, 0, 0, 290, 0, 390, 29, 0, 84, 0, 0], [0, 0, 0, 708, 0, 65, 0, 12, 0, 0, 0], [0, 0, 0, 181, 0, 1619, 59, 82, 123, 0, 0], [0, 0, 0, 118, 0, 1470, 246, 24, 107, 0, 0], [0, 0, 0, 0, 0, 782, 2491, 0, 12, 0, 0], [0, 0, 0, 43, 0, 75, 3, 1228, 398, 0, 0], [0, 0, 0, 0, 0, 158, 1, 14, 1640, 0, 0], [0, 0, 0, 50, 0, 1438, 134, 0, 0, 0, 0], [0, 0, 0, 90, 0, 1461, 208, 55, 70, 0, 0]]"
7,44.27382157723029,1.68649941618494,0.30773359975295356,0.3713397947834792,0.28418345403003514,207675247,1.2548262548262548,0.0,0.0,86.49681528662421,47.189922480620154,0.0,92.1765601217656,33.42873497424156,99.11748483177054,47.16399506781751,1.645435244161359,"[[13, 0, 0, 0, 437, 0, 301, 0, 110, 134, 41], [5, 0, 0, 402, 94, 0, 13, 5, 94, 159, 12], [0, 0, 0, 417, 209, 0, 57, 0, 106, 4, 0], [0, 0, 0, 679, 26, 0, 2, 37, 0, 41, 0], [12, 0, 0, 130, 974, 0, 184, 48, 275, 428, 13], [9, 0, 0, 74, 736, 0, 619, 0, 219, 292, 16], [1, 0, 0, 1, 113, 0, 3028, 0, 124, 3, 15], [0, 0, 0, 14, 16, 0, 3, 584, 1126, 4, 0], [1, 0, 0, 1, 5, 0, 3, 0, 1797, 1, 5], [0, 0, 0, 13, 224, 0, 606, 0, 4, 765, 10], [0, 0, 0, 98, 817, 0, 511, 34, 184, 209, 31]]"
8,35.27393407582405,1.8388608857024489,0.2618168043171631,0.2969657112052822,0.19714258473993837,235676401,0.0,0.12755102040816327,0.0,76.56050955414014,84.01162790697676,0.0,67.33637747336377,98.62621637092158,0.0,0.0,0.0,"[[0, 0, 0, 4, 877, 0, 71, 84, 0, 0, 0], [0, 1, 0, 368, 317, 0, 0, 98, 0, 0, 0], [0, 0, 0, 281, 418, 0, 5, 89, 0, 0, 0], [0, 0, 0, 601, 113, 0, 0, 71, 0, 0, 0], [0, 0, 0, 32, 1734, 0, 2, 296, 0, 0, 0], [0, 0, 0, 26, 1651, 0, 96, 192, 0, 0, 0], [0, 0, 0, 0, 977, 0, 2212, 96, 0, 0, 0], [0, 0, 0, 2, 19, 0, 3, 1723, 0, 0, 0], [0, 0, 0, 0, 20, 0, 2, 1791, 0, 0, 0], [0, 0, 0, 14, 1555, 0, 49, 4, 0, 0, 0], [0, 0, 0, 46, 1560, 0, 58, 220, 0, 0, 0]]"
9,40.80886488918888,1.7394480021308651,0.31139064710552544,0.30456805861126285,0.25388223198338955,259010700,0.0,0.0,0.0,18.08917197452229,0.0,75.87786259541984,89.3455098934551,96.27933600457928,55.432984004412575,0.0,0.0,"[[0, 0, 0, 0, 0, 810, 201, 23, 2, 0, 0], [0, 0, 0, 0, 0, 709, 4, 71, 0, 0, 0], [0, 0, 0, 0, 0, 674, 57, 62, 0, 0, 0], [0, 0, 0, 142, 0, 630, 0, 13, 0, 0, 0], [0, 0, 0, 0, 0, 1798, 131, 131, 4, 0, 0], [0, 0, 0, 0, 0, 1491, 398, 68, 8, 0, 0], [0, 0, 0, 0, 0, 343, 2935, 0, 7, 0, 0], [0, 0, 0, 0, 0, 60, 5, 1682, 0, 0, 0], [0, 0, 0, 0, 0, 133, 79, 596, 1005, 0, 0], [0, 0, 0, 0, 0, 1415, 207, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1464, 320, 100, 0, 0, 0]]"
10,47.20440994487569,1.590226570157696,0.39482129647527037,0.39468642071135385,0.34027543209485767,284678426,0.0,57.525510204081634,0.0,23.439490445859875,88.66279069767442,1.6793893129770994,81.06544901065449,98.05380652547224,83.72862658576943,0.0,0.0,"[[0, 3, 0, 0, 921, 0, 63, 36, 13, 0, 0], [0, 451, 0, 0, 246, 2, 0, 85, 0, 0, 0], [0, 406, 0, 0, 297, 2, 15, 63, 10, 0, 0], [0, 72, 0, 184, 474, 0, 0, 55, 0, 0, 0], [0, 6, 0, 0, 1830, 3, 11, 191, 23, 0, 0], [0, 4, 0, 0, 1576, 33, 233, 91, 28, 0, 0], [0, 0, 0, 0, 575, 21, 2663, 2, 24, 0, 0], [0, 1, 0, 0, 28, 1, 4, 1713, 0, 0, 0], [0, 0, 0, 0, 33, 0, 15, 247, 1518, 0, 0], [0, 1, 0, 0, 1543, 11, 67, 0, 0, 0, 0], [0, 28, 0, 0, 1520, 56, 131, 146, 3, 0, 0]]"
