Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
1,10.59736753,2.383494911,0.00963397,0.090909091,0.017421699,30338672,0,0,0,0,0,0,0,0,0,0,100,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1036], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 784], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 793], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2064], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3285], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1747], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1813], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1884]]"
2,15.40668242,2.288600057,0.081264916,0.187417549,0.099591994,63011088,0,60.58673469,0,33.12101911,12.45155039,0,0,100,0,0,0,"[[0, 1, 0, 1, 125, 0, 0, 909, 0, 0, 0], [0, 475, 0, 37, 29, 0, 0, 243, 0, 0, 0], [0, 361, 0, 156, 65, 0, 0, 211, 0, 0, 0], [0, 2, 0, 260, 0, 0, 0, 523, 0, 0, 0], [0, 5, 0, 273, 257, 0, 0, 1529, 0, 0, 0], [0, 41, 0, 244, 306, 0, 0, 1374, 0, 0, 0], [0, 3, 0, 340, 287, 0, 0, 2655, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1747, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1813, 0, 0, 0], [0, 66, 0, 187, 236, 0, 0, 1133, 0, 0, 0], [0, 142, 0, 93, 222, 0, 0, 1427, 0, 0, 0]]"
3,27.70840364,2.001523996,0.058836836,0.17364298,0.086342089,95683504,0,0,0,0,0,0,99.39117199,0,91.6161059,0,0,"[[0, 0, 0, 0, 0, 0, 908, 0, 128, 0, 0], [0, 0, 0, 0, 0, 0, 691, 0, 93, 0, 0], [0, 0, 0, 0, 0, 0, 702, 0, 91, 0, 0], [0, 0, 0, 0, 0, 0, 770, 0, 15, 0, 0], [0, 0, 0, 0, 0, 0, 1789, 0, 275, 0, 0], [0, 0, 0, 0, 0, 0, 1797, 0, 168, 0, 0], [0, 0, 0, 0, 0, 0, 3265, 0, 20, 0, 0], [0, 0, 0, 0, 0, 0, 309, 0, 1438, 0, 0], [0, 0, 0, 0, 0, 0, 152, 0, 1661, 0, 0], [0, 0, 0, 0, 0, 0, 1612, 0, 10, 0, 0], [0, 0, 0, 0, 0, 0, 1724, 0, 160, 0, 0]]"
4,31.08898639,1.917384816,0.32226356,0.341621436,0.262227123,126022176,67.08494208,0,62.67339218,21.14649682,65.60077519,0,0,98.56897539,56.70159956,4.007398274,0,"[[695, 0, 3, 0, 253, 0, 0, 79, 1, 5, 0], [101, 0, 515, 0, 93, 0, 0, 75, 0, 0, 0], [126, 0, 497, 0, 124, 0, 0, 46, 0, 0, 0], [22, 0, 61, 166, 322, 0, 0, 208, 0, 6, 0], [335, 0, 48, 6, 1354, 1, 0, 301, 3, 16, 0], [320, 0, 80, 5, 1355, 0, 0, 147, 11, 47, 0], [251, 0, 32, 0, 2951, 0, 0, 37, 5, 9, 0], [20, 0, 0, 0, 2, 1, 0, 1722, 0, 2, 0], [194, 0, 0, 0, 2, 0, 0, 589, 1028, 0, 0], [290, 0, 23, 4, 1211, 0, 0, 29, 0, 65, 0], [266, 0, 96, 2, 1267, 1, 1, 228, 0, 23, 0]]"
5,36.37642029,1.799934626,0.248501172,0.289805817,0.208204372,161028336,66.7953668,0,0,0,0,68.70229008,75.34246575,11.50543789,95.69773855,0,0.743099788,"[[692, 0, 0, 0, 0, 181, 90, 0, 71, 0, 2], [70, 0, 0, 0, 0, 615, 8, 0, 91, 0, 0], [84, 0, 0, 0, 0, 597, 23, 0, 88, 0, 1], [0, 0, 0, 0, 0, 755, 0, 22, 8, 0, 0], [290, 0, 0, 0, 0, 1380, 116, 3, 264, 0, 11], [198, 0, 0, 0, 0, 1350, 236, 1, 160, 0, 20], [41, 0, 0, 0, 0, 724, 2475, 0, 45, 0, 0], [0, 0, 0, 0, 0, 64, 3, 201, 1479, 0, 0], [46, 0, 0, 0, 0, 31, 1, 0, 1735, 0, 0], [165, 0, 0, 0, 0, 1159, 274, 0, 5, 0, 19], [213, 0, 0, 0, 0, 1214, 258, 12, 173, 0, 14]]"
6,32.18022275,1.987796277,0.296930569,0.280307506,0.173066419,184365776,0,0,0,92.86624204,0.145348837,0,77.07762557,97.25243274,0,5.487053021,35.50955414,"[[0, 0, 0, 72, 0, 0, 50, 60, 0, 14, 840], [0, 0, 0, 594, 0, 0, 3, 93, 0, 0, 94], [0, 0, 0, 565, 0, 0, 3, 71, 0, 0, 154], [0, 0, 0, 729, 0, 0, 0, 56, 0, 0, 0], [0, 0, 0, 1092, 3, 0, 22, 245, 0, 13, 689], [0, 0, 0, 1088, 0, 0, 109, 134, 0, 2, 632], [0, 0, 0, 435, 0, 0, 2532, 35, 0, 0, 283], [0, 0, 0, 41, 0, 0, 3, 1699, 0, 0, 4], [0, 0, 0, 18, 0, 0, 0, 1719, 0, 0, 76], [0, 0, 0, 743, 0, 0, 165, 0, 0, 89, 625], [0, 0, 0, 917, 0, 0, 121, 176, 0, 1, 669]]"
7,25.62155473,2.3021074,0.240534273,0.27346906,0.197215619,207703216,39.18918919,0,58.0075662,20.63694268,83.47868217,0,0,0,99.50358522,0,0,"[[406, 0, 0, 0, 549, 0, 0, 0, 81, 0, 0], [25, 0, 436, 0, 237, 0, 0, 0, 86, 0, 0], [18, 0, 460, 0, 225, 0, 0, 0, 90, 0, 0], [0, 0, 29, 162, 540, 0, 0, 0, 54, 0, 0], [46, 0, 10, 0, 1723, 0, 0, 0, 285, 0, 0], [66, 0, 11, 0, 1704, 0, 0, 0, 184, 0, 0], [0, 0, 0, 0, 3160, 0, 0, 0, 125, 0, 0], [0, 0, 0, 3, 27, 0, 0, 0, 1717, 0, 0], [1, 0, 0, 0, 8, 0, 0, 0, 1804, 0, 0], [42, 0, 0, 0, 1573, 0, 0, 0, 7, 0, 0], [28, 0, 9, 0, 1638, 0, 0, 0, 209, 0, 0]]"
8,16.91416357,2.320244073,0.247095715,0.203586807,0.098761466,235708144,14.57528958,0.12755102,0,89.8089172,3.682170543,16.5394402,1.03500761,98.05380653,0,0.123304562,0,"[[151, 1, 0, 122, 238, 162, 0, 339, 0, 23, 0], [0, 1, 0, 636, 1, 16, 0, 130, 0, 0, 0], [4, 0, 0, 554, 14, 110, 0, 111, 0, 0, 0], [0, 0, 0, 705, 0, 1, 0, 79, 0, 0, 0], [0, 0, 0, 1202, 76, 331, 0, 452, 0, 3, 0], [0, 10, 0, 1274, 51, 325, 0, 304, 0, 1, 0], [0, 0, 0, 847, 114, 2143, 34, 147, 0, 0, 0], [0, 0, 0, 34, 0, 0, 0, 1713, 0, 0, 0], [0, 0, 0, 36, 0, 3, 0, 1774, 0, 0, 0], [0, 1, 0, 1253, 10, 207, 0, 149, 0, 2, 0], [3, 0, 0, 1116, 45, 367, 0, 348, 0, 5, 0]]"
9,54.66306671,1.372053851,0.551422647,0.479813688,0.433364964,259045584,61.38996139,63.39285714,4.287515763,16.05095541,66.8120155,2.442748092,97.32115677,93.01659989,94.04302261,29.03822441,0,"[[636, 0, 0, 0, 139, 6, 54, 18, 11, 172, 0], [84, 497, 0, 0, 74, 22, 5, 0, 29, 73, 0], [60, 455, 34, 0, 135, 6, 47, 0, 55, 1, 0], [0, 37, 0, 126, 287, 258, 2, 38, 0, 37, 0], [108, 15, 0, 0, 1379, 68, 195, 58, 65, 175, 1], [151, 30, 0, 0, 667, 48, 850, 21, 55, 142, 1], [1, 0, 0, 0, 76, 1, 3197, 0, 9, 1, 0], [0, 0, 0, 0, 18, 22, 9, 1625, 66, 7, 0], [2, 0, 0, 0, 16, 2, 41, 47, 1705, 0, 0], [97, 2, 0, 0, 601, 5, 446, 0, 0, 471, 0], [166, 58, 0, 0, 891, 55, 515, 62, 33, 104, 0]]"
10,52.22747216,1.373737537,0.507504116,0.453482981,0.412714309,284716768,31.37065637,67.34693878,0,19.10828025,81.92829457,22.23918575,81.58295282,94.96279336,98.56591285,1.726263872,0,"[[325, 0, 0, 0, 553, 13, 9, 54, 22, 60, 0], [7, 528, 0, 0, 156, 6, 0, 34, 48, 5, 0], [0, 485, 0, 0, 220, 2, 6, 0, 80, 0, 0], [0, 29, 0, 150, 397, 120, 0, 89, 0, 0, 0], [4, 17, 0, 0, 1691, 84, 11, 152, 89, 16, 0], [10, 33, 0, 0, 1066, 437, 256, 62, 97, 4, 0], [0, 0, 0, 0, 507, 19, 2680, 9, 70, 0, 0], [0, 0, 0, 0, 18, 5, 5, 1659, 60, 0, 0], [0, 0, 0, 0, 6, 0, 1, 19, 1787, 0, 0], [8, 9, 0, 0, 1407, 106, 59, 0, 5, 28, 0], [43, 79, 0, 0, 1299, 110, 133, 159, 57, 4, 0]]"
