Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
1,10.59736753,2.388364735,0.00963397,0.090909091,0.017421699,60660886,0,0,0,0,0,0,0,0,0,0,100,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1036], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 784], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 793], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2064], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3285], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1747], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1813], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1884]]"
2,19.1360108,2.275807977,0.108868746,0.217623095,0.128557381,125987994,0,59.69387755,0,35.79617834,43.89534884,0,0,100,0,0,0,"[[0, 3, 0, 1, 353, 0, 0, 679, 0, 0, 0], [0, 468, 0, 10, 112, 0, 0, 194, 0, 0, 0], [0, 435, 0, 46, 130, 0, 0, 182, 0, 0, 0], [0, 27, 0, 281, 34, 0, 0, 443, 0, 0, 0], [0, 29, 0, 89, 906, 0, 0, 1040, 0, 0, 0], [0, 21, 0, 121, 879, 0, 0, 944, 0, 0, 0], [0, 24, 0, 28, 1530, 0, 0, 1703, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1747, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1813, 0, 0, 0], [0, 39, 0, 14, 733, 0, 0, 836, 0, 0, 0], [0, 74, 0, 36, 808, 0, 0, 966, 0, 0, 0]]"
3,27.46653167,2.019368355,0.060321817,0.171149801,0.087009426,191315102,0,0,0,0,0,0,99.847793,0,88.41698842,0,0,"[[0, 0, 0, 0, 0, 0, 961, 0, 75, 0, 0], [0, 0, 0, 0, 0, 0, 691, 0, 93, 0, 0], [0, 0, 0, 0, 0, 0, 713, 0, 80, 0, 0], [0, 0, 0, 0, 0, 0, 772, 0, 13, 0, 0], [0, 0, 0, 0, 0, 0, 1852, 0, 212, 0, 0], [0, 0, 0, 0, 0, 0, 1836, 0, 129, 0, 0], [0, 0, 0, 0, 0, 0, 3280, 0, 5, 0, 0], [0, 0, 0, 0, 0, 0, 362, 0, 1385, 0, 0], [0, 0, 0, 0, 0, 0, 210, 0, 1603, 0, 0], [0, 0, 0, 0, 0, 0, 1622, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1752, 0, 132, 0, 0]]"
4,27.2077849,1.977272005,0.311727089,0.316941198,0.225370688,251975988,71.91119691,0,71.75283733,20.38216561,37.25775194,0,0,98.11104751,42.74682846,6.473489519,0,"[[745, 0, 57, 0, 184, 0, 0, 42, 0, 8, 0], [122, 0, 585, 0, 14, 0, 0, 63, 0, 0, 0], [142, 0, 569, 0, 36, 0, 0, 46, 0, 0, 0], [66, 0, 357, 160, 28, 0, 0, 174, 0, 0, 0], [506, 0, 558, 1, 769, 2, 0, 219, 1, 8, 0], [498, 0, 897, 6, 453, 0, 0, 70, 2, 39, 0], [401, 0, 281, 0, 2583, 0, 0, 0, 3, 17, 0], [30, 0, 0, 2, 0, 0, 0, 1714, 0, 1, 0], [263, 0, 0, 0, 0, 0, 0, 775, 775, 0, 0], [357, 0, 535, 8, 616, 0, 0, 1, 0, 105, 0], [375, 0, 564, 0, 738, 3, 0, 183, 0, 21, 0]]"
5,34.88581393,1.802227795,0.266953293,0.268093009,0.200197426,321969498,42.18146718,0,0,0,0,74.96183206,72.87671233,6.92615913,96.46993933,0,1.486199575,"[[437, 0, 0, 0, 0, 259, 202, 0, 111, 0, 27], [23, 0, 0, 0, 0, 652, 10, 0, 99, 0, 0], [43, 0, 0, 0, 0, 619, 23, 0, 103, 0, 5], [0, 0, 0, 0, 0, 757, 0, 22, 6, 0, 0], [44, 0, 0, 0, 0, 1530, 194, 1, 295, 0, 0], [48, 0, 0, 0, 0, 1473, 237, 0, 196, 0, 11], [0, 0, 0, 0, 0, 845, 2394, 0, 46, 0, 0], [0, 0, 0, 0, 0, 66, 3, 121, 1557, 0, 0], [0, 0, 0, 0, 0, 57, 7, 0, 1749, 0, 0], [10, 0, 0, 0, 0, 1210, 345, 0, 7, 0, 50], [33, 0, 0, 0, 0, 1327, 296, 6, 194, 0, 28]]"
6,33.96332546,2.091922894,0.212000468,0.298930535,0.19657188,368631838,0,0,0,93.75796178,0,0,75.55555556,97.19519176,0,19.85203453,42.46284501,"[[0, 0, 0, 67, 0, 0, 42, 55, 0, 20, 852], [0, 0, 0, 592, 0, 0, 0, 95, 0, 1, 96], [0, 0, 0, 554, 0, 0, 2, 74, 0, 0, 163], [0, 0, 0, 736, 0, 0, 0, 48, 0, 1, 0], [0, 0, 0, 976, 0, 0, 17, 234, 0, 24, 813], [0, 0, 0, 978, 0, 0, 64, 154, 0, 10, 759], [0, 0, 0, 252, 0, 0, 2482, 39, 0, 24, 488], [0, 0, 0, 39, 0, 0, 3, 1698, 0, 0, 7], [0, 0, 0, 10, 0, 0, 0, 1726, 0, 0, 77], [0, 0, 0, 571, 0, 0, 147, 0, 0, 322, 582], [0, 0, 0, 788, 0, 0, 98, 178, 0, 20, 800]]"
7,25.29530881,2.273895923,0.232363842,0.271226209,0.195425773,415294178,27.99227799,0,59.39470366,28.78980892,82.55813953,0,0,0,99.61389961,0,0,"[[290, 0, 0, 0, 649, 0, 0, 0, 97, 0, 0], [30, 0, 455, 0, 212, 0, 0, 0, 87, 0, 0], [20, 0, 471, 0, 212, 0, 0, 0, 90, 0, 0], [0, 0, 43, 226, 462, 0, 0, 0, 54, 0, 0], [46, 0, 19, 0, 1704, 0, 0, 0, 295, 0, 0], [51, 0, 16, 0, 1722, 0, 0, 0, 176, 0, 0], [0, 0, 0, 0, 3152, 0, 0, 0, 133, 0, 0], [0, 0, 0, 10, 27, 0, 0, 0, 1710, 0, 0], [1, 0, 0, 0, 6, 0, 0, 0, 1806, 0, 0], [23, 0, 0, 0, 1592, 0, 0, 0, 7, 0, 0], [13, 0, 42, 0, 1606, 0, 0, 0, 223, 0, 0]]"
8,21.64472944,2.164142175,0.289622108,0.252228286,0.150169659,471288986,6.274131274,31.50510204,0,83.43949045,13.75968992,44.17302799,0.761035008,97.53863766,0,0,0,"[[65, 3, 0, 76, 463, 133, 0, 290, 0, 6, 0], [0, 247, 0, 343, 13, 56, 0, 125, 0, 0, 0], [2, 186, 0, 96, 69, 335, 0, 105, 0, 0, 0], [0, 0, 0, 655, 0, 53, 0, 77, 0, 0, 0], [0, 0, 0, 471, 284, 900, 0, 409, 0, 0, 0], [0, 14, 0, 663, 171, 868, 0, 249, 0, 0, 0], [0, 0, 0, 332, 1251, 1588, 25, 89, 0, 0, 0], [0, 0, 0, 41, 1, 1, 0, 1704, 0, 0, 0], [0, 0, 0, 34, 0, 9, 0, 1770, 0, 0, 0], [0, 0, 0, 832, 91, 624, 0, 75, 0, 0, 0], [6, 14, 0, 416, 228, 945, 0, 275, 0, 0, 0]]"
9,54.19057262,1.371676282,0.579542528,0.473207778,0.435408708,517951326,54.92277992,56.8877551,2.90037831,24.7133758,67.9748062,0.407124682,97.59512938,89.69662278,95.86321015,29.4081381,0.159235669,"[[569, 0, 0, 0, 202, 1, 71, 6, 19, 168, 0], [71, 446, 0, 0, 63, 11, 4, 0, 31, 158, 0], [33, 450, 23, 0, 189, 6, 38, 0, 49, 5, 0], [0, 51, 0, 194, 205, 213, 1, 13, 0, 108, 0], [67, 10, 0, 0, 1403, 27, 168, 47, 55, 285, 2], [86, 23, 0, 0, 784, 8, 719, 16, 53, 273, 3], [0, 0, 0, 0, 69, 0, 3206, 0, 9, 1, 0], [0, 0, 0, 0, 19, 17, 11, 1567, 119, 14, 0], [1, 0, 0, 0, 21, 1, 41, 10, 1738, 1, 0], [39, 0, 0, 0, 719, 0, 387, 0, 0, 477, 0], [121, 19, 0, 0, 940, 19, 425, 43, 37, 277, 3]]"
10,44.69006637,1.492490452,0.520212447,0.408455483,0.370736026,569279900,10.71428571,67.09183673,0,29.55414013,86.3372093,13.48600509,47.79299848,95.87864911,98.01434087,0.431565968,0,"[[111, 0, 0, 0, 799, 15, 0, 57, 16, 38, 0], [1, 526, 0, 0, 173, 5, 0, 77, 2, 0, 0], [0, 473, 0, 0, 253, 1, 0, 51, 15, 0, 0], [0, 40, 0, 232, 363, 64, 0, 86, 0, 0, 0], [2, 22, 0, 0, 1782, 54, 0, 172, 32, 0, 0], [1, 31, 0, 0, 1515, 265, 18, 75, 60, 0, 0], [0, 0, 0, 0, 1595, 47, 1570, 9, 64, 0, 0], [0, 0, 0, 0, 25, 2, 4, 1675, 41, 0, 0], [0, 0, 0, 0, 11, 0, 1, 24, 1777, 0, 0], [0, 11, 0, 1, 1510, 70, 18, 0, 5, 7, 0], [0, 81, 0, 0, 1528, 73, 19, 143, 38, 2, 0]]"
