Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
1,10.59736753,2.381842451,0.00963397,0.090909091,0.017421699,24346478,0,0,0,0,0,0,0,0,0,0,100,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1036], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 784], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 793], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2064], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3285], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1747], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1813], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1884]]"
2,19.50163123,2.310598495,0.119098243,0.170516069,0.085662174,50565762,0,0,0,0,1.937984496,0,0,4.40755581,90.45780474,0,90.76433121,"[[0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 998], [0, 0, 0, 0, 498, 0, 0, 0, 50, 0, 236], [0, 0, 0, 0, 512, 0, 0, 0, 69, 0, 212], [0, 0, 0, 0, 47, 0, 0, 33, 19, 0, 686], [0, 0, 0, 0, 40, 0, 0, 0, 159, 0, 1865], [0, 0, 0, 0, 37, 0, 0, 0, 99, 0, 1829], [0, 0, 0, 0, 8, 0, 0, 0, 13, 0, 3264], [0, 0, 0, 0, 0, 0, 0, 77, 1440, 0, 230], [0, 0, 0, 0, 0, 0, 0, 0, 1640, 0, 173], [0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1554], [0, 0, 0, 0, 62, 0, 0, 1, 111, 0, 1710]]"
3,33.18146023,2.096813915,0.146829626,0.225818273,0.147874268,76785046,0,0,0,0,0.823643411,0,97.26027397,57.92787636,92.38830667,0,0,"[[0, 0, 0, 0, 0, 0, 723, 17, 247, 0, 49], [0, 0, 0, 0, 0, 0, 671, 2, 111, 0, 0], [0, 0, 0, 0, 0, 0, 684, 0, 109, 0, 0], [0, 0, 0, 0, 0, 0, 514, 271, 0, 0, 0], [0, 0, 0, 0, 17, 0, 1630, 118, 299, 0, 0], [0, 0, 0, 0, 15, 0, 1684, 59, 206, 0, 1], [0, 0, 0, 0, 0, 0, 3195, 48, 42, 0, 0], [0, 0, 0, 0, 0, 0, 17, 1012, 718, 0, 0], [0, 0, 0, 0, 0, 0, 103, 35, 1675, 0, 0], [0, 0, 0, 0, 0, 0, 1532, 42, 48, 0, 0], [0, 0, 0, 0, 24, 0, 1590, 115, 155, 0, 0]]"
4,36.35392058,1.927714524,0.159310496,0.254167026,0.173683072,101131524,0,0,0,0,1.647286822,0,98.50837139,90.95592444,88.47214562,0,0,"[[0, 0, 0, 0, 0, 0, 804, 90, 142, 0, 0], [0, 0, 0, 0, 2, 0, 671, 37, 74, 0, 0], [0, 0, 0, 0, 17, 0, 669, 2, 105, 0, 0], [0, 0, 0, 0, 0, 0, 550, 235, 0, 0, 0], [0, 0, 0, 0, 34, 0, 1625, 233, 172, 0, 0], [0, 0, 0, 0, 42, 0, 1673, 123, 127, 0, 0], [0, 0, 0, 0, 0, 0, 3236, 25, 24, 0, 0], [0, 0, 0, 0, 0, 0, 32, 1589, 126, 0, 0], [0, 0, 0, 0, 0, 0, 118, 91, 1604, 0, 0], [0, 0, 0, 0, 0, 0, 1542, 77, 3, 0, 0], [0, 0, 0, 0, 43, 0, 1584, 203, 54, 0, 0]]"
5,39.47013162,1.877787687,0.231383415,0.339218024,0.262631615,129223614,53.95752896,0,62.29508197,0,0,19.79643766,89.19330289,55.12306812,92.77440706,0,0,"[[559, 0, 0, 0, 0, 86, 311, 3, 77, 0, 0], [76, 0, 454, 0, 0, 110, 52, 0, 92, 0, 0], [74, 0, 494, 0, 0, 6, 126, 0, 93, 0, 0], [11, 0, 0, 0, 0, 596, 81, 97, 0, 0, 0], [288, 0, 46, 0, 0, 335, 1091, 66, 238, 0, 0], [219, 0, 124, 0, 0, 389, 1050, 16, 167, 0, 0], [228, 0, 1, 0, 0, 100, 2930, 0, 26, 0, 0], [27, 0, 0, 0, 0, 36, 1, 963, 720, 0, 0], [110, 0, 0, 0, 0, 10, 11, 0, 1682, 0, 0], [214, 0, 12, 0, 0, 506, 889, 0, 1, 0, 0], [227, 0, 78, 0, 0, 284, 1093, 58, 144, 0, 0]]"
6,41.55135561,1.78638024,0.406428897,0.378556287,0.333269644,147951674,27.60617761,0,2.269861286,77.32484076,0,34.96183206,61.85692542,97.93932456,65.25096525,24.41430333,24.78768577,"[[286, 0, 0, 23, 0, 32, 58, 68, 4, 61, 504], [29, 0, 0, 210, 0, 366, 0, 93, 1, 6, 79], [77, 0, 18, 25, 0, 531, 15, 64, 7, 1, 55], [0, 0, 0, 607, 0, 37, 0, 134, 0, 2, 5], [195, 0, 0, 365, 0, 554, 138, 278, 25, 93, 416], [149, 0, 4, 346, 0, 687, 147, 119, 27, 52, 434], [133, 0, 0, 67, 0, 508, 2032, 1, 9, 29, 506], [3, 0, 0, 13, 0, 0, 0, 1711, 1, 0, 19], [114, 0, 0, 1, 0, 0, 0, 481, 1183, 0, 34], [31, 0, 0, 48, 0, 607, 121, 7, 0, 396, 412], [106, 0, 0, 193, 0, 584, 214, 187, 9, 124, 467]]"
7,35.17831027,1.719910128,0.458478315,0.373029117,0.312153187,166679734,10.61776062,0,28.75157629,85.98726115,45.6879845,0,3.01369863,90.04006869,95.75289575,23.30456227,27.17622081,"[[110, 0, 0, 26, 98, 0, 0, 14, 63, 40, 685], [1, 0, 28, 517, 21, 0, 0, 46, 49, 13, 109], [3, 0, 228, 267, 100, 0, 0, 0, 95, 0, 100], [0, 0, 0, 675, 29, 0, 0, 79, 0, 0, 2], [26, 0, 9, 344, 943, 0, 0, 174, 135, 14, 419], [26, 0, 61, 457, 661, 0, 0, 26, 155, 14, 565], [8, 0, 0, 79, 2190, 0, 99, 0, 65, 14, 830], [0, 0, 0, 17, 1, 0, 0, 1573, 133, 0, 23], [4, 0, 0, 0, 0, 0, 0, 21, 1736, 0, 52], [0, 0, 0, 191, 383, 0, 1, 0, 3, 378, 666], [3, 0, 13, 270, 866, 0, 0, 112, 91, 17, 512]]"
8,30.07649904,1.686294267,0.377836833,0.30328623,0.202505066,189153406,0.096525097,0,0,82.29299363,75.72674419,0,1.461187215,98.05380653,74.57253172,0.986436498,0.42462845,"[[1, 0, 0, 24, 853, 0, 0, 56, 44, 29, 29], [0, 0, 0, 494, 191, 0, 0, 91, 7, 0, 1], [0, 0, 0, 390, 314, 0, 0, 52, 37, 0, 0], [0, 0, 0, 646, 63, 0, 0, 76, 0, 0, 0], [0, 0, 0, 162, 1563, 0, 0, 256, 66, 11, 6], [0, 0, 0, 208, 1559, 0, 0, 112, 79, 1, 6], [0, 0, 0, 29, 3133, 0, 48, 7, 68, 0, 0], [0, 0, 0, 10, 22, 0, 0, 1713, 2, 0, 0], [0, 0, 0, 1, 38, 0, 0, 422, 1352, 0, 0], [0, 0, 0, 87, 1509, 0, 0, 0, 4, 16, 6], [0, 0, 0, 190, 1466, 0, 4, 180, 36, 0, 8]]"
9,51.35560805,1.425938664,0.576516388,0.458833636,0.419530395,207881466,21.71814672,64.03061224,0.378310214,56.56050955,23.30426357,53.99491094,89.5890411,95.07727533,96.13899614,2.651048089,1.27388535,"[[225, 0, 0, 0, 210, 71, 349, 31, 37, 73, 40], [10, 502, 0, 0, 38, 114, 18, 78, 11, 1, 12], [7, 490, 3, 0, 77, 74, 59, 47, 36, 0, 0], [0, 57, 0, 444, 0, 208, 0, 76, 0, 0, 0], [2, 33, 0, 4, 481, 901, 341, 184, 81, 28, 9], [11, 36, 0, 2, 105, 1061, 565, 62, 105, 8, 10], [0, 0, 0, 0, 29, 236, 2943, 12, 64, 0, 1], [0, 0, 0, 2, 2, 18, 8, 1661, 56, 0, 0], [0, 0, 0, 0, 8, 13, 3, 46, 1743, 0, 0], [6, 6, 0, 6, 49, 880, 612, 0, 5, 43, 15], [4, 78, 0, 27, 257, 750, 537, 136, 65, 6, 24]]"
10,52.57059287,1.37972462,0.467658291,0.453150563,0.40561825,228482332,16.11969112,67.98469388,0,34.64968153,44.57364341,49.92366412,92.69406393,93.81797367,98.45559846,0.246609125,0,"[[167, 0, 0, 0, 455, 110, 185, 22, 41, 56, 0], [1, 533, 0, 0, 77, 89, 7, 71, 6, 0, 0], [1, 509, 0, 0, 111, 36, 58, 36, 42, 0, 0], [0, 158, 0, 272, 3, 276, 0, 76, 0, 0, 0], [3, 66, 0, 0, 920, 648, 199, 150, 65, 13, 0], [2, 54, 0, 0, 234, 981, 555, 33, 105, 1, 0], [0, 0, 0, 0, 49, 119, 3045, 11, 61, 0, 0], [0, 0, 0, 0, 4, 21, 7, 1639, 76, 0, 0], [0, 0, 0, 0, 9, 7, 2, 10, 1785, 0, 0], [2, 8, 0, 0, 195, 881, 528, 0, 4, 4, 0], [0, 99, 0, 0, 585, 580, 444, 106, 70, 0, 0]]"
